"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4438,0.4829,0.0391,1.77843345720255,2.04018491662944,0.261751459426892,0.086097216651245,0,0,0.47027564380477,0.412814280143295,1.95308293398805,1.58710633934365
"011211A",0.4521,0.4969,0.0448,1.8320440229641,2.13978564827282,0.307741625308725,0.0980135779262549,0,0,0.471233811130221,0.432521572647732,1.95960540054675,1.70720767532149
"030329A",0.2356,0.0682,-0.1674,0.720283405530434,0.170038089423047,-0.550245316107387,-0.470279831982834,0,0,0.278752882974312,0.181275916784926,0.899996858909999,0.518014488975907
"050315A",0.4095,0.4697,0.0602,1.56743820810613,1.94917130750827,0.381733099402145,0.129437411258645,0,0,0.429831896252908,0.388170267091252,1.69049318459001,1.44438869836524
"050318A",0.4429,0.3874,-0.0555,1.77268159761239,1.44005715942821,-0.332624438184186,-0.13631829766731,0,0,0.460860546045808,0.404484789305875,1.88975182077984,1.53796009510203
"050319A",0.4339,0.6274,0.1935,1.71581385758833,3.24033335385019,1.52451949626185,0.359528218430658,0,0,0.470630003525167,0.390652316873089,1.95549346584152,1.45839869592098
"050401A",0.4171,0.5911,0.174,1.6127628960311,2.90031784475066,1.28755494871955,0.330115390583474,0,0,0.445569823788208,0.382464675138167,1.78977914762497,1.41248529667502
"050416A",0.2398,0.2182,-0.0216,0.737000726137376,0.65272272994873,-0.0842779961886462,-0.0509934271862169,0,0,0.310789353999456,0.178248294853198,1.04545228966387,0.507468669894845
"050502A",0.519,0.6803,0.1613,2.30369541036815,3.78960832497788,1.48591291460974,0.310236832281395,0,0,0.546526069914759,0.494460168609052,2.51986551008667,2.12219604036008
"050502B",0.5184,0.6806,0.1622,2.29913433788864,3.79291801219085,1.49378367430221,0.31166476674601,0,0,0.53270211474872,0.504969265956202,2.40958965550952,2.19866873908845
"050505A",0.5912,0.7218,0.1306,2.90121602952676,4.26987118996723,1.36865516044047,0.259713209508065,0,0,0.632547081533842,0.577539141628944,3.29088703896946,2.7804120746041
"050525A",0.3342,0.2068,-0.1274,1.15873831601281,0.609904076215706,-0.548834239797108,-0.34091114365473,0,0,0.359916611533912,0.290921155431925,1.29042782769797,0.953984684829922
"050730A",0.4657,0.6961,0.2304,1.92213314244037,3.96706679223423,2.04493364979386,0.411698440011118,0,0,0.491649391397254,0.448333108600605,2.10205426951978,1.80758626156327
