"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.394,0.4829,0.0889,1.47742205763329,2.04018491662944,0.562762858996157,0.185108101786149,0,0,0.412345947254811,0.379649704664074,1.58431796883695,1.39689883691003
"040924A",0.325,0.2695,-0.0555,1.11348903983665,0.859944563222576,-0.253544476614071,-0.13631829766731,0,0,0.353887379558245,0.28959590452733,1.25884993347854,0.948031182930513
"041006A",0.3994,0.2355,-0.1639,1.50841852825238,0.719887341238241,-0.788531187014143,-0.458478394547887,0,0,0.436012365842474,0.375049220995978,1.72905548720269,1.37164248179187
"050315A",0.4014,0.4697,0.0683,1.51999686210924,1.94917130750827,0.429174445399036,0.145523742315817,0,0,0.431141454059306,0.380031531552829,1.69861825629095,1.39900709040776
"050318A",0.3925,0.3874,-0.00509999999999999,1.46888010490621,1.44005715942821,-0.0288229454780007,-0.0118124058555886,0,0,0.417262458383773,0.370688340149784,1.61374044618571,1.34794727439649
"050319A",0.3977,0.6274,0.2297,1.49861878071788,3.24033335385019,1.74171457313231,0.410749445335671,0,0,0.420670775678274,0.37923163425213,1.63433362727307,1.39459258996994
"050401A",0.4264,0.5911,0.1647,1.66931606362429,2.90031784475066,1.23100178112637,0.315615760080462,0,0,0.457098166172635,0.394379933976555,1.86482545031425,1.47959032983863
"050408A",0.4289,0.3502,-0.0787,1.68472619343114,1.23975234517842,-0.444973848252725,-0.198671004502186,0,0,0.462550359725838,0.391327177880414,1.90101757409215,1.46222183252143
"050416A",0.2454,0.2182,-0.0272,0.759543467297461,0.65272272994873,-0.106820737348731,-0.064633187051312,0,0,0.290103201125547,0.209073886788413,0.950307995164249,0.618355346017673
"050502A",0.471,0.6803,0.2093,1.95801246655155,3.78960832497788,1.83159585842634,0.382410363050886,0,0,0.504842657156646,0.446294574607181,2.19773637498877,1.79443861905406
"050502B",0.4957,0.6806,0.1849,2.13112207459949,3.79291801219085,1.66179593759137,0.34671904116961,0,0,0.511885649410206,0.464228282110283,2.2500171252957,1.91224750663636
"050505A",0.5699,0.7218,0.1519,2.71449689797622,4.26987118996723,1.55537429199101,0.295144650774791,0,0,0.589377184933829,0.545190362969913,2.88487621173008,2.50905651647038
"050525A",0.3283,0.2068,-0.1215,1.12960962021551,0.609904076215706,-0.519705543999806,-0.322817708009935,0,0,0.361394901942062,0.312134982839627,1.29823747487985,1.05179979854813
"050603A",0.3485,0.5821,0.2336,1.23100220748196,2.82032226884411,1.58932006136215,0.41601727538107,0,0,0.382249363079479,0.30055719618672,1.41128954481336,0.997823862696231
"050801A",0.3878,0.4082,0.0204,1.44230557039732,1.559764430599,0.117458860201678,0.0458865897180203,0,0,0.400822346059043,0.369506663559481,1.51664724910201,1.34156740252876
"050802A",0.4176,0.433,0.0154,1.61577268271911,1.71019163189084,0.0944189491717355,0.0348384771249041,0,0,0.434884962732804,0.396645614281326,1.72198020603244,1.49255995978223
"050803A",0.4801,0.6532,0.1731,2.02064717004684,3.49987033872151,1.47922316867467,0.328725731482952,0,0,0.499293708911837,0.453786656754417,2.15713904236222,1.84306413474775
"050824A",0.2565,0.2619,0.00540000000000002,0.805094737131569,0.82767932897041,0.022584591838841,0.0123569772228937,0,0,0.284316858345763,0.221849614853564,0.924495315719179,0.666669987140468
"050904A",0.6927,0.863,0.1703,3.92833249197152,6.29457510254569,2.36624261057417,0.324383884915845,0,0,0.716087840693336,0.658641222042434,4.20101181909783,3.55660331776864
"050908A",0.5175,0.6375,0.12,2.29230453333406,3.34010263644744,1.04779810311337,0.241422424970816,0,0,0.536179946399208,0.484903968306858,2.43700327846466,2.05424568023983
"050922C",0.3808,0.5049,0.1241,1.40325580493324,2.19815862166661,0.794902816733363,0.248550153625316,0,0,0.395224339919399,0.339116529429709,1.48441612824004,1.1833156581724
"051016B",0.3477,0.287,-0.0607,1.2268963323534,0.936421963946607,-0.290474368406796,-0.150005718699236,0,0,0.379277376359796,0.32789381402455,1.39484481394505,1.12761877481642
"051028A",0.4378,0.6628,0.225,1.74031192103028,3.60044666393478,1.8601347429045,0.404337856470989,0,0,0.454800216023311,0.416298948304931,1.84970704481944,1.60794812356643
"051109A",0.4829,0.5245,0.0416,2.04018491662944,2.34580017853301,0.305615261903567,0.0913429510418539,0,0,0.523554101693607,0.466406522024791,2.33852091783724,1.92689081668152
"051111A",0.4853,0.4065,-0.0788,2.05703210698766,1.54976408779928,-0.507268019188376,-0.19894704047942,0,0,0.507613291368099,0.473265768291128,2.21820193306684,1.97348511150575
"060124A",0.4311,0.518,0.0869,1.6983606814263,2.29609712177458,0.597736440348277,0.18134673168443,0,0,0.472854458652276,0.402181563343015,1.97067032989211,1.52453597214416
"060206A",0.5178,0.7031,0.1853,2.29457956241282,4.04777513500947,1.75319557259665,0.34732045816327,0,0,0.550770972192993,0.494145580185201,2.55443823696886,2.11993524470368
"060223A",0.696,0.7332,0.0372,3.96592321450336,4.41003406863468,0.444110854131317,0.0820902139426632,0,0,0.76463145443629,0.630944188733796,4.81609450139317,3.27507943494449
"060306A",0.3969,0.4081,0.0112,1.49402039140518,1.55917509090989,0.0651546995047112,0.0254592582336936,0,0,0.413329029325627,0.371479734815174,1.59017453488351,1.35222973034935
