"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.391,0.4829,0.0919,1.46036760414763,2.04018491662944,0.579817312481815,0.190717778155626,0,0,0.411252374485682,0.372472552819504,1.57781872768345,1.35761319135181
"040924A",0.3245,0.2695,-0.055,1.11105719580854,0.859944563222576,-0.251112632585968,-0.135010815672315,0,0,0.339333404038798,0.289306845869708,1.18440621768239,0.946735039528553
"041006A",0.3871,0.2355,-0.1516,1.43837220968383,0.719887341238241,-0.718484868445586,-0.417751123122,0,0,0.411178801981101,0.34536871005901,1.57738206425716,1.21497439446306
"050315A",0.4109,0.4697,0.0588,1.57572800542521,1.94917130750827,0.373443302083067,0.12662652085768,0,0,0.434612908610742,0.380107036760861,1.72027561601003,1.39942421124148
"050318A",0.4018,0.3874,-0.0144,1.52231893418243,1.44005715942821,-0.0822617747542203,-0.0337130523505839,0,0,0.429285339325179,0.360565369624827,1.68710934522318,1.29385187303787
"050319A",0.3961,0.6274,0.2313,1.48943046484176,3.24033335385019,1.75090288900842,0.41291633060373,0,0,0.429627989625043,0.36847698727149,1.68923026128306,1.33602231600034
"050401A",0.4245,0.5911,0.1666,1.65766354955431,2.90031784475066,1.24265429519635,0.318603340717168,0,0,0.447255127318002,0.39887787376887,1.80062607087327,1.50540461905342
"050408A",0.4202,0.3502,-0.07,1.6314795540202,1.23975234517842,-0.391727208841782,-0.174897554939529,0,0,0.469982767868057,0.397845185384809,1.95109212958139,1.49945421286629
"050416A",0.2513,0.2182,-0.0331,0.7836104164296,0.65272272994873,-0.13088768648087,-0.0791951874982263,0,0,0.300120664750778,0.211588760657329,0.995816757379006,0.627753960320269
"050502A",0.4552,0.6803,0.2251,1.85233151229901,3.78960832497788,1.93727681267887,0.404474996958717,0,0,0.471600005408182,0.43663711452481,1.96210197293923,1.73298415959657
"050502B",0.4836,0.6806,0.197,2.04508906697422,3.79291801219085,1.74782894521663,0.364669068148256,0,0,0.50111897933326,0.453478062748205,2.1704359168251,1.84104467340511
"050505A",0.5707,0.7218,0.1511,2.72134556003871,4.26987118996723,1.54852562992852,0.293845062641493,0,0,0.58084272697962,0.556328292311081,2.80927851291418,2.6002138003558
"050525A",0.318,0.2068,-0.1112,1.0796966871037,0.609904076215706,-0.46979261088799,-0.291814039003057,0,0,0.341884417711819,0.305409546511619,1.19727501646551,1.02027061256298
"050603A",0.3428,0.5821,0.2393,1.20191221148448,2.82032226884411,1.61841005735963,0.423631815189587,0,0,0.361393578441951,0.322134369173179,1.29823047107703,1.09958938865512
"050801A",0.3946,0.4082,0.0136,1.48084710808892,1.559764430599,0.0789173225100774,0.030829916052709,0,0,0.411583150557618,0.375992063946526,1.57978284555464,1.37679685397708
"050802A",0.4184,0.433,0.0146,1.62059555473335,1.71019163189084,0.0895960771574948,0.0330589453908783,0,0,0.436528942899653,0.397168209413658,1.73230352805196,1.49556111174885
"050803A",0.4859,0.6532,0.1673,2.06125847171977,3.49987033872151,1.43861186700174,0.31970073773514,0,0,0.507032880624937,0.463415532111917,2.21390385549421,1.90680254735338
"050824A",0.2546,0.2619,0.00730000000000003,0.79721485654766,0.82767932897041,0.0304644724227501,0.0166683903132568,0,0,0.291130345805949,0.217878625235699,0.954926104221892,0.651500179519793
"050904A",0.6729,0.863,0.1901,3.70868892344274,6.29457510254569,2.58588617910295,0.354494421230994,0,0,0.715964111128375,0.605493995177394,4.19953027305783,3.03175371854275
"050908A",0.5192,0.6375,0.1183,2.3052171686998,3.34010263644744,1.03488546774764,0.23844723372596,0,0,0.551833112139457,0.468515992712628,2.56314185016171,1.94114199807695
"050922C",0.3777,0.5049,0.1272,1.38616241087949,2.19815862166661,0.811996210787114,0.253894914806937,0,0,0.410817947170828,0.340697287587975,1.57524140977427,1.19127703662065
"051016B",0.3511,0.287,-0.0641,1.24439865617831,0.936421963946607,-0.307976692231706,-0.15904420522272,0,0,0.369642609618849,0.323882655155995,1.34230049194642,1.108058482976
"051028A",0.4378,0.6628,0.225,1.74031192103028,3.60044666393478,1.8601347429045,0.404337856470989,0,0,0.456242458015436,0.394548257448871,1.85918632503458,1.48055155353514
"051109A",0.4807,0.5245,0.0438,2.02482323239124,2.34580017853301,0.320976946141764,0.0959342844803419,0,0,0.49209106640478,0.470205505709392,2.10521064573005,1.95260605275448
"051111A",0.4759,0.4065,-0.0694,1.99157572153086,1.54976408779928,-0.441811633731575,-0.173275494719555,0,0,0.50842317380168,0.430200038158345,2.22420890998812,1.69277482355378
"060124A",0.4428,0.518,0.0752,1.7720432375777,2.29609712177458,0.524053884196876,0.158992245930767,0,0,0.461177637837975,0.415168200403856,1.89186248812398,1.60116678892858
"060206A",0.5164,0.7031,0.1867,2.2839761925048,4.04777513500947,1.76379894250467,0.349421060829676,0,0,0.53304883632727,0.484306637810625,2.41231280853584,2.05004774520025
"060223A",0.7,0.7332,0.0332,4.01187233627272,4.41003406863468,0.398161732361955,0.0735968992636009,0,0,0.803002754751076,0.639098041492052,5.35334961799606,3.35610201100684
"060306A",0.407,0.4081,0.00110000000000005,1.55270130266125,1.55917509090989,0.00647378824864697,0.00252963866037992,0,0,0.43587011540889,0.37848645462118,1.72816174857215,1.39048737634518
"060418A",0.4087,0.396,-0.0127,1.56271316541123,1.48885731828239,-0.0738558471288435,-0.0296746007038334,0,0,0.42906879104405,0.388807351571645,1.68576983047617,1.44797710426977
"060510B",0.5564,0.7709,0.2145,2.60080829173483,4.90065196995666,2.29984367822184,0.389760943355337,0,0,0.58442073201718,0.532380959608168,2.84079150164344,2.40706924017246
"060512A",0.3877,0.1584,-0.2293,1.44174327349673,0.44012437117557,-1.00161890232116,-0.695508611873254,0,0,0.419679619176247,0.316330494240887,1.62832834792,1.0717173075281
"060604A",0.5843,0.4963,-0.088,2.83972392635378,2.13545086914429,-0.704273057209485,-0.224616199265049,0,0,0.619556969454637,0.54346503447956,3.1644434536933,2.49514368684345
"060605A",0.6139,0.6794,0.0655,3.11055061281175,3.7796929697961,0.669142356984351,0.139996933111144,0,0,0.634182861179625,0.585115003548643,3.30707923364692,2.84693637533208
"060607A",0.5082,0.6096,0.1014,2.22255248988791,3.07005239440234,0.84749990451443,0.208228254181696,0,0,0.525802132671126,0.495382810976578,2.3558468489043,2.12883607971801
"060614A",0.3296,0.0512,-0.2784,1.1359938601898,0.125122992965767,-1.01087086722403,-0.898453656661504,0,0,0.371331823594161,0.284497299358129,1.35142874865246,0.925295072674463
"060707A",0.5588,0.6459,0.0871000000000001,2.62076217756673,3.42486474355665,0.804102565989918,0.181723648651821,0,0,0.595020287268971,0.5037143885509,2.93568459854038,2.18943964727015
"060714A",0.5381,0.5695,0.0314,2.45223220769057,2.71107729492926,0.258845087238691,0.0697493117678718,0,0,0.551218664139254,0.529404993724411,2.55810421457588,2.38380239696253
"060729A",0.3535,0.1875,-0.166,1.25683599549723,0.539926526059492,-0.716909469437734,-0.465547840955911,0,0,0.393832066054152,0.325561923497554,1.476464267813,1.11622540387225
"060814A",0.4731,0.4658,-0.00730000000000003,1.97235036191203,1.92280606593193,-0.0495442959800996,-0.016950935115944,0,0,0.506735512439203,0.453075385765474,2.21170399876701,1.83841168325591
"060904B",0.4742,0.2304,-0.2438,1.97988840281942,0.699808513203497,-1.28007988961592,-0.753072995971444,0,0,0.491936002275726,0.462729277387481,2.10410213329437,1.90221296162988
