"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","Response"
"050525A",1.620136055,21.2788016,1,3.52874654648256,-10.3520667772346,1.23378692723459,0.944482672,2.62484083671096,452.787397532163,1,12.4520521893126,107.165286560324,1.52223018181498,0.89204751770826,0.20682587603185
"050603A",1.33243846,21.63005546,1.16,3.96274416700055,-10.4462740851379,1.62637154929931,1.322219295,1.77539224968717,467.859299202676,1.3456,15.7033413330969,109.124642261823,2.64508441637022,1.7482638640703,0.582063362911709
"050730A",-0.259637311,21.73850309,1.53,4.05018,-10.09854168,2.38763,2.194514342,0.0674115332633107,472.562516593939,2.3409,16.4039580324,101.980544062697,5.7007770169,4.81589319724369,0.696094159995223
"050801A",0.164352856,20.80209017,1.99,3.32674654311991,-10.0521620931677,1.30998946630735,1.28780173,0.0270118612753567,432.726955440811,3.9601,11.0672425621603,101.045962747318,1.71607240183621,1.65843329579099,0.40823996531185
"050802A",0.439332694,21.25883595,1.54,3.63973,-10.28650946,1.44729,1.477121255,0.193013216017298,451.938105949012,2.3716,13.2476344729,105.812276870669,2.0946483441,2.18188720197277,0.433001340945038
"050803A",-0.017728767,21.34755638,1.38,4.21721,-10.86012091,1.52234,1.943988875,0.000314309179340289,455.718163397279,1.9044,17.7848601841,117.942226179819,2.3175190756,3.77909274612377,0.653212513775344
"050820A",0.389166084,21.61964524,1.25,3.750945731,-10.01818139,1.136499703,1.414973348,0.151450240935895,467.409060303455,1.5625,14.0695938769071,100.363958362942,1.29163157491909,2.00214957555033,0.558072259099146
"050824A",-0.301029996,20.9708274,2.76,5.08558,-12.23882419,0.954481,1.353723938,0.09061905849176,439.775601840591,7.6176,25.8631239364,149.788817553729,0.911033979361,1.83256850031423,0.261928672990642
"050826A",-0.420216403,21.96085591,1.16,4.76235,-12.33348202,1.801,1.550228353,0.176581825350258,482.279192299782,1.3456,22.6799775225,152.114778737663,3.243601,2.40320794644509,0.11293997608408
"050904A",-0.207608311,22.39388568,1.25,4.34762128111129,-11.4173100900788,1.86371911100538,2.259044094,0.0431012107962727,501.486115848909,1.5625,18.9018108039718,130.354969693015,3.47344892472669,5.10328021863628,0.86302529622947
