"formula_idx","wins","formula","r","rmse","bias","n_appearances"
861,8,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.52,1.2,-0.27,12
497,7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.63,1.1,-0.2,13
2007,7,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.5,1.2,-0.23,12
211,6,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.52,1.1,-0.2,20
1589,6,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.49,1.1,-0.13,17
1431,4,"Response ~  (AlphaSqr+log10T90Sqr+PhotonIndexSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr",0.65,1.1,0.012,2
1532,4,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.59,1.1,-0.3,7
2529,4,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr",0.56,1.2,-0.34,6
3980,4,"Response ~  (log10FaSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.44,1.2,-0.16,2
4329,4,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.45,1.2,-0.17,10
7995,4,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr",0.4,1.2,-0.17,10
11571,4,"Response ~  (AlphaSqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10T90Sqr",0.33,1.3,-0.022,5
772,3,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr",0.49,1.2,-0.15,6
889,3,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr",0.48,1.2,-0.24,10
2,2,"Response ~  log10PeakFlux:log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr",0.56,1.1,-0.16,2
16,2,"Response ~  (PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr",0.61,1.3,-0.42,1
30,2,"Response ~  (log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr",0.61,1.1,-0.26,5
