"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB050315",1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333,0.0636907468526031,0.0119343109944412,0.0300030730163057,1.949,0.469674772551798
"GRB050318",1.50514997831991,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121,0.148833498120448,0.0187658109674778,0.016658783334164,1.44,0.387389826338729
"GRB050319",2.1832698436828,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.00899999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727,0.0311991209237988,0.0297365640854658,0.036364370489667,3.24,0.627365856592733
"GRB050401",1.52244423350632,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758,0.00815583518093314,0.0097982829257281,0.022631035007725,2.9,0.591064607026499
"GRB050505",1.7701152947871,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,5e-04,1.08484848484848e-07,0.0727272727272727,0.187878787878788,0.0504266082791868,0.018921434167657,0.0441052545503497,4.27,0.721810615212547
"GRB050730",2.19451434188247,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.0332990692667,0.0266000000000002,0.017795,0.0538000000000001,0.0002104915,9.21212121212121e-08,0.0666666666666667,0.0848484848484849,0.0500432094331858,0.0168099723091123,0.0669985978354264,3.967,0.696094159995223
"GRB050802",1.27875360095283,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.1980390271856,0.0274999999999999,0.0326,0.03274,0.0023696055,9.51515151515152e-08,0.0787878787878788,0.266666666666667,0.233102740828459,0.020661888971532,0.0421134042893105,1.7102,0.433001340945038
"GRB050803",1.94398887507377,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.4381272282503,0.0489000000000006,0.04766,0.0486949999999999,0.2248562595,8.18181818181818e-08,0.0666666666666667,0.0666666666666667,0.0515724807353036,0.0165270627330643,0.030159339023807,3.5,0.653212513775344
"GRB050824",1.3541084391474,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.07092717497179,0.0685500000000001,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303030303,0.0909090909090909,0.0782292570053204,0.0514543473223617,0.0789626331344128,0.8278,0.261928672990642
"GRB050826",1.55022835305509,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.86506950125527,0.234050000000001,0.13858,0.23538,0.03,4.36363636363636e-08,0.187878787878788,0.0787878787878788,0.0717511921232175,0.0458862758416538,0.0900451078111771,0.297,0.11293997608408
