"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
1,920,0.4843,920,0.1692,6445,0.1093,17,98.9,"Response ~ (log10PeakFluxSqr + log10NHSqr + log10T90 + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + log10Fa + Beta + PhotonIndexSqr +      log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
2,594,0.4254,594,0.171,3256,0.1169,17,86.7,"Response ~ (log10PeakFluxSqr + log10Fa + log10Ta + log10NH)^2 +      log10PeakFlux + PhotonIndex + Beta + log10T90 + log10NHSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
3,12494,0.5118,1589,0.1508,12494,0.0746,16,86,"Response ~ (log10T90Sqr + log10FaSqr + log10PeakFluxSqr + log10NHSqr +      log10T90 + log10Fa + log10Ta + PhotonIndex)^2 + log10NH +      log10PeakFlux + Beta + PhotonIndexSqr + log10TaSqr + BetaSqr"
4,6,0.5505,6,0.166,2050,0.092,17,90.8,"Response ~ Beta:Beta + log10NH + log10PeakFlux + PhotonIndex +      log10Ta + log10Fa + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
5,1078,0.5359,1766,0.153,1766,0.1149,17,88.5,"Response ~ (log10T90Sqr + PhotonIndexSqr + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + log10TaSqr + log10FaSqr +      BetaSqr"
6,1078,0.5863,1078,0.1551,1723,0.1001,16,84.8,"Response ~ (log10T90Sqr + PhotonIndexSqr + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + log10TaSqr + log10FaSqr +      BetaSqr"
7,1325,0.3772,1303,0.1593,2914,0.1062,17,85.2,"Response ~ (log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10Fa)^2 + log10NH + log10PeakFlux + PhotonIndex + log10Ta +      Beta + log10T90 + log10NHSqr + log10FaSqr + BetaSqr + log10T90Sqr"
8,1532,0.3168,1766,0.1737,1697,0.081,17,92.9,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10PeakFlux +      log10NH)^2 + PhotonIndex + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr +      log10T90Sqr"
9,1766,0.6578,1766,0.1429,2600,0.0961,16,81.5,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + Beta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
10,1316,0.4266,1349,0.1678,1365,0.1079,17,81,"Response ~ (log10FaSqr + PhotonIndexSqr + log10NHSqr + log10Fa)^2 +      log10NH + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + log10TaSqr + BetaSqr + log10T90Sqr"
11,1694,0.4749,1290,0.1753,2935,0.1151,17,81.1,"Response ~ (log10PeakFluxSqr + log10Fa + log10Ta + PhotonIndex +      log10NH)^2 + log10PeakFlux + Beta + log10T90 + log10NHSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
12,666,0.6488,666,0.1437,1532,0.0956,17,80.9,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10NH)^2 +      log10PeakFlux + PhotonIndex + log10Ta + Beta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
