"formula_idx","wins","formula"
2936,11,"Response ~ (log10T90Sqr + BetaSqr + PhotonIndexSqr + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + log10TaSqr + log10FaSqr"
886,9,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
1329,9,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + log10Fa)^2 +      log10NH + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
1766,8,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + Beta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
1723,7,"Response ~ (log10FaSqr + log10PeakFluxSqr + log10Ta + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Fa + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
391,6,"Response ~ (BetaSqr + log10T90 + Beta)^2 + log10NH + log10PeakFlux +      PhotonIndex + log10Ta + log10Fa + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + log10T90Sqr"
817,6,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10PeakFlux)^2 +      log10NH + PhotonIndex + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
890,6,"Response ~ (log10T90Sqr + log10FaSqr + log10Fa + log10PeakFlux)^2 +      log10NH + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr"
1697,6,"Response ~ (log10FaSqr + log10Fa + log10Ta + PhotonIndex + log10NH)^2 +      log10PeakFlux + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
1758,6,"Response ~ (log10TaSqr + log10PeakFluxSqr + log10Fa + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + log10FaSqr + BetaSqr + log10T90Sqr"
1164,5,"Response ~ (log10FaSqr + log10PeakFluxSqr + log10Fa + log10Ta)^2 +      log10NH + log10PeakFlux + PhotonIndex + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
1532,5,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10PeakFlux +      log10NH)^2 + PhotonIndex + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr + BetaSqr +      log10T90Sqr"
4603,5,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + log10NHSqr +      log10Fa + log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta +      Beta + log10T90 + PhotonIndexSqr + BetaSqr + log10T90Sqr"
597,4,"Response ~ (log10FaSqr + log10Fa + log10Ta + log10NH)^2 + log10PeakFlux +      PhotonIndex + Beta + log10T90 + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
666,4,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10NH)^2 +      log10PeakFlux + PhotonIndex + log10Ta + Beta + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
2050,4,"Response ~ (log10FaSqr + log10TaSqr + PhotonIndexSqr + log10Fa +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + log10PeakFluxSqr + BetaSqr + log10T90Sqr"
2600,4,"Response ~ (log10T90Sqr + BetaSqr + log10PeakFluxSqr + Beta +      log10PeakFlux)^2 + log10NH + PhotonIndex + log10Ta + log10Fa +      log10T90 + log10NHSqr + PhotonIndexSqr + log10TaSqr + log10FaSqr"
2696,4,"Response ~ (log10PeakFluxSqr + log10NHSqr + log10Fa + log10Ta +      PhotonIndex)^2 + log10NH + log10PeakFlux + Beta + log10T90 +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
3312,4,"Response ~ (log10TaSqr + PhotonIndexSqr + log10PeakFluxSqr +      log10NHSqr + log10Fa)^2 + log10NH + log10PeakFlux + PhotonIndex +      log10Ta + Beta + log10T90 + log10FaSqr + BetaSqr + log10T90Sqr"
646,3,"Response ~ (PhotonIndexSqr + log10T90 + log10Fa + log10NH)^2 +      log10PeakFlux + PhotonIndex + log10Ta + Beta + log10NHSqr +      log10PeakFluxSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
739,3,"Response ~ (log10T90Sqr + PhotonIndexSqr + log10PeakFluxSqr +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + log10Fa +      Beta + log10T90 + log10NHSqr + log10TaSqr + log10FaSqr +      BetaSqr"
1078,3,"Response ~ (log10T90Sqr + PhotonIndexSqr + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10T90 +      log10NHSqr + log10PeakFluxSqr + log10TaSqr + log10FaSqr +      BetaSqr"
1601,3,"Response ~ (log10FaSqr + log10TaSqr + log10Fa + log10PeakFlux +      log10NH)^2 + PhotonIndex + log10Ta + Beta + log10T90 + log10NHSqr +      log10PeakFluxSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
2533,3,"Response ~ (log10T90Sqr + log10FaSqr + log10NHSqr + log10Fa +      log10PeakFlux)^2 + log10NH + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr +      BetaSqr"
3062,3,"Response ~ (log10FaSqr + log10PeakFluxSqr + log10NHSqr + log10Fa +      log10Ta)^2 + log10NH + log10PeakFlux + PhotonIndex + Beta +      log10T90 + PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
3816,3,"Response ~ (log10FaSqr + log10TaSqr + log10NHSqr + log10Fa +      log10PeakFlux + log10NH)^2 + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr +      log10T90Sqr"
7566,3,"Response ~ (log10T90Sqr + log10FaSqr + log10TaSqr + log10T90 +      log10Fa + PhotonIndex + log10NH)^2 + log10PeakFlux + log10Ta +      Beta + log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + BetaSqr"
