"GRB","log10Epeak"
"000926A",NA
"011211A",NA
"020124A",NA
"021004A",NA
"030226A",NA
"050315A",NA
"050318A",NA
"050319A",NA
"050401A",NA
"050416A",NA
"050502A",NA
"050502B",NA
"050505A",NA
"050525A",NA
"050603A",NA
"050730A",NA
"050801A",NA
"050802A",NA
"050803A",NA
"050820A",NA
"050824A",NA
"050908A",NA
"050922C",NA
"051016B",NA
"051028A",NA
"051109A",NA
"051111A",NA
"060115A",NA
"060124A",NA
"060206A",NA
"060210A",NA
"060218A",NA
"060223A",NA
"060306A",NA
"060418A",NA
"060502A",NA
"060510B",NA
"060512A",NA
"060526A",NA
"060604A",NA
"060605A",NA
"060607A",NA
"060707A",NA
"060708A",NA
"060714A",NA
"060729A",NA
"060814A",NA
"060904B",NA
"060906A",NA
"060908A",NA
"060912A",NA
"060926A",NA
"060927A",NA
"061007A",NA
"061021A",NA
"061110A",NA
"061121A",NA
"061126A",NA
"061222A",NA
"070110A",NA
"070125A",NA
"070208A",NA
"070223A",NA
"070306A",NA
"070411A",NA
"070508A",NA
"070521A",NA
"070529A",NA
"070721B",NA
"070802A",NA
"070810A",NA
"071003A",NA
"071010A",NA
"071010B",NA
"071020A",NA
"071025A",NA
"071112C",NA
"071117A",NA
"080310A",NA
"080319B",NA
"080319C",NA
"080330A",NA
"080411A",NA
"080413B",NA
"080430A",NA
"080516A",NA
"080603A",NA
"080603B",NA
"080607A",NA
"080710A",NA
"080721A",NA
"080810A",2.77048223285455
"080905B",2.26145451099904
"080916A",2.82455883162146
"080928A",1.69418768078714
"081007A",NA
"081008A",2.22262786083305
"081028A",1.85339568784322
"081029A",NA
"081109A",1.45652487082276
"081203A",NA
"081221A",1.93908768400136
"081228A",NA
"081230A",2.4036012918948
"090102A",2.62816399923864
"090205A",NA
"090313A",NA
"090418A",3.82798616622408
"090423A",1.82132324871252
"090424A",2.20411873405749
"090516A",2.17036487742514
"090519A",3.20773981840993
"090529A",NA
"090530A",1.81543511826964
"090618A",2.17330392004679
"090726A",NA
"090809A",2.27250647365496
"090812A",NA
"090927A",2.29053242830166
"091018A",2.49056279627653
"091020A",3.06961364022009
"091024A",3.25437164086128
"091029A",NA
"091109A",2.01023904935383
"091127A",1.54971765289656
"091208B",1.6505620791589
"100219A",2.90353551281751
"100316B",NA
"100316D",NA
"100418A",NA
"100425A",NA
"100508A",NA
"100513A",2.36370142406377
"100621A",2.23525126849568
"100704A",2.2446765127678
"100728A",2.40467985679187
"100814A",2.1061549482997
"100816A",2.12429031799706
"100901A",NA
"100906A",1.87456750847662
"101219B",1.80145028611748
"101225A",2.31947131708851
"110106B",2.11747251634595
"110205A",2.43018047048544
"110213A",2.05137374395878
"110422A",2.01322791395508
"110503A",2.8771816029841
"110715A",NA
"110726A",2.02067325756587
"110731A",2.508140322332
"110801A",1.57129079980523
"110808A",NA
"110818A",2.26664480921714
"111008A",2.01690862876756
"111107A",2.33016061142263
"111123A",NA
"111209A",NA
"111228A",1.42404039727604
"120118B",1.710481579492
"120119A",NA
"120327A",2.10498384165913
"120404A",NA
"120422A",NA
"120711A",2.43180002700483
"120729A",2.83941885107619
"120802A",NA
"120811C",1.74346151146059
"120815A",NA
"120907A",2.10806661831654
"120922A",1.55624202104968
"121024A",NA
"121027A",2.15907448285354
"121128A",1.77872489285912
"121211A",NA
"121217A",2.04009734739394
"130215A",2.4634371137046
"130408A",1.97305474274842
"130418A",1.79172358118502
"130420A",1.72222839997317
"130427A",2.91644729984533
"130505A",2.93901739756789
"130511A",NA
"130514A",2.25323984174126
"130604A",2.36086025040164
"130606A",NA
"130831A",1.82173243493961
"130925A",1.36479248223089
"131030A",2.24051450333423
"131105A",2.42931044726213
"131117A",2.21382316977354
"140206A",2.67745526074499
"140213A",1.93525259484644
"140419A",NA
"140423A",2.06510643818127
"140430A",2.06444649524672
"140506A",2.29376695643517
"140509A",NA
"140512A",2.83948215146909
"140518A",2.26221916677236
"140614A",NA
"140629A",NA
"140801A",2.07695303773313
"140907A",2.14442646009223
"141004A",1.44426805649364
"141121A",2.10432579148586
"141220A",2.25301267157879
"141221A",2.20578191090653
"150120B",0.774991044044126
"150314A",2.54053503390959
"150323A",NA
"150403A",2.63219263612344
"150821A",2.44905100672147
"150910A",NA
"151021A",2.3907317531905
"151027A",2.30406457680283
"151029A",NA
"151031A",NA
"151215A",NA
"160117B",NA
"160121A",NA
"160131A",1.60273957535997
"160203A",NA
"160227A",2.76461262185918
"160327A",NA
"160425A",NA
"160804A",3.36516493312643
"161014A",2.22794696200479
"161023A",NA
"161108A",NA
"161117A",1.90668625261307
"161219B",NA
"170113A",2.05118386772678
"170202A",NA
"170405A",2.42653260145301
"170519A",NA
"170531B",NA
"170604A",2.99773379895568
"170607A",2.04842121486244
"170705A",NA
"170714A",2.62462752685276
"170903A",1.97802585590591
"171222A",1.24408541976599
"180115A",NA
"180205A",1.54653928287725
"180325A",NA
"180329B",NA
"180404A",2.32730722471794
"180620B",1.57489256292446
"180624A",NA
"180720B",2.68050548060031
"180728A",1.58096656792445
