"cfg","rep","log_r","log_rmse","z_r","error"
"baseline",1,0.517641530663701,0.152003695820468,0.520906450842991,""
"baseline",2,0.512778742646086,0.152498275245154,0.512211900266674,""
"baseline",3,0.512097399777211,0.152516365530302,0.482856428357962,""
"baseline",4,0.494667959150188,0.154629525399589,0.497244783281159,""
"baseline",5,0.511318220728966,0.152631770700365,0.502905180968581,""
"linear10",1,0.50737410044296,0.153000424099341,0.506751516173453,""
"linear10",2,0.497951134536562,0.153974608671272,0.485131685952448,""
"linear10",3,0.49824612553824,0.154068592923196,0.472107267035261,""
"linear10",4,0.516222953567981,0.152113826210026,0.502722986731015,""
"linear10",5,0.48907730200358,0.154863623426993,0.493120795621243,""
"richlib",1,0.534467836760178,0.150096120194114,0.53363040406392,""
"richlib",2,0.516038718711313,0.152109584003954,0.522118068452169,""
"richlib",3,0.504285274864936,0.153301378478207,0.485858530681567,""
"richlib",4,0.514358718716062,0.152247950755681,0.504160707236527,""
"richlib",5,0.508637971034123,0.152874535533102,0.497703420858048,""
"richlib_lin",1,0.516410743704506,0.152058543801967,0.508849985893006,""
"richlib_lin",2,0.502062740226752,0.153543966151186,0.489190452376517,""
"richlib_lin",3,0.511364191865007,0.15256240296857,0.489487393684694,""
"richlib_lin",4,0.504706775372306,0.15329773628865,0.486523746095201,""
"richlib_lin",5,0.499875542640166,0.153803303724371,0.495308822132807,""
"errweight",1,0.517257062060333,0.152090037233689,0.513972262119548,""
"errweight",2,0.511135182040215,0.152721355891439,0.505958669758767,""
"errweight",3,0.483650813057017,0.155537322585119,0.453328662433174,""
"errweight",4,0.527841674381182,0.150802522796514,0.52568042609853,""
"errweight",5,0.500095094766811,0.153775162029963,0.498035304542584,""
"errfeat",1,0.53882613164719,0.149765540739085,0.53863624277864,""
"errfeat",2,0.499488302147541,0.153809301571476,0.495185340174777,""
"errfeat",3,0.459847971419523,0.158182329034139,0.483779993527882,""
"errfeat",4,0.513750953958291,0.152432542817112,0.488661425810137,""
"errfeat",5,0.478348400025943,0.155907700721904,0.4830719791113,""
"target_logz",1,0.502075994164365,0.156517890389773,0.489623753691771,""
"target_logz",2,0.51427762302404,0.153872656065092,0.50642151422353,""
"target_logz",3,0.512689201363275,0.154176244540992,0.482824375090599,""
"target_logz",4,0.528511564936162,0.152918160120254,0.497624434955116,""
"target_logz",5,0.516030712846469,0.15396777156732,0.501499698450409,""
"meta_ccls",1,0.529310442234168,0.150681823701955,0.530254820577756,""
"meta_ccls",2,0.5098117308802,0.152785991710281,0.501533761535107,""
"meta_ccls",3,0.51570067975478,0.152099319653234,0.502612921491433,""
"meta_ccls",4,0.517694524952345,0.151926781300323,0.519481707838683,""
"meta_ccls",5,0.518252047108528,0.151899844611253,0.522777537818772,""
