"cfg","rep","log_r","log_rmse","z_r","error"
"paperform",1,0.551604196537829,0.148271062408518,0.566710260743084,""
"paperform",2,0.53334858746115,0.150200851111607,0.539519774005299,""
"paperform",3,0.527512329956434,0.151035993172265,0.522748991139099,""
"paperform",4,0.552448452058001,0.148180443897401,0.563415804096323,""
"paperform",5,0.526375599116683,0.150970637683838,0.521955228365508,""
"paperform_p",1,0.539876723202453,0.149440037451119,0.547213567820246,""
"paperform_p",2,0.518833402797774,0.151828260062603,0.522253682831668,""
"paperform_p",3,0.535977090171611,0.149880050250537,0.522663192415832,""
"paperform_p",4,0.524813485453721,0.151245804782699,0.530697401392978,""
"paperform_p",5,0.524687912577436,0.151159592151312,0.515182075222311,""
"top7",1,0.534871978069307,0.150030378816714,0.543822217396749,""
"top7",2,0.515086299640098,0.152186066398221,0.527835749087559,""
"top7",3,0.544291066087011,0.148941422727831,0.543166011882441,""
"top7",4,0.536706310836588,0.149840545612273,0.547963350004117,""
"top7",5,0.522576982958123,0.151364931474772,0.531884485038039,""
"physfeat",1,0.521842050296481,0.15144973180943,0.51601634052455,""
"physfeat",2,0.514562781095848,0.152281735043514,0.512177997529387,""
"physfeat",3,0.506338254795549,0.15309923347011,0.49693256864401,""
"physfeat",4,0.520881465032576,0.15154991578144,0.512955421346084,""
"physfeat",5,0.516358947812675,0.152032260150491,0.514598444812671,""
"optind",1,0.550493113586297,0.14821959669385,0.544156304619361,""
"optind",2,0.508568244826524,0.152906716983317,0.502359727532122,""
"optind",3,0.538603319623834,0.149723091543409,0.52998114931696,""
"optind",4,0.524505513493584,0.151209384570535,0.527111824805113,""
"optind",5,0.525177166848236,0.151124425201172,0.519689621800244,""
"upsample_hz",1,0.477530956680979,0.158154979770442,0.456511696663815,""
"upsample_hz",2,0.467129360442508,0.158052826743165,0.458505168188801,""
"upsample_hz",3,0.451194043082372,0.160766239017473,0.414297152124139,""
"upsample_hz",4,0.475852096434406,0.157859268214762,0.469292638325583,""
"upsample_hz",5,0.450202671640723,0.161738559629399,0.433546397030387,""
