"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.364,0.4829,0.1189,1.31206479017559,2.04018491662944,0.728120126453847,0.239498631307299,0,0,0.401485761213518,0.336915046238226,1.52049454130629,1.1722762112573
"011211A",0.554,0.4969,-0.0571,2.58096437102636,2.13978564827282,-0.441178722753541,-0.140512370007243,0,0,0.587675204716494,0.532741536164054,2.8696813529101,2.40989916197582
"030329A",0.2265,0.0682,-0.1583,0.684612426774051,0.170038089423047,-0.514574337351003,-0.439792808458691,0,0,0.265159854466198,0.199504276976833,0.841449674797038,0.583085157015512
"050315A",0.3799,0.4697,0.0898,1.39828063091446,1.94917130750827,0.550890676593818,0.186795075345847,0,0,0.434385063014268,0.346830812191558,1.71884884157522,1.22244392600421
"050318A",0.4006,0.3874,-0.0132,1.51535912916327,1.44005715942821,-0.0753019697350634,-0.030860740062626,0,0,0.438274045829689,0.375127395845927,1.74330468911262,1.3720694259289
"050401A",0.421,0.5911,0.1701,1.63633138582538,2.90031784475066,1.26398645892528,0.324072680544855,0,0,0.449528662360617,0.389702249920029,1.81532581353587,1.45302655655662
"050416A",0.2567,0.2182,-0.0385,0.805926205416154,0.65272272994873,-0.153203475467424,-0.0926976271889095,0,0,0.312304792589005,0.191607269819307,1.05260221199905,0.554559216196653
"050502A",0.5214,0.6803,0.1589,2.3220028446165,3.78960832497788,1.46760548036138,0.306414508407252,0,0,0.540096225953035,0.493627845001019,2.46813684909048,2.11621809453272
"050502B",0.4725,0.6806,0.2081,1.96824674346324,3.79291801219085,1.82467126872761,0.380701540081958,0,0,0.50905777955151,0.404445924185275,2.22892367667972,1.53773298258773
"050505A",0.5713,0.7218,0.1505,2.72649034199733,4.26987118996723,1.54338084796991,0.292868799318699,0,0,0.582158711967219,0.550427911922543,2.82083877045127,2.55163160435387
"050525A",0.4299,0.2068,-0.2231,1.69091512648098,0.609904076215706,-1.08101105026527,-0.671475441447624,0,0,0.453787709972187,0.389626192451969,1.84307102953786,1.4525969985937
"050730A",0.4226,0.6961,0.2735,1.64606190285294,3.96706679223423,2.32100488938128,0.467278775677038,0,0,0.459891686617781,0.394029264279307,1.88331231310929,1.47758900061042
"050801A",0.3951,0.4082,0.0131,1.48370493365443,1.559764430599,0.076059496944564,0.0297134752070782,0,0,0.417070715040885,0.374080955824435,1.61258672046798,1.36636076418253
"050802A",0.4197,0.433,0.0133,1.62845169453387,1.71019163189084,0.0817399373569678,0.0301602057932485,0,0,0.439845531363284,0.396274460004922,1.75324926123216,1.49043069236769
