"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3707,0.4829,0.1122,1.34801031245518,2.04018491662944,0.69217460417426,0.227675165542776,0,0,0.389039289308927,0.345091712346338,1.44928481121504,1.21356211029664
"011211A",0.6002,0.4969,-0.1033,2.98290547901717,2.13978564827282,-0.843119830744353,-0.268527831257573,0,0,0.650618600322976,0.54431921309614,3.47320292617354,2.50202476637782
"030329A",0.22,0.0682,-0.1518,0.659586907437561,0.170038089423047,-0.489548818014513,-0.418404172000856,0,0,0.246665431718621,0.200270060707808,0.76467783862218,0.585879045382275
"050315A",0.3374,0.4697,0.1323,1.17470323244035,1.94917130750827,0.774468075067922,0.262605320042349,0,0,0.402690256713828,0.302278591972605,1.5274947182653,1.0057582720424
"050318A",0.3886,0.3874,-0.00119999999999998,1.44680860969562,1.44005715942821,-0.00675145026740864,-0.00276692299658699,0,0,0.411863139964091,0.354779463352931,1.58144656633613,1.26349460319547
"050401A",0.3741,0.5911,0.217,1.36646453335256,2.90031784475066,1.53385331139809,0.393263670411495,0,0,0.442476544785156,0.340092441886299,1.76997943510484,1.18822735019122
"050416A",0.2089,0.2182,0.0093,0.617707503836856,0.65272272994873,0.0350152261118737,0.0211863886648185,0,0,0.245644366322397,0.154779760639489,0.760533795690359,0.428169521698577
"050502A",0.4948,0.6803,0.1855,2.12464008580611,3.78960832497788,1.66496823917177,0.347620959001791,0,0,0.518670748015586,0.479726003289031,2.30119172659696,2.01804703151818
"050502B",0.4734,0.6806,0.2072,1.97440429812514,3.79291801219085,1.81851371406571,0.379416820700938,0,0,0.505834725537909,0.453895528318421,2.20504938356431,1.84377694057959
"050505A",0.5613,0.7218,0.1605,2.64166506573214,4.26987118996723,1.6282061242351,0.30896507059506,0,0,0.576781576815095,0.547195701298075,2.77382343279159,2.52529691794966
"050525A",0.4169,0.2068,-0.2101,1.61155995126144,0.609904076215706,-1.00165587504574,-0.622183575930974,0,0,0.449859715265883,0.380819119270977,1.81747269116979,1.4033616075909
"050801A",0.3964,0.4082,0.0118,1.49115069656386,1.559764430599,0.0686137340351358,0.026804706407722,0,0,0.417585274749293,0.375526373490641,1.61568399346064,1.37424959990268
"050802A",0.3814,0.433,0.0516,1.40657832011161,1.71019163189084,0.303613311779237,0.112026510674233,0,0,0.396985946904429,0.354901747106429,1.49451400703427,1.26413202227125
"050820A",0.3747,0.5581,0.1834,1.36973618438321,2.61493089917358,1.24519471479037,0.344458787600901,0,0,0.387534930450819,0.360903511082675,1.44081537574652,1.29563856038045
"050824A",0.2051,0.2619,0.0568,0.603614594088224,0.82767932897041,0.224064734882186,0.122595212043247,0,0,0.266567617867563,0.143640066968416,0.8474284095364,0.392002665746464
"050904A",0.6265,0.8627,0.2362,3.23155509716616,6.28953792855699,3.05798283139083,0.41950297280313,0,0,0.661104661320587,0.585783457855238,3.58252308364091,2.85286203476997
"050922C",0.394,0.5049,0.1109,1.47742205763329,2.19815862166661,0.720736564033321,0.225359855246246,0,0,0.423532936753563,0.36571263872357,1.65175219341528,1.32120041064374
"051016B",0.3369,0.287,-0.0499,1.17220095352193,0.936421963946607,-0.23577898957532,-0.121760129747124,0,0,0.38013361747499,0.292820430677492,1.39957107094955,0.962548646910964
