"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3467,0.4829,0.1362,1.2217746129152,2.04018491662944,0.818410303714241,0.269197540990891,0,0,0.369096674142476,0.316850684843455,1.33935792280635,1.07420026228675
"011211A",0.5222,0.4969,-0.0253,2.32812783959653,2.13978564827282,-0.188342191323705,-0.0599856845091675,0,0,0.569863429859581,0.475295195096687,2.71418412873849,1.98741250859046
"030329A",0.2317,0.0682,-0.1635,0.704904275992887,0.170038089423047,-0.53486618656984,-0.457135704730421,0,0,0.247772096073695,0.218557866219799,0.769180305140172,0.654085163531001
"050315A",0.3438,0.4697,0.1259,1.20698814335858,1.94917130750827,0.742183164149691,0.25165820725984,0,0,0.378332217694499,0.30676176055693,1.38963856067212,1.02657070556061
"050318A",0.4213,0.3874,-0.0339,1.63815312816521,1.44005715942821,-0.198095968737003,-0.0811849705944693,0,0,0.471818132177591,0.400898400655479,1.96359007846482,1.51708800844682
"050319A",0.4261,0.6274,0.2013,1.66747280212458,3.24033335385019,1.57286055172561,0.370928514452164,0,0,0.449674759854437,0.399597819018192,1.81627305383853,1.50956136091453
"050401A",0.404,0.5911,0.1871,1.53512863049791,2.90031784475066,1.36518921425275,0.350019990316975,0,0,0.423296541798729,0.382983469478152,1.65030918575397,1.4153688966703
"050416A",0.3944,0.2182,-0.1762,1.4797048987987,0.65272272994873,-0.826982168849968,-0.500375624939594,0,0,0.417597594864982,0.368284832079203,1.61575819653676,1.33498896294932
"050502A",0.516,0.6803,0.1643,2.28095293113119,3.78960832497788,1.50865539384669,0.314985128528993,0,0,0.549607860773167,0.495620172005505,2.54493160777077,2.13054659359363
"050502B",0.5221,0.6806,0.1585,2.32736159806162,3.79291801219085,1.46555641412923,0.305775398285881,0,0,0.554676799199833,0.48398853784919,2.58654925260518,2.04781454888451
"050505A",0.5302,0.7218,0.1916,2.39000235575617,4.26987118996723,1.87986883421106,0.356720072739149,0,0,0.559426844025044,0.507112265282116,2.62599202041603,2.2144913784443
"050525A",0.4084,0.2068,-0.2016,1.56094351715677,0.609904076215706,-0.951039440941062,-0.59074292375022,0,0,0.432773294400809,0.393058888706416,1.70877725683865,1.47205932428387
"050730A",0.4594,0.6961,0.2367,1.88004981744286,3.96706679223423,2.08701697479137,0.420170910134392,0,0,0.493036558366003,0.341638841907543,2.11197828851843,1.19603289833966
"050801A",0.4003,0.4082,0.00790000000000002,1.51362218062281,1.559764430599,0.0461422499761874,0.0180259751345126,0,0,0.421394703752872,0.379154975102456,1.6387284756658,1.39416994764029
"050802A",0.4177,0.433,0.0153,1.61637505598582,1.71019163189084,0.0938165759050231,0.0346162148835097,0,0,0.435264918280468,0.404964362544185,1.72436265404687,1.54076420626817
"050820A",0.3876,0.5581,0.1705,1.44118110605489,2.61493089917358,1.17374979311869,0.324694946004921,0,0,0.401361300128829,0.36837713100882,1.51977231583256,1.33548526187562
"050824A",0.2689,0.2619,-0.00699999999999995,0.857376729052969,0.82767932897041,-0.0296974000825592,-0.0162486928706956,0,0,0.291894748416276,0.226310615041209,0.958370003594544,0.683877969589609
"050826A",0.5308,0.1129,-0.4179,2.39468905380079,0.296880618803647,-2.09780843499714,-1.61758021870381,0,0,0.564405119005373,0.501140920467069,2.66779554784626,2.17059609550298
"050908A",0.406,0.6375,0.2315,1.54683025258504,3.34010263644744,1.7932723838624,0.413186630381227,0,0,0.425256401449565,0.390867144542608,1.66229637883481,1.45961506575478
"050922C",0.4005,0.5049,0.1044,1.51478001299561,2.19815862166661,0.683378608670998,0.213678772541582,0,0,0.432665626471636,0.374590694391369,1.70810579472935,1.36913983127953
"051016B",0.3919,0.287,-0.1049,1.4654715760611,0.936421963946607,-0.529049612114496,-0.273209879852966,0,0,0.410203530947738,0.362263301789577,1.57160067419232,1.30283754658495
"051028A",0.4266,0.6628,0.2362,1.6705456121919,3.60044666393478,1.92990105174288,0.41950297280313,0,0,0.436887162131797,0.404286640450347,1.73455814440229,1.53680240325285
"051109A",0.4179,0.5245,0.1066,1.61758021870381,2.34580017853301,0.728219959829198,0.217651957968539,0,0,0.44103829247645,0.389945996096591,1.76082127175376,1.45440369508707
"051109B",0.5156,0.0334,-0.4822,2.27793245300228,0.0799409266631044,-2.19799152633918,-2.0352886644742,0,0,0.532207359206634,0.486158379226727,2.40570760557944,2.06308027919135
"051111A",0.3372,0.4065,0.0693,1.17370197515712,1.54976408779928,0.376062112642165,0.147488983173634,0,0,0.356088173458707,0.31836711132011,1.27032574227408,1.08145540844563
"060115A",0.5472,0.6561,0.1089,2.52533181195886,3.5300187543224,1.00468694236354,0.221784278796837,0,0,0.569796802271784,0.515638798925406,2.71361435832292,2.27822530944694
"060206A",0.4856,0.7031,0.2175,2.05914455948641,4.04777513500947,1.98863057552306,0.393961799472934,0,0,0.520849920345675,0.467279732556928,2.31779784210043,1.9327816651904
"060218A",0.4232,0.0141,-0.4091,1.64972009887896,0.0329992352432302,-1.61672086363573,-1.56507459877747,0,0,0.489695399573944,0.378376700078615,2.0881287568572,1.3898833306811
"060223A",0.6738,0.7332,0.0594,3.71845698248157,4.41003406863468,0.691577086153107,0.127832297796905,0,0,0.724146868249537,0.624265629671311,4.29842593986994,3.20984038195124
"060306A",0.3955,0.4081,0.0126,1.48599356422823,1.55917509090989,0.0731815266816676,0.0285957482712324,0,0,0.426247991396349,0.358472482100589,1.66838193247063,1.28282427508864
"060418A",0.4532,0.396,-0.0572,1.83922623942491,1.48885731828239,-0.350368921142518,-0.140775012922121,0,0,0.487982144442537,0.432486253896987,2.07597034687929,1.70698752215524
"060510B",0.5253,0.7709,0.2456,2.35196905022163,4.90065196995666,2.54868291973503,0.431932425893228,0,0,0.553733085921591,0.487403692153184,2.57876421378703,2.07187607966837
"060512A",0.435,0.1584,-0.2766,1.72270130807791,0.44012437117557,-1.28257693690234,-0.890601508156811,0,0,0.446361244422405,0.416703619358693,1.7948676344226,1.61037931484169
"060526A",0.4631,0.6254,0.1623,1.90469140738191,3.22085079179884,1.31615938441694,0.311823243544701,0,0,0.48414018741989,0.411177678878355,2.04887898901309,1.57737539905359
"060604A",0.4954,0.4963,0.000900000000000012,2.12895991896357,2.13545086914429,0.00649095018072066,0.0020701807974724,0,0,0.526481822352974,0.470584529437863,2.3611030066137,1.95518401836418
"060605A",0.5105,0.6794,0.1689,2.23966422434845,3.7796929697961,1.54002874544765,0.322202441700633,0,0,0.542562483574116,0.475324551300784,2.4878876207136,1.98761445003586
