"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3453,0.4829,0.1376,1.21462398940567,2.04018491662944,0.825560927223768,0.27154957670767,0,0,0.377846247576723,0.299782531574846,1.38696608039145,0.994263458311647
"011211A",0.5211,0.4969,-0.0242,2.3197088787468,2.13978564827282,-0.179923230473976,-0.0573043037421839,0,0,0.562104654179092,0.468766051045156,2.64841854154968,1.94283593817063
"030329A",0.2496,0.0682,-0.1814,0.776642308203616,0.170038089423047,-0.606604218780568,-0.518448266141223,0,0,0.294523232483687,0.222560600668466,0.970258602929683,0.669400736126283
"050315A",0.3469,0.4697,0.1228,1.22279801356456,1.94917130750827,0.726373293943714,0.246297423311574,0,0,0.372247279845677,0.312406650362195,1.35639059047729,1.05308367796014
"050318A",0.4237,0.3874,-0.0363,1.65277245862146,1.44005715942821,-0.212715299193257,-0.0871763591157446,0,0,0.443234489939866,0.389062264710146,1.77481791612938,1.44941438870708
"050319A",0.4448,0.6274,0.1826,1.784838407805,3.24033335385019,1.45549494604518,0.343250123182793,0,0,0.465299568818412,0.420612436386666,1.91944009888684,1.63397977788703
"050401A",0.3976,0.5911,0.1935,1.49804351871415,2.90031784475066,1.40227432603651,0.359528218430658,0,0,0.425476917349765,0.353981198601734,1.66364852070817,1.25933795725299
"050416A",0.4032,0.2182,-0.185,1.5304630494614,0.65272272994873,-0.877740319512666,-0.53108746168203,0,0,0.429241781647031,0.354818276408384,1.68683985440626,1.26369690156918
"050502A",0.5054,0.6803,0.1749,2.20184275820278,3.78960832497788,1.58776556677511,0.33150217283841,0,0,0.546911258832041,0.47485712710892,2.52298877016709,1.98440065826249
"050502B",0.5163,0.6806,0.1643,2.28322011609199,3.79291801219085,1.50969789609886,0.314985128528993,0,0,0.536967324124024,0.496573691464179,2.44324023198732,2.1374274464041
"050505A",0.5398,0.7218,0.182,2.46577208993549,4.26987118996723,1.80409910003175,0.34234216264458,0,0,0.56956984416217,0.503294817815967,2.71167416626575,2.18635982611856
"050525A",0.4016,0.2068,-0.1948,1.52115763080741,0.609904076215706,-0.911253554591705,-0.566029720686047,0,0,0.440883954167684,0.359598703653039,1.75984031344221,1.28875182524426
"050730A",0.4459,0.6961,0.2502,1.79190090827853,3.96706679223423,2.17516588395569,0.437917582939787,0,0,0.474338933171143,0.411257049243655,1.98084183785268,1.57784647554581
"050801A",0.3965,0.4082,0.0117,1.4917243712539,1.559764430599,0.0680400593450998,0.0265805941092705,0,0,0.431720216590261,0.364847829289411,1.70221696722428,1.31658280954103
"050802A",0.4151,0.433,0.0179,1.60075834096442,1.71019163189084,0.10943329092642,0.0403784328896589,0,0,0.445596412041559,0.401400208031118,1.78994994791942,1.51999806921159
"050820A",0.3863,0.5581,0.1718,1.43388469650418,2.61493089917358,1.18104620266939,0.326713355140315,0,0,0.411496440094726,0.353772047200839,1.57926782212166,1.25825014713588
"050824A",0.2852,0.2619,-0.0233,0.928412775639426,0.82767932897041,-0.100733446669016,-0.0551154926754918,0,0,0.341888278792221,0.227365460079753,1.19729455135157,0.687972862018672
"050908A",0.4078,0.6375,0.2297,1.55740788582677,3.34010263644744,1.78269475062067,0.410749445335671,0,0,0.42914488720089,0.379117103756584,1.68624046659303,1.3939611803436
"050922C",0.3825,0.5049,0.1224,1.41268153259163,2.19815862166661,0.785477089074973,0.24560291780201,0,0,0.435421595415571,0.364209543892367,1.72534567906227,1.31318061359339
"051016B",0.4016,0.287,-0.1146,1.52115763080741,0.936421963946607,-0.584735666860804,-0.30196707006414,0,0,0.434864470725829,0.36307902061648,1.72185177354306,1.30716694346403
"051028A",0.4206,0.6628,0.2422,1.63390435274731,3.60044666393478,1.96654231118747,0.427467690605824,0,0,0.436550875311237,0.39743811447871,1.73244151626328,1.49711253355802
"051109A",0.4164,0.5245,0.1081,1.6085550118689,2.34580017853301,0.737245166664104,0.220349431324185,0,0,0.431469046968966,0.400107548503154,1.70065462044197,1.51250855103836
"051111A",0.328,0.4065,0.0785,1.12813904598271,1.54976408779928,0.42162504181657,0.165358451722676,0,0,0.349056568369456,0.29707430664437,1.23386317234305,0.981866088876613
"060115A",0.5376,0.6561,0.1185,2.44825996552623,3.5300187543224,1.08175878879617,0.238797860994282,0,0,0.554893786688371,0.495281926849588,2.58834165567637,2.12810935338242
"060206A",0.4875,0.7031,0.2156,2.07255736526745,4.04777513500947,1.97521776974203,0.391304627665099,0,0,0.522483308145978,0.458469290362935,2.33029962251241,1.87388436960443
"060223A",0.6744,0.7332,0.0588,3.72498027680195,4.41003406863468,0.685053791832727,0.12662652085768,0,0,0.705419130807021,0.621230021791584,4.07480233250425,3.18051726922002
"060306A",0.3843,0.4081,0.0238,1.42270201210924,1.55917509090989,0.136473078800655,0.053326979965303,0,0,0.406753046321893,0.336855631606619,1.55125016799673,1.17197904846083
"060418A",0.4448,0.396,-0.0488,1.784838407805,1.48885731828239,-0.295981089522612,-0.118922481955243,0,0,0.462241894430468,0.421255077983818,1.89895780690839,1.6378802602531
"060510B",0.4956,0.7709,0.2753,2.13040119009624,4.90065196995666,2.77025077986043,0.469482151119103,0,0,0.541951493720945,0.45291289309602,2.48298411471354,1.83734988109695
"060512A",0.4423,0.1584,-0.2839,1.76885364129124,0.44012437117557,-1.32872927011567,-0.922648971651683,0,0,0.475691155577517,0.407637381306461,1.99013747229514,1.55645046063697
"060526A",0.4469,0.6254,0.1785,1.79833690456202,3.22085079179884,1.42251388723682,0.337020652329332,0,0,0.500500971506629,0.40769510712555,2.16592754553041,1.55679028306392
"060604A",0.4586,0.4963,0.0377,1.87474945293637,2.13545086914429,0.260701416207922,0.0831463885380767,0,0,0.493154640543109,0.389287834192056,2.11282453259391,1.45068692765985
"060605A",0.4905,0.6794,0.1889,2.09385531545165,3.7796929697961,1.68583765434445,0.352708357000673,0,0,0.5431574332708,0.458625165662619,2.49266903008631,1.87491603822344
