"","log10PeakFlux","Alpha","log10Ta","PhotonIndex","log10Fa","Beta","Gamma","log10Fluence","log10T90","log10NH","log10PeakFluxSqr","AlphaSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Sqr","log10NHSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060707A",0.004321374,0.861995,3.5545,0.6,-10.9132,1.12,2.09345,-5.795880017,1.8208579894397,21.20847898,1.8674273247876e-05,0.743035380025,12.63447025,0.36,119.09793424,1.2544,4.3825329025,33.5922251714599,3.31552381770639,449.799580645102,0.0414232995600016,0.07695,0.127895,0.0364485,0.035,0.0248403283013014,0.363636364,0.0599386321664952,"060707A",3.425,0.645913275033844
"100816A",1.037426498,1.04455013,3.97801299,0.73,-11.5559552,1.09,1.91138,-5.698970004,0.462397997898956,21.34783526,1.07625373875254,1.09108497408302,15.8245873486087,0.5329,133.540100584407,1.1881,3.6533735044,32.4782591064918,0.213811908460963,455.730070288099,0.093024842605729,0.08674922,0.112014005,0.047175154,0.015,0.0131604388353707,0.145454545,0.00965903766658571,"100816A",0.804,0.256236533205923
"070521A",0.814913181,1.44502,3.55243,1.1,-10.01233374,0.98,2.00022,-5.096367484,1.57863920996807,22.27524914,0.664083492567539,2.0880828004,12.6197589049,1.21,100.246826921142,0.9604,4.0008800484,25.9729615319725,2.49210175524862,496.186724249071,0.032307204598357,0.04901,0.04844,0.0562,0.147518075,0.00581622391039878,0.121212121,0.0108830581881966,"070521A",2.0865,0.489466281303128
"141221A",0.84509804,1.35305948188261,3.4056147166378,1.59,-10.2498942226753,0.861318583763983,1.72551,-5.698970004,1.59328606702046,20.90308999,0.714190697211842,1.83076996151243,11.5982115981799,2.5281,105.060331576032,0.741869702737194,2.9773847601,32.4782591064918,2.53856049136152,436.939171130038,0.093024842605729,0.787218718173173,0.604803704452244,0.283040300524705,0.214775568252201,0.0169812114071368,0.58,0.0337447149872822,"141221A",1.45,0.389166084364532
"100513A",-0.22184875,0.96306136,3.74522911,1.62,-11.57186521,1.36,2.25722,-5.853871964,1.92427928606188,22.05240534,0.0492168678765625,0.92748718312505,14.0267410863914,2.6244,133.908064438408,1.8496,5.0950421284,34.2678169709052,3.70285077076682,486.30858127966,0.0768849139192809,0.09817689,0.128616618,0.061569437,0.025,0.0188006269082896,0.084848485,0.0438681298090717,"100513A",4.772,0.761326322421457
"970508A",-0.22184875,1.4662611250133,4.64973175700802,1.94,-11.2937134663557,0.864886908282649,2.05121,-5.869666232,2.21669359916975,21.99532933,0.0492168678765625,2.14992168672525,21.6200054121289,3.7636,127.547963860145,0.74802936411872,4.2074624641,34.4529816750811,4.91373051260016,483.794512335158,0.00919722887858148,0.822079601505504,0.641270919132509,0.290677903113412,0.213343873808093,0.0142275014568467,0.58,0.0363046589885454,"970508A",0.83,0.262451089730429
"090618A",1.589949601,1.30942861,3.67275453,1.42,-9.640164518,0.8945,1.82831,-3.978810701,2.05384642685225,21.39200012,2.52793973372006,1.71460328468653,13.4891258376355,2.0164,92.9327719341062,0.80013025,3.3427174561,15.8309345943921,4.21828514509377,457.61766913408,0.00227712475506529,0.009695255,0.014245613,0.010591616,0.002482662,0.00250675025669951,0.048484848,0.00541303397821518,"090618A",0.54,0.187520720836463
"210610B",1.130333768,1.05139,2.89514,0.98,-9.19036,0.78,1.91684,-4.443697499,1.84123429550604,21.03780485,1.27765442708108,1.1054209321,8.3818356196,0.9604,84.4627169296,0.6084,3.6742755856,19.7464474626189,3.39014373094763,442.589232906684,0.0158369132201676,0.0225999999999997,0.0283100000000001,0.01291,0.029,0.0120637356019594,0.11,0.0225189731613911,"210610B",1.13,0.328379603438738
"050904A",-0.207608311,1.97901,4.6841,1.25,-11.4544,0.848,1.90813,-5.316052869,2.24104815067164,22.39388568,0.0431012107962727,3.9164805801,21.94079281,1.5625,131.20327936,0.719104,3.6409600969,28.2604181060031,5.0222968136288,501.486115848909,0.0268161033458331,0.29485,0.098475,0.624745,0,0.00980902273641476,0.042424242,0.072170148569444,"050904A",6.29,0.862727528317975
"080310A",0.113943352,1.59590648,4.32608056,2.32,-11.3990271,0.878,2.09352,-5.638272164,2.56229286445647,21.59590717,0.0129830874649959,2.54691749290599,18.7149730116099,5.3824,129.937818826534,0.770884,4.3828259904,31.7901129953372,6.56534472324456,466.383206495257,0.0207018675137275,0.04247343,0.03798676,0.065276352,0.0375,0.0228877197323238,0.096969697,0.0404936579440628,"080310A",2.42,0.534026106056135
"110731A",1.041392685,1.42351927,5.08952072,1.15,-12.08512818,0.39,1.85145,-5.22184875,1.58883172559421,21.95954126,1.08449872437151,2.02640711206133,25.9032211593093,1.3225,146.05032312703,0.1521,3.4278671025,27.2677043678766,2.52438625225467,482.221452349642,0.130539784510126,0.097418495,0.090702815,0.110855301,0.13,0.00438681295239289,0.03030303,0.00717842119827721,"110731A",2.83,0.583198773968623
"081029A",-0.301029996,2.51960373,4.48156171,1.43,-11.86327943,0.87,1.95818,-5.677780705,2.43136376415899,21.49704581,0.09061905849176,6.34840295622991,20.0843953605381,2.0449,140.737398834261,0.7569,3.8344689124,32.2371937340703,5.91152975366536,462.122978557239,0.0734806588231774,0.083250805,0.04285341,0.169198521,0.001,0.0250675025476,0.109090909,0.105283510661638,"081029A",3.8479,0.685553652846326
"050803A",-0.017728767,1.52234,4.21721,1.38,-10.86012091,1.218,2.11696,-5.66756154,1.94398887507377,21.34755638,0.000314309179340289,2.3175190756,17.7848601841,1.9044,117.942226179819,1.483524,4.4815196416,32.1212538096872,3.77909274641059,455.718163397279,0.0515724807439485,0.0489,0.04766,0.048695,0.22485626,0.0165270627330643,0.066666667,0.0301593391746037,"050803A",3.5,0.653212513775344
