"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"070521A",0.4718,0.4895,0.0177,1.96346634854862,2.08673964568386,0.123273297135244,0.0399364090546526,0,0,0.493226880814186,0.446449984122569,2.11334236093604,1.7954387700611
"141221A",0.4886,0.3892,-0.0994,2.08034953654257,1.45019133688078,-0.630158199661783,-0.257187342954206,0,0,0.532630893363557,0.432133526769896,2.40903055149693,1.7047898421745
"100513A",0.62,0.7613,0.1413,3.16869383470335,4.77165017190231,1.60295633719896,0.277729295687828,0,0,0.733037773031394,0.546960402281655,4.40801357432946,2.52338744347343
"970508A",0.4724,0.2625,-0.2099,1.96756335807353,0.830206106311056,-1.13735725176247,-0.621436704773605,0,0,0.487858871318896,0.461501811608089,2.07509736626679,1.89402188911004
"090618A",0.3584,0.1875,-0.1709,1.2824433121735,0.539926526059492,-0.742516786114011,-0.482176762039441,0,0,0.481940580062639,0.103277677854946,2.03347611722997,0.268462632329799
"050904A",0.4649,0.8627,0.3978,1.9167553289395,6.28953792855699,4.37278259961749,0.599871026459301,0,0,0.476590642581123,0.438652575520026,1.99633689940538,1.7456967870831
"080310A",0.476,0.534,0.058,1.99226463660819,2.41979442513709,0.4275297885289,0.125016224772564,0,0,0.499631708533056,0.442326391715311,2.15959711448787,1.76902190734222
"081029A",0.5375,0.6856,0.1481,2.44746606573149,3.84841738708446,1.40095132135297,0.288950230457657,0,0,0.766647550904266,0.415396442231204,4.84315693761003,1.60253418160871
"050803A",0.5259,0.6532,0.1273,2.35660316699933,3.49987033872151,1.14326717172217,0.254066692074286,0,0,0.618817197174672,0.469287280833734,3.15735582629443,1.94636997937394
"210204A",0.4606,0.2732,-0.1874,1.88801869351406,0.875858173799283,-1.01216051971477,-0.539571985692706,0,0,0.479106920956526,0.422648963094695,2.01374790132026,1.64636024116615
"220117A",0.4787,0.7753,0.2966,2.010925432053,4.96073754509684,2.94981211304384,0.494873678085405,0,0,0.506176112255401,0.447488303411179,2.2075697735106,1.80213015258541
"081028A",0.4325,0.6062,0.1737,1.70707320392136,3.03831321348852,1.33124000956716,0.329652490827268,0,0,0.568015527109153,0.31179661623565,2.6984140229496,1.05020182718627
"030226A",0.4854,0.4757,-0.00969999999999999,2.05773609569008,1.99019836717057,-0.0675377285195089,-0.0225863706103938,0,0,0.508882127337924,0.467580499635879,2.22761798910193,1.93481344252585
"140213A",0.3902,0.3439,-0.0463,1.4558396112487,1.20749637966914,-0.248343231579565,-0.112499949656446,0,0,0.456992796628335,0.317903173611204,1.8641304639672,1.07923306833281
"210210A",0.4798,0.2343,-0.2455,2.0185613014198,0.715141676291705,-1.30341962512809,-0.75994866380147,0,0,0.505118544911403,0.462947342858878,2.19976839846845,1.90367057018283
"220521A",0.4922,0.8176,0.3254,2.10598961990566,5.57052390963554,3.46453428972988,0.527284328826384,0,0,0.534744669881588,0.468116791703059,2.42566325968028,1.93843975926674
"110106B",0.4771,0.209,-0.2681,1.99985318119079,0.618080037643066,-1.38177314354773,-0.853958463983309,0,0,0.489436144834369,0.467334585351242,2.08628582969046,1.93315210837091
"091029A",0.4728,0.5743,0.1015,1.97029784401786,2.7523211390275,0.782023295009634,0.208410545375739,0,0,0.49418503170335,0.445096212497996,2.12021867398458,1.78673846722173
"201015A",0.4962,0.1541,-0.3421,2.13472898801401,0.425935889676569,-1.70879309833744,-1.1983660069914,0,0,0.53388359578029,0.454011259117198,2.41887793834215,1.84453485127256
"130427A",0.4752,0.1271,-0.3481,1.98675775503349,0.339985194899797,-1.64677256013369,-1.22894832450506,0,0,0.495512932943588,0.450613625012765,2.12977367234183,1.82236790617552
"021004A",0.4431,0.5237,0.0806000000000001,1.77395875872989,2.33964265986625,0.565683901136359,0.169384559592077,0,0,0.478624608147585,0.350562338164798,2.01040279233892,1.24162178268077
"141121A",0.4479,0.3927,-0.0552,1.80478773734921,1.4700173280466,-0.334770409302604,-0.135533627841937,0,0,0.521333275153254,0.404807817369875,2.32149249251001,1.53984853103962
"140430A",0.4198,0.415,-0.00480000000000003,1.62905698758709,1.60015956316527,-0.0288974244218152,-0.0111137119549068,0,0,0.462704859972583,0.3681922405931,1.90204979458797,1.33449119688999
"160227A",0.4102,0.5289,0.1187,1.57157976637274,2.37987002861989,0.808290262247152,0.239148326829953,0,0,0.486226285666044,0.319740648032478,2.06355926095676,1.08804881751675
"081228A",0.5141,0.6474,0.1333,2.26663040458069,3.44017410806895,1.17354370348826,0.26430128074384,0,0,0.591303879961203,0.467603231676822,2.90214928255643,1.93496706189736
"170607A",0.4497,0.1923,-0.2574,1.81643673357755,0.557040825901838,-1.25939590767571,-0.808839361643756,0,0,0.48078484187755,0.412919662447832,2.02541420640046,1.58773418132613
"090809A",0.4839,0.5725,0.0886,2.04719326666311,2.73680125382116,0.689607987158045,0.184544999938883,0,0,0.534837378455967,0.444185469576484,2.42639461195494,1.78090062418544
"020124A",0.4746,0.623,0.1484,1.98263424577877,3.19758983991008,1.21495559413131,0.289441236630526,0,0,0.505924981100668,0.437225898227008,2.20571552971283,1.73669184611966
"170405A",0.4839,0.6542,0.1703,2.04719326666311,3.51024361117194,1.46305034450883,0.324383884915846,0,0,0.519867994960176,0.401531773694893,2.31030488533441,1.52076159593578
"060418A",0.4786,0.396,-0.0826,2.01023222066338,1.48885731828239,-0.521374902380987,-0.209483644783944,0,0,0.493562648968426,0.45604195611237,2.11575032481384,1.85786662144278
"210610A",0.4539,0.6571,0.2032,1.84380622147298,3.54046152604847,1.69665530457549,0.373674635241777,0,0,0.47487394332563,0.428715241024859,1.98451621879099,1.68358429136955
"060115A",0.4976,0.6561,0.1585,2.14485046547696,3.5300187543224,1.38516828884544,0.305775398285881,0,0,0.541861338313835,0.464289006101559,2.48226115535433,1.91265473183363
"080905B",0.4854,0.5281,0.0427,2.05773609569008,2.37364980873767,0.315913713047595,0.0936415250419252,0,0,0.586933685925231,0.334113342590342,2.86307985716062,1.1583076128472
"230506C",0.4845,0.6721,0.1876,2.05140602914104,3.70002318179801,1.64861715265697,0.350767876856787,0,0,0.5098582549573,0.46589950151896,2.23488059658012,1.92347578883484
"201020A",0.4764,0.5914,0.115,1.99502188375113,2.90301301964209,0.907991135890966,0.232638510638181,0,0,0.501541677833644,0.456259303505945,2.17352320195772,1.85929722980594
"070612A",0.4954,0.223,-0.2724,2.12895991896357,0.671090614310708,-1.45786930465286,-0.872405895986799,0,0,0.527452460077708,0.457538044837113,2.36862339182765,1.86772858183124
"170903A",0.4487,0.2755,-0.1732,1.8099591088425,0.885818969490405,-0.924140139352097,-0.490047111787099,0,0,0.474628945209536,0.407651780609272,1.9828330414206,1.55653522274216
"060206A",0.4973,0.7031,0.2058,2.14267882987923,4.04777513500947,1.90509630513025,0.377413068961256,0,0,0.539389223416608,0.463382631187655,2.4624955460065,1.90658234453719
"050603A",0.4689,0.5821,0.1132,1.94374373371174,2.82032226884411,0.876578535132368,0.229451463370285,0,0,0.482620319397386,0.454352503753082,2.03822770312972,1.84677080810421
"190829A",0.4156,0.0328,-0.3828,1.60375429893874,0.0784499632938318,-1.5253043356449,-1.41434872971415,0,0,0.486226285666044,0.315957830097041,2.06355926095676,1.06994034825967
"071003A",0.5155,0.4157,-0.0998,2.27717776805172,1.60435390455169,-0.672823863500029,-0.258345788690285,0,0,0.554712330754856,0.470142248191199,2.58684269608788,1.95217601982258
"211024B",0.4782,0.325,-0.1532,2.00746097073194,1.11348903983665,-0.893971930895293,-0.422983944579334,0,0,0.648845861520341,0.398990281700093,3.45498105499616,1.50605317392027
"100704A",0.4681,0.6628,0.1947,1.93832614867281,3.60044666393478,1.66212051526197,0.361295464697411,0,0,0.487118988040847,0.453895146853176,2.06986295450771,1.84377444273162
"060912A",0.5119,0.2871,-0.2248,2.25012451886183,0.9368678929189,-1.31325662594293,-0.678031078290956,0,0,0.639231972884448,0.445722351682604,3.35744558961794,1.79075911372783
