GRB,InvZphot,InvZspec,Dlogz,Zphot,Zspec,Dz,normDz,SD,z_SD,pred_max,pred_min,linpred_max,linpred_min,InvZphot_corrected,Zphot_corrected,pred_max_corrected,pred_min_corrected,linpred_max_corrected,linpred_min_corrected
000926A,0.3936,0.4829,0.0893,1.47514131807431,2.04018491662944,0.565043598555129,0.185858299429225,0,0,0.41901331840538,0.376847361551608,1.62429902090312,1.38148231929545,0.5127575232441675,2.2565482953546243,0.5262693379365655,0.5038504398514102,2.3594589439845115,2.1904389585790573
011211A,0.4594,0.4969,0.0375,1.88004981744286,2.13978564827282,0.259735830829964,0.0827240646102206,0,0,0.476000159244951,0.448633331494494,1.99226573379718,1.80952778538823,0.5477422266417201,2.5297360185506097,0.5565682395222179,0.5420177782489406,2.602203464010389,2.4835157484016857
030329A,0.2777,0.0682,-0.2095,0.895396175599343,0.170038089423047,-0.725358086176296,-0.619943993903629,0,0,0.302115399122846,0.260916263054095,1.00500471902504,0.823544068257335,0.1923946662933514,0.55738026228829,0.2189985031675856,0.1741065442109601,0.655764256729092,0.4931606774460431
050315A,0.3808,0.4697,0.0889,1.40325580493324,1.94917130750827,0.545915502575031,0.185108101786149,0,0,0.412503929700371,0.359582605672391,1.5852582320866,1.28866698972072,0.3047358804563017,1.017139251764065,0.3392815444357051,0.2816166967498255,1.184145390799158,0.9125671703900478
050318A,0.4172,0.3874,-0.0298,1.61336457618902,1.44005715942821,-0.173307416760817,-0.0710259659660714,0,0,0.456375994088253,0.395032480256511,1.86006559758697,1.48331882217571,0.3443985399667904,1.2100318875394396,0.3870860156400678,0.3202440677750859,1.438293694927003,1.0904706177360586
050319A,0.4248,0.6274,0.2026,1.65950003272152,3.24033335385019,1.58083332112867,0.372808736769076,0,0,0.44167162506373,0.410341053131935,1.76485032048866,1.57241511728422,0.52934601482477,2.383342894483204,0.53831636130941,0.521658446927806,2.4539525048607977,2.323980343707738
050401A,0.417,0.5911,0.1741,1.61216135439921,2.90031784475066,1.28815649035145,0.330269619458104,0,0,0.436872585997589,0.4015510625215,1.73446636654352,1.52087355594252,0.5251988919296193,2.3511887693548723,0.5357647965932669,0.5169849634266914,2.433719355838477,2.2884024524650712
050416A,0.2804,0.2182,-0.0622,0.907216520593906,0.65272272994873,-0.254493790645176,-0.153984565005087,0,0,0.326841382143014,0.222592505600241,1.12246912865879,0.669523381186901,0.1953366767515469,0.567966128547277,0.2459407626618452,0.132347694127038,0.761735731009876,0.3562748050661157
050502A,0.492,0.6803,0.1883,2.10455958812836,3.78960832497788,1.68504873684953,0.351813472525921,0,0,0.524645267732281,0.455954083346802,2.34691950682629,1.85728843486701,0.6677155746621872,3.6528127471079586,0.6865466599990206,0.6469228601374556,3.8589973252904777,3.435298566745524
050502B,0.5146,0.6806,0.166,2.27039341756639,3.79291801219085,1.52252459462446,0.31766130585833,0,0,0.542978099774385,0.47714900651422,2.49122709777356,2.00019170873047,0.680752151114939,3.7945974615215343,0.6971217647119563,0.6591489325393248,3.978766568878085,3.5619333143839356
050505A,0.5978,0.7218,0.124,2.96095583490634,4.26987118996723,1.3089153550609,0.248377105981795,0,0,0.629569702527526,0.573342696128104,3.26157074600596,2.74405910574495,0.7287452113303794,4.3548241248769335,0.747071235926896,0.7146372683324078,4.58561806319645,4.183669073905509
050525A,0.3036,0.2068,-0.0968,1.01187039514943,0.609904076215706,-0.401966318933727,-0.249683397211219,0,0,0.325794447039919,0.274463165000347,1.11735874541905,0.881322133757929,0.2206161740219683,0.6619431890628313,0.2447999870980091,0.1888677024339319,0.7571141943948649,0.5447837859264528
050603A,0.3245,0.5821,0.2576,1.11105719580854,2.82032226884411,1.70926507303556,0.447413844369922,0,0,0.343288224480578,0.307200737661619,1.20438894554022,1.02862016263283,0.4760182678525126,1.9923905037351992,0.4860076365579786,0.4668205541457541,2.062017275191883,1.9296824815329296
050730A,0.4474,0.6961,0.2487,1.80156046425689,3.96706679223423,2.16550632797733,0.435972862568106,0,0,0.463596565411349,0.420461272220574,1.90801448480774,1.63306313241438,0.6419885255563142,3.3851911155979577,0.6513313469393693,0.6264491988201922,3.4805501940689556,3.231060144022692
050801A,0.397,0.4082,0.0112,1.49459472694295,1.559764430599,0.0651697036560432,0.0254592582336935,0,0,0.416925274482983,0.373870689773764,1.61171193971857,1.36521535496593,0.3223879432054752,1.1008156460174,0.3440991898393099,0.297185471880869,1.208509083536952,0.982373446949875
050802A,0.434,0.433,-0.001,1.71643926883908,1.71019163189084,-0.0062476369482396,-0.0023052380778995,0,0,0.462934660560253,0.414699008023547,1.90358577822453,1.59835812184469,0.3627043828177851,1.3051775577411997,0.394232558363194,0.3416733753184244,1.4787490362823323,1.1962075252915074
050820A,0.4413,0.5581,0.1168,1.76248545463158,2.61493089917358,0.852445444542,0.235812376036532,0,0,0.470433097973473,0.404688580577383,1.95415377310024,1.5391513040763,0.5381187747952809,2.452381452861013,0.553608330899442,0.5186531266271402,2.577736329005173,2.301057784297345
