"log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","Redshift_crosscheck","is_optical","GRB"
1.397940009,-10.8792661195892,4.19980078435077,1.76313604780331,0.925203457906517,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,-12.89,5.12,2.14,1.01,2.04,1,"000926A"
2.431363764,-11.1529559715848,4.24278583701089,1.69088856995137,0.872983806791216,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,-13.52,5.23,1.98,0.41,2.14,1,"011211A"
1.661907293,-10.8264958606406,3.96857517247054,1.68458775460362,0.953545627671712,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,-12.7747,4.454184,1.961572,1.32,3.198,1,"020124A"
2,-10.8897727648793,4.30609630793056,1.37611805683753,0.892266462963456,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,-12.92,5.4,1.33,0.67,2.34,1,"021004A"
1.344195716,-10.9876452521376,4.13686610710775,1.75786653252766,0.884632029078898,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,-13.1407,4.965035,2.121816,0.57,1.99,1,"030226A"
1.798650645,-10.3925037009879,4.34643196252873,1.44306231652272,0.870859009747759,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,-11.76,5.5,1.46,0.41,0.17,1,"030329A"
1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,-14.040467619181,6.94935148760009,0.774914217824414,0.26322110229466,1.949,0,"050315A"
1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,-13.524952047439,4.9142982684079,2.36640874064289,1.2711559082136,1.44,0,"050318A"
2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,-12.4758597609376,3.82338817821154,0.265993286973572,1.49633283294017,3.24,0,"050319A"
1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,-10.020131264883,2.11065886188995,0.517210438423768,1.80193008792623,2.9,0,"050401A"
0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,-12.1266545267778,1.7502629104324,0.222495700505969,0.735020373150333,0.6528,0,"050416A"
1.301029996,-10.7556755275606,3.71368113429314,1.42039705936706,0.902063169278433,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,-12.6,3.72,1.43,0.76,3.79,1,"050502A"
1.243038049,-10.6836331853878,3.65423031617335,1.39529260031318,0.915598763862235,1.97812318786123,-5.90726604152399,1.49398169361224,21.0347201497492,0.300152911468348,-12.4453,3.576116,1.358692,0.9,3.793,1,"050502B"
1.770115295,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,-13.275792501284,5.29961925005147,1.51001302518216,1.5177782543427,4.27,0,"050505A"
0.944482672,-10.3684473287087,3.52179746684993,1.23490054236514,0.879580804303388,2.08914,-4.815308569,1,21.2788016,1.620136055,-11.6972,3.22416,1.03423,0.52,0.61,1,"050525A"
1.322219295,-10.4644618420931,3.96936607366225,1.62418006053207,0.920322429798127,1.90951127022931,-5.196542884,1.16,21.63005546,1.33243846,-11.88,4.45,1.85,0.95,2.82,1,"050603A"
2.194514342,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,-11.058779661017,4.68642992671893,3.43239616825769,-2.89461719922796,3.967,0,"050730A"
1.28780173,-10.0654096989412,3.32793797621411,1.31244219353007,0.89632406415555,2.07525210781143,-6.508638306,1.99,20.80209017,0.164352856,-10.98,2.64,1.19,0.69,1.56,1,"050801A"
1.477121255,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,-11.4976081150488,3.54450837140202,1.47926273024102,0.290027879047824,1.7102,0,"050802A"
1.943988875,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,-12.8367579726386,5.15112759363228,1.63514535197694,4.14484237615269,3.5,0,"050803A"
1.414973348,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,-10.8711710090115,3.85392398967277,0.833735664199131,0.735020373150333,2.6147,0,"050820A"
1.353723938,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,-16.0554703973479,7.56703798707983,0.455673670480131,0.306111945099721,0.8278,0,"050824A"
1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,-16.2764580006537,6.66777302344215,2.21393617639972,2.98678962041604,0.297,0,"050826A"
2.259044094,-11.4378944868069,4.35698284448173,1.85403917047081,0.923476512834974,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,-14.18,5.539472,2.332396,1,6.295,1,"050904A"
