"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4095,0.4829,0.0734,1.56743820810613,2.04018491662944,0.472746708523313,0.155499327010487,0,0,0.420066755514247,0.402048055281364,1.63067232212525,1.52376001454557
"050315A",0.4628,0.4697,0.00690000000000002,1.90268561049905,1.94917130750827,0.0464856970092216,0.0157622912208843,0,0,0.478316875696259,0.43709684617168,2.00827043622339,1.73587874981339
"050318A",0.4029,0.3874,-0.0155,1.52871567110516,1.44005715942821,-0.088658511676956,-0.036334604431042,0,0,0.414418765443245,0.385794575528942,1.5966819879594,1.43105383080495
"050319A",0.4115,0.6274,0.2159,1.57928896442749,3.24033335385019,1.6610443894227,0.391724954339848,0,0,0.451639559260249,0.396174981602353,1.82904306970174,1.48986030590031
"050401A",0.4907,0.5911,0.1004,2.09528041659398,2.90031784475066,0.805037428156677,0.20640303180423,0,0,0.503971717634007,0.484418868671455,2.19133002077082,2.05083604376744
"050416A",0.2438,0.2182,-0.0256,0.753072995971444,0.65272272994873,-0.100350266022713,-0.060718149635315,0,0,0.314865379562939,0.195478126385311,1.06474003878806,0.568476898004399
"050502A",0.4547,0.6803,0.2256,1.84904953390991,3.78960832497788,1.94055879106798,0.405160225930779,0,0,0.466529526471225,0.445015135733718,1.92771991211903,1.78621827030783
"050502B",0.4722,0.6806,0.2084,1.96619705926944,3.79291801219085,1.82672095292142,0.38112918858097,0,0,0.484872027032839,0.452881560469041,2.05402105636172,1.83714518492358
"050505A",0.5851,0.7218,0.1367,2.84680347771891,4.26987118996723,1.42306771224832,0.270038424270703,0,0,0.592494688047604,0.575392027550822,2.91286341187322,2.76176817158839
"050525A",0.308,0.2068,-0.1012,1.03235701093622,0.609904076215706,-0.422452934720516,-0.262408761467048,0,0,0.322839521845015,0.295400786155496,1.10300120651057,0.974243815207246
"050603A",0.3637,0.5821,0.2184,1.31046822389757,2.82032226884411,1.50985404494654,0.395216408118199,0,0,0.37516147872102,0.353311718536698,1.37225559020634,1.25585779221365
"050730A",0.4691,0.6961,0.227,1.94509968999602,3.96706679223423,2.02196710223821,0.40707467542,0,0,0.485150980403111,0.450509211523089,2.05598332658092,1.82168943137989
"050801A",0.4099,0.4082,-0.00169999999999998,1.56980399540227,1.559764430599,-0.010039564803269,-0.00392206590702553,0,0,0.437965314282346,0.379815412256737,1.74135521987044,1.39781356213982
"050802A",0.4002,0.433,0.0328,1.51304346435629,1.71019163189084,0.197148167534555,0.0727432574194058,0,0,0.417561532645464,0.369253098493078,1.61554100259597,1.34020066538753
"050820A",0.4788,0.5581,0.0793,2.01161880307882,2.61493089917358,0.603312096094752,0.16689450308239,0,0,0.485045232316527,0.453502915259953,2.05523930366148,1.84120725690398
"050824A",0.2779,0.2619,-0.016,0.896269238809998,0.82767932897041,-0.0685899098395877,-0.0375284158180125,0,0,0.335746474956573,0.169738888332665,1.16643904868176,0.478219368401333
"050908A",0.3969,0.6375,0.2406,1.49402039140518,3.34010263644744,1.84608224504226,0.425354513402327,0,0,0.419723554952165,0.374604157480805,1.62859425847503,1.36921327553719
"050922C",0.3938,0.5049,0.1111,1.47628142527396,2.19815862166661,0.721877196392648,0.225716508087541,0,0,0.40791515785509,0.376540857739718,1.55808609996053,1.3798021784598
"051016B",0.3864,0.287,-0.0994,1.4344451836922,0.936421963946607,-0.498023219745594,-0.257187342954206,0,0,0.429016246586577,0.360405149488282,1.6854449039855,1.29300578014262
"051028A",0.4421,0.6628,0.2207,1.76757883062595,3.60044666393478,1.83286783330883,0.398410842946536,0,0,0.45682341443194,0.425033980734926,1.86301362243162,1.66093325247442
"051109A",0.513,0.5245,0.0115,2.25836701002009,2.34580017853301,0.0874331685129213,0.0261322146713666,0,0,0.532861109277224,0.49942761360708,2.41083812945167,2.15811262351307
"051111A",0.4993,0.4065,-0.0928,2.1571847762703,1.54976408779928,-0.607420688471019,-0.238226230958993,0,0,0.515213238265409,0.47702581815049,2.27501458379056,1.99934081996582
"060115A",0.4726,0.6561,0.1835,1.96893028622637,3.5300187543224,1.56108846809603,0.344609714166523,0,0,0.49971920369746,0.442999298918044,2.16023372703956,1.77331562768242
"060206A",0.608,0.7031,0.0951,3.05508535448384,4.04777513500947,0.992689780525634,0.196658875242027,0,0,0.63574026104429,0.584196633853462,3.32255234372325,2.83881014491361
"060210A",0.6009,0.6911,0.0902000000000001,2.98933034060086,3.91020924883086,0.920878908230002,0.187543719944169,0,0,0.634786646352313,0.574937635621996,3.31307138702401,2.75783438179953
"060223A",0.6615,0.7332,0.0717,3.58669645798201,4.41003406863468,0.823337610652663,0.152187139712495,0,0,0.70596030322632,0.637479062807045,4.08112996268178,3.33989340658206
"060306A",0.3801,0.4081,0.028,1.3993853343082,1.55917509090989,0.159789756601691,0.0624379930741197,0,0,0.395671094818352,0.360130356345642,1.48697314013743,1.29155537497067
"060418A",0.38,0.396,0.016,1.39883291901949,1.48885731828239,0.0900243992629006,0.0361709763760295,0,0,0.407479326540924,0.341626847536713,1.55552024927494,1.19597224900998
"060502A",0.4868,0.3984,-0.0884,2.06760897691794,1.50264932573108,-0.564959651186858,-0.225744632049806,0,0,0.515477496556528,0.465182567361537,2.27700796190152,1.91865369069714
