"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4462,0.4829,0.0367,1.79383015136253,2.04018491662944,0.246354765266912,0.081032822681075,0,0,0.45451183251506,0.43350868241502,1.84781538890868,1.71336789725782
"050315A",0.3971,0.4697,0.0726,1.4951691947416,1.94917130750827,0.454002112766676,0.153942265615712,0,0,0.428327890378431,0.356631558176666,1.68119184862091,1.27316812793174
"050318A",0.4122,0.3874,-0.0248,1.58344963925848,1.44005715942821,-0.143392479830272,-0.0587660331136972,0,0,0.430742036396281,0.382742729178653,1.6961374964917,1.41403036827066
"050319A",0.4394,0.6274,0.188,1.75042622303032,3.24033335385019,1.48990713081987,0.351365566451762,0,0,0.484907472703617,0.407624331258821,2.05427032557218,1.55637364340706
"050401A",0.4723,0.5911,0.1188,1.966880130021,2.90031784475066,0.933437714729654,0.239323499233773,0,0,0.489300255159481,0.447223461286277,2.08532028951303,1.80042187421727
"050416A",0.2787,0.2182,-0.0605,0.89976551503604,0.65272272994873,-0.24704278508731,-0.149476243419835,0,0,0.330725201738877,0.230418588841086,1.14153512373216,0.699881270624735
"050502A",0.3977,0.6803,0.2826,1.49861878071788,3.78960832497788,2.29098954426001,0.478325029692399,0,0,0.421582669696686,0.370085616731848,1.63987078453433,1.34469100170043
"050502B",0.4217,0.6806,0.2589,1.64058407631274,3.79291801219085,2.15233393587812,0.449065460832759,0,0,0.428538934492861,0.413136878296981,1.68249508246723,1.58902878094241
"050505A",0.5698,0.7218,0.152,2.71364170191956,4.26987118996723,1.55622948804767,0.295306931032853,0,0,0.581906952258954,0.524912956854174,2.81862447915205,2.34898310688211
"050525A",0.2978,0.2068,-0.091,0.985180497416509,0.609904076215706,-0.375276421200803,-0.233104833228909,0,0,0.327968083344492,0.279366880263231,1.12798265305617,0.90268493810785
"050603A",0.323,0.5821,0.2591,1.10377843976648,2.82032226884411,1.71654382907763,0.449319117153171,0,0,0.351689931633064,0.290428616368829,1.24744944658632,0.951769901337937
"050730A",0.4745,0.6961,0.2216,1.9819475479256,3.96706679223423,1.98511924430863,0.399656241267436,0,0,0.511099031872968,0.442895903001701,2.24413584722979,1.77265544112485
"050801A",0.4317,0.4082,-0.0235,1.70209118081897,1.559764430599,-0.142326750219972,-0.0556015032159293,0,0,0.445566863880699,0.40917032355708,1.78976013412042,1.56548998461079
"050802A",0.4325,0.433,5e-04,1.70707320392136,1.71019163189084,0.0031184279694858,0.00115063006349486,0,0,0.448094678631685,0.416256300658245,1.80604530488288,1.60769203606376
