"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux"
"GRB050315",1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309
"GRB050318",1.50514997831991,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083
"GRB050319",2.1832698436828,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588
"GRB050401",1.52244423350632,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778
"GRB050505",1.7701152947871,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728
"GRB050730",2.19451434188247,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311
"GRB050802",1.27875360095283,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694
"GRB050803",1.94398887507377,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767
"GRB050824",1.3541084391474,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996
"GRB050826",1.55022835305509,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403
"GRB050904",2.24104815067164,-11.4544,4.6841,1.36946226,0.848,1.90813,-5.316052869,1.25,22.39388568,-0.207608311
"GRB060115",2.14488541828714,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747
"GRB060124",2.8750612633917,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993
"GRB060210",2.40654018043396,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904
"GRB060218",3.32221929473392,-11.82390874,5.07614,1.3185,0.2529,1.87322,-5.804100348,2.26,21.59972155,-0.602059991
"GRB060306",1.78675142214556,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331
"GRB060418",2.01325866528352,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596
"GRB060526",2.47450763911698,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.67796993,0.222716471
"GRB060604",1.97772360528885,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083
"GRB060605",1.89817648349768,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168
"GRB060614",2.03622954408629,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784
"GRB060707",1.8208579894397,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374
"GRB060708",1.00860017176192,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173
"GRB060714",2.06069784035361,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997
"GRB060729",2.0618293072947,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862
"GRB060814",2.16226561429802,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411
"GRB060906",1.63848925695464,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226
"GRB060908",1.28555730900777,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1,21.80952201,0.481442629
"GRB060927",1.35218251811136,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764
"GRB061021",1.66464197555613,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121
"GRB061121",1.91009054559407,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455
"GRB070110",1.94645226501307,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875
"GRB070208",1.67851837904011,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491
"GRB070223",1.94694327069783,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909
"GRB070306",2.32118402730231,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409
"GRB070508",1.32014628611105,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043
"GRB070521",1.57863920996807,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181
"GRB070529",2.03822263836872,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037
"GRB070802",1.2148438480477,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009
"GRB071003",2.17609125905568,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549
"GRB071117",0.819543935541869,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443
"GRB080310",2.56229286445647,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,21.96085591,0.113943352
"GRB080411",1.7481880270062,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747
"GRB080430",1.20951501454263,-11.17198494,4.21762911,0.99269763,0.39,2.03541,-5.920818754,1.73,21.51787914,0.414973348
"GRB080516",0.763427993562937,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505
"GRB080607",1.89762709129044,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198
"GRB080810",2.02530586526477,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996
"GRB080928",2.44715803134222,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295
"GRB081007",1,-10.58502665,3.58176278,1.00469263,0.92,2.102,-6.148741651,2.51,21.69605744,0.414973348
"GRB081008",2.26834391395106,-10.79317412,3.85550833,1.47398467,0.84,1.98207,-5.366531544,1.69,21.1376737,0.113943352
