param,draw,m,b,s
logFa,0,0.3656886747919454,-6.196796455837912,-0.25621625156465505
logFa,1,0.3751799565308738,-5.932158599601602,-0.25909465249811203
logFa,2,0.37726958165658114,-5.997404047514644,-0.26646838416343677
logFa,3,0.4103100519481643,-5.804316604881185,-0.27926372933342214
logFa,4,0.30922234769714574,-6.722996780402286,-0.31967036433505447
logFa,5,0.5392955488317246,-3.9080138898556784,-0.14061572862362387
logFa,6,0.3834073821928153,-5.760273212144657,-0.19994439749871618
logFa,7,0.26401259635019336,-7.494220298171978,-0.243679132933571
logTa,0,0.2526192783393432,2.6846946076991776,-0.6607054465303954
logTa,1,0.44022262353765396,2.2114022057608,-0.4927201085781618
logTa,2,0.463974476350597,2.002955869317277,-0.46331875901599917
logTa,3,0.36223340752220046,2.4832211360083174,-0.4739717152359968
logTa,4,0.16387624038998394,3.1480931247056843,-0.6268289078878386
logTa,5,0.3351050622693822,2.5138048235952635,-0.5962911316732775
logTa,6,0.32272095442248394,2.4376306890310917,-0.47148262484684966
logTa,7,0.4932851384964736,1.8218898670770134,-0.5796495812655965
Alpha,0,0.5362546147170699,0.6382533771987997,-1.4030601182285833
Alpha,1,0.3603256679913572,0.8980837200102221,-1.2669202581651433
Alpha,2,0.45712894532134185,0.741362517476281,-1.371131754041572
Alpha,3,0.49106340913162394,0.7925284956410767,-1.2468404520786311
Alpha,4,0.400259133309531,0.8242900391572047,-1.1597253294245586
Alpha,5,0.30868824030538256,0.9728376258442452,-1.3047485870709528
Alpha,6,0.49974043427607695,0.6989274212733164,-1.2703476401474219
Alpha,7,0.421861604941553,0.8372931773173983,-1.2924748090892562
Beta,0,0.08377295923535036,0.8196018969991572,-1.5886777167016768
Beta,1,0.03324990410576756,0.8856943008117585,-1.5655146759773424
Beta,2,0.0257478146340908,0.9409486054491234,-1.5901546881171358
Beta,3,0.09762606316256707,0.907377607620035,-1.394789062797137
Beta,4,0.3264366606315037,0.6581380392427665,-1.5892718224815465
Beta,5,0.05534485924918601,0.8775787607403727,-1.6885045596662767
Beta,6,0.1832765400641464,0.7351162124981372,-1.787784427660461
Beta,7,0.14869304347304918,0.7826809454906316,-1.6488849004002504
