"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4298,0.4829,0.0531,1.69029559170462,2.04018491662944,0.349889324924826,0.115088172107879,0,0,0.449396286424015,0.41724614608402,1.81446781368834,1.61364227474051
"011211A",0.4767,0.4969,0.0202,1.99709148630704,2.13978564827282,0.142694161965775,0.0454471030671379,0,0,0.488974528505416,0.448506858135834,2.08300712570405,1.80870972599259
"030329A",0.3099,0.0682,-0.2417,1.04126787125529,0.170038089423047,-0.871229781832241,-0.744616598133014,0,0,0.323197453694215,0.293964899998511,1.10473514837716,0.967727250107231
"050315A",0.3949,0.4697,0.0748,1.48256140858989,1.94917130750827,0.46660989891838,0.158217292339187,0,0,0.416792611990995,0.382282203421375,1.61091427058937,1.41147188783273
"050318A",0.4688,0.3874,-0.0814,1.94306598969901,1.44005715942821,-0.503008830270806,-0.206146330764104,0,0,0.488021438729341,0.455428425279798,2.07624866846565,1.85383214384511
"050319A",0.4631,0.6274,0.1643,1.90469140738191,3.24033335385019,1.33564194646828,0.314985128528993,0,0,0.483230291104242,0.442456453771388,2.04249792775473,1.76985129530559
"050401A",0.443,0.5911,0.1481,1.77332010465184,2.90031784475066,1.12699774009882,0.288950230457657,0,0,0.458693228423795,0.42044186391893,1.87536663123295,1.63294546538479
"050416A",0.2462,0.2182,-0.028,0.762787653232398,0.65272272994873,-0.110064923283668,-0.0665961212302577,0,0,0.273979106635702,0.218823879377934,0.879226407396668,0.655098630707207
"050502A",0.5148,0.6803,0.1655,2.27189983623179,3.78960832497788,1.51770848874609,0.316875282020707,0,0,0.529909439050689,0.49244445612049,2.38773506267845,2.10773841464321
"050502B",0.5101,0.6806,0.1705,2.23668175701653,3.79291801219085,1.55623625517432,0.324694946004921,0,0,0.529615698101245,0.491696299740458,2.38544449694293,2.10238934189827
"050505A",0.6001,0.7218,0.1217,2.98198848671559,4.26987118996723,1.28788270325165,0.244385992906907,0,0,0.617121462472773,0.585423777022875,3.14115477480914,2.84967243190215
"050525A",0.287,0.2068,-0.0802,0.936421963946607,0.609904076215706,-0.326517887730901,-0.202818225355653,0,0,0.321076949339686,0.268230417304525,1.09448352859969,0.854515285641016
"050603A",0.3439,0.5821,0.2382,1.20749637966914,2.82032226884411,1.61282588917497,0.422170114371779,0,0,0.378844920453191,0.320635616387622,1.39246129456068,1.09235618154938
"050801A",0.4234,0.4082,-0.0152,1.65094062109308,1.559764430599,-0.0911761904940778,-0.0356189770449862,0,0,0.439495550707649,0.407688831692505,1.75103142087505,1.55675333843077
"050802A",0.4571,0.433,-0.0241,1.86483754719003,1.71019163189084,-0.154645915299184,-0.0570608784557758,0,0,0.479391956985969,0.438441268027219,2.01572653271235,1.74436118369575
"050820A",0.4197,0.5581,0.1384,1.62845169453387,2.61493089917358,0.986479204639701,0.272890196840339,0,0,0.440781950105414,0.402020463492377,1.75919217749444,1.5235996790021
"050824A",0.1742,0.2619,0.0877,0.493482025127055,0.82767932897041,0.334197303843355,0.182853358653248,0,0,0.203100682943301,0.132642809980642,0.596249164455197,0.357196746831234
"050904A",0.7201,0.863,0.1429,4.24928315546685,6.29457510254569,2.04529194707883,0.280385343673419,0,0,0.740601986453848,0.693917430577401,4.50303134392691,3.94216716029287
"050922C",0.3353,0.5049,0.1696,1.16421299286887,2.19815862166661,1.03394562879774,0.323294042325809,0,0,0.356905297670571,0.313024437880003,1.27460137672175,1.05600628481593
"051016B",0.3753,0.287,-0.0883,1.3730123584905,0.936421963946607,-0.436590394543897,-0.22546242640942,0,0,0.404968597503087,0.346404138561949,1.54078898227824,1.22026155298484
"051109A",0.5098,0.5245,0.0146999999999999,2.23444670851447,2.34580017853301,0.11135347001854,0.0332815661655455,0,0,0.537433588031113,0.4872755427145,2.44693892225196,2.07096977959333
"051111A",0.5108,0.4065,-0.1043,2.24190287822787,1.54976408779928,-0.692138790428591,-0.271452089917064,0,0,0.533901273302022,0.492409211217801,2.41901710317525,2.1074862182691
"060115A",0.595,0.6561,0.0611,2.93550075455777,3.5300187543224,0.59451799976463,0.131239633212856,0,0,0.614721989616463,0.576351105001796,3.11833802351658,2.77008467985544
"060124A",0.3744,0.518,0.1436,1.36809979387379,2.29609712177458,0.927997327900785,0.281544291207403,0,0,0.404264839692082,0.350214593806998,1.53667506378573,1.2398276099216
"060206A",0.5873,0.7031,0.1158,2.86633962109361,4.04777513500947,1.18143551391586,0.234050741627112,0,0,0.630574253335514,0.558853222305093,3.27143943972881,2.62120592512906
"060210A",0.5655,0.6911,0.1256,2.67705393378215,3.91020924883086,1.23315531504871,0.251141092478356,0,0,0.594711534629237,0.54394531509077,2.93288759968816,2.49901105876935
"060223A",0.699,0.7332,0.0342,4.00034534976978,4.41003406863468,0.409688718864893,0.0757275672698833,0,0,0.744649229215067,0.652703826022666,4.55455446025362,3.4947322498884
"060306A",0.4163,0.4081,-0.00819999999999999,1.6079544390266,1.55917509090989,-0.0487793481167098,-0.0190605747492512,0,0,0.461085737060424,0.38841385914207,1.89125060769453,1.44576011959874
"060502A",0.5241,0.3984,-0.1257,2.34272000137866,1.50264932573108,-0.840070675647583,-0.335672547891694,0,0,0.547852255320483,0.50190959669257,2.53063039185713,2.17621283721172
"060526A",0.4568,0.6254,0.1686,1.86285927087212,3.22085079179884,1.35799152092672,0.321734073984637,0,0,0.498020694322343,0.421462842486628,2.14789830926127,1.63914251206308
"060604A",0.5064,0.4963,-0.0100999999999999,2.20922376804843,2.13545086914429,-0.0737728989041426,-0.0235286413287912,0,0,0.531824981232795,0.479156302163986,2.40271034335224,2.01409059729674
"060707A",0.5828,0.6459,0.0631,2.8264848659511,3.42486474355665,0.598379877605554,0.135231224519777,0,0,0.594554765007521,0.567089278089066,2.93146818024047,2.69053457238459
"060708A",0.4994,0.4654,-0.034,2.15791182863225,1.92011530139416,-0.237796527238095,-0.081433951297938,0,0,0.516361458406439,0.48974282877065,2.28368476798783,2.088466029078
"060714A",0.58,0.5695,-0.0105,2.80189396320561,2.71107729492926,-0.0908166682763527,-0.0244717803103812,0,0,0.597182798646963,0.558267886191214,2.95533068638014,2.61632860125209
