"","PhotonIndex","log10Ta","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","PhotonIndexSqr","log10TaSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000926A",1.68528474322361,4.20249145998922,0.49787317309306,-10.8764158440917,21.1545856750033,1.76592813314452,1.397940009,1.99215342891529,0.932600507332783,-5.73555346213348,2.84018466574227,17.6609344712823,0.247877696485752,118.296421613609,447.516495081055,3.11850217143129,1.95423626876292,3.96867528433895,0.869743706277364,32.8965735169914,0.0599542916300528,0.792929150721843,0.6031485270165,0.284563974379967,0.200435155457821,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",2.04,0.482873583608754
"011211A",1.73074257586597,4.22876541694621,0.0099540052549258,-11.1388602982376,20.9997109050585,1.68347101135545,2.431363764,1.91703135792151,0.873813059828654,-5.54501519311092,2.99546986391517,17.8824569515603,9.90822206150904e-05,124.074208743654,440.987858096033,2.83407464607414,5.91152975289225,3.67500922725439,0.763549263527115,30.7471934918309,0.169579312058566,0.812619359930111,0.609835861813977,0.290048572817103,0.20160995078453,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",2.14,0.496929648073215
"020124A",1.66001947418774,3.95291270898609,0.286068555062632,-10.8368041279245,21.1181965423643,1.68729431801175,1.661907293,2.02236215224452,0.95155776320826,-5.79045330113306,2.75566465468254,15.6255188848637,0.0818352181956221,117.436323707001,445.978225201927,2.84696211559474,2.76193585052659,4.08994867483109,0.905462176721907,33.5293494326027,0.378773543191014,0.799240561882573,0.598739367871125,0.277622673524097,0.2080950703471,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",3.198,0.623042434246382
"021004A",1.67186887883644,4.31211845561524,0.355429318153098,-10.8842545649143,21.0810752717726,1.3803402450119,2,1.96438080403683,0.896212287006914,-5.46547580308238,2.79514554802181,18.5943655752576,0.126330000202776,118.466997433858,444.411734614142,1.90533919199951,4,3.85879194326838,0.803196463382163,29.871425754079,0.214744065864423,0.784743467398222,0.615500816410933,0.264987193584953,0.197858012565219,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",2.34,0.523746466811564
"030226A",1.69364237204975,4.15950626316402,0.320464469437468,-11.0254458680934,21.0511868725117,1.76326055637941,1.344195716,1.94602716780256,0.885974433388576,-5.88907181132459,2.8684244844023,17.3014923533007,0.102697476171838,121.560456590258,443.152468741409,3.10908778968343,1.80686212291275,3.78702173782565,0.784950696618208,34.6811667989379,0.378773543191014,0.796580267258746,0.618214376995731,0.292009913074863,0.204638295830138,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1.99,0.47567118832443
"030329A",1.63361744707194,4.34243393790999,0.780376798107853,-10.3849745674604,21.2067839200846,1.4385715768263,1.798650645,1.94924493372129,0.869404511030352,-5.15361554086595,2.66870596337784,18.8567325051125,0.608987947025065,107.847696766799,449.727684233159,2.06948818165251,3.23514414275892,3.79955581163812,0.755864203799925,26.559753143055,0.0886038540296678,0.79170386791082,0.60916415499475,0.277594266411928,0.205072432225179,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",0.17,0.0681858617461616
"050315A",2.11,4.86356,0.285557309,-11.3757179,21.91683806,1.10818,1.980457892,1.99544,0.856,-5.492144128,4.4521,23.6542158736,0.0815429767233215,129.40695774038,480.347790548265,1.2280629124,3.92221346198508,3.9817807936,0.732736,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",1.949,0.469674772551798
"050318A",1.9,4.132084541,0.499687083,-11.15490196,20.92661714,1.874408221,1.505149978,1.98053,0.95,-5.966576245,3.61,17.0741226539712,0.249687180917049,124.431837737212,437.923304924142,3.51340617895238,2.2654764562734,3.9224990809,0.9025,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",2.02,3.73997,0.181843588,-10.70553377,20.93735437,0.863159,2.183383742,2.01045,0.971,-5.882728704,4.0804,13.9873756009,0.0330670904967137,114.60845330061,438.372808014958,0.745043459281,4.76716456482992,4.0419092025,0.942841,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",3.24,0.627365856592733
"050401A",1.4,3.12435,1.029383778,-9.653647026,22.12570242,0.984108,1.506369717,1.78711,0.9995,-5.085128182,1.96,9.7615629225,1.05963096240955,93.1929009025986,489.546707578394,0.968468555664,2.26914972429466,3.1937621521,0.99900025,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
