"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4598,0.4829,0.0231,1.88270366330713,2.04018491662944,0.157481253322317,0.0517998929804938,0,0,0.472922085919084,0.450405880429167,1.97113295137563,1.82101815052247
"011211A",0.5166,0.4969,-0.0196999999999999,2.28548886770972,2.13978564827282,-0.145703219436905,-0.0464054670474259,0,0,0.554525535153809,0.496106814798452,2.58530028098319,2.13405645122536
"050315A",0.3473,0.4697,0.1224,1.22484622928627,1.94917130750827,0.724325078222001,0.24560291780201,0,0,0.379464375231442,0.311280247821702,1.39587621020885,1.04776562227097
"050318A",0.5155,0.3874,-0.1281,2.27717776805172,1.44005715942821,-0.837120608623511,-0.343074179794902,0,0,0.539991579684793,0.498460503591713,2.46730127812957,2.15108779514587
"050319A",0.4236,0.6274,0.2038,1.65216170550788,3.24033335385019,1.58817164834231,0.374539338257512,0,0,0.438056219758028,0.396391992532471,1.74192909380596,1.49110476546124
"050401A",0.4302,0.5911,0.1609,1.69277458695896,2.90031784475066,1.2075432577917,0.309601244272157,0,0,0.44552452665713,0.420020915892528,1.78948818744231,1.63039467028923
"050416A",0.229,0.2182,-0.0108,0.694337800447328,0.65272272994873,-0.0416150704985983,-0.0251797048255573,0,0,0.281675332873841,0.160052180472978,0.91282541243882,0.445613450737968
"050502A",0.5185,0.6803,0.1618,2.29989407910835,3.78960832497788,1.48971424586954,0.311030494518863,0,0,0.547168405081856,0.505727757593826,2.52507535344228,2.2042600681572
"050502B",0.5175,0.6806,0.1631,2.29230453333406,3.79291801219085,1.50061347885679,0.313089745128116,0,0,0.527417098286034,0.50039451301299,2.36834911777146,2.1651515776431
"050505A",0.6118,0.7218,0.11,3.09072231621668,4.26987118996723,1.17914887375056,0.223752883371308,0,0,0.631378006720065,0.598794657419095,3.27935195744522,2.9700379424185
"050525A",0.2914,0.2068,-0.0846,0.956140298125647,0.609904076215706,-0.346236221909941,-0.215066367633416,0,0,0.31298253855712,0.278553682956165,1.05580793756679,0.899125577698077
"050603A",0.3788,0.5821,0.2033,1.39221384751206,2.82032226884411,1.42810842133205,0.373818835384311,0,0,0.392172681562331,0.367822010506979,1.46702006394023,1.33250192321494
"050730A",0.5064,0.6961,0.1897,2.20922376804843,3.96706679223423,1.75784302418579,0.353899614745285,0,0,0.529435487334882,0.497453029935089,2.38403999605506,2.14378639328974
"050801A",0.4238,0.4082,-0.0156,1.65338335238234,1.559764430599,-0.0936189217833436,-0.036573256767005,0,0,0.433016198012266,0.411579981809143,1.71029271661056,1.57976402272019
"050802A",0.4746,0.433,-0.0416,1.98263424577877,1.71019163189084,-0.272442613887927,-0.100525221420542,0,0,0.499786575900059,0.45649172785369,2.16072401285065,1.86082786900213
"050820A",0.4071,0.5581,0.151,1.55328915153389,2.61493089917358,1.06164174763969,0.293682445737038,0,0,0.414713766693271,0.396794555574585,1.5984464235905,1.493414929822
"050824A",0.2514,0.2619,0.0105,0.784021155191491,0.82767932897041,0.043658173778919,0.0238872175697873,0,0,0.276078442086487,0.213730080478434,0.888332388097172,0.635799535294352
"050904A",0.7232,0.863,0.1398,4.28688665850881,6.29457510254569,2.00768844403688,0.275230348007004,0,0,0.76660002845395,0.679365299892407,4.84251758814826,3.77931108782094
"050922C",0.3167,0.5049,0.1882,1.07348071290468,2.19815862166661,1.12467790876193,0.351664204877943,0,0,0.349801074036428,0.264752128699228,1.2376959406872,0.839721690249151
"051016B",0.3826,0.287,-0.0956,1.41323713700861,0.936421963946607,-0.476815173062003,-0.246235160486514,0,0,0.416906926478174,0.357144976203216,1.61160160285502,1.27585703067513
"051109A",0.4925,0.5245,0.032,2.10813590273948,2.34580017853301,0.237664275793533,0.0710336132200636,0,0,0.506927589397946,0.470163512835127,2.21312476463052,1.95232057268109
"051111A",0.5079,0.4065,-0.1014,2.22032719816754,1.54976408779928,-0.67056311036826,-0.262990256069936,0,0,0.519950786312737,0.494200094624673,2.31093600259462,2.12032689645901
"060115A",0.5582,0.6561,0.0979,2.61576336361097,3.5300187543224,0.914255390711432,0.201821546508848,0,0,0.575179636543073,0.535791433246025,2.75992893477658,2.43392996315418
"060124A",0.3492,0.518,0.1688,1.23460105773122,2.29609712177458,1.06149606404336,0.322046355075805,0,0,0.382290893214484,0.316939874830071,1.41152013942771,1.07462627942241
"060206A",0.5455,0.7031,0.1576,2.51155924516291,4.04777513500947,1.53621588984656,0.304335246471648,0,0,0.565148909968663,0.514109069484588,2.67408255064736,2.26669862318511
"060210A",0.5594,0.6911,0.1317,2.62576790241196,3.91020924883086,1.2844413464189,0.261585867593062,0,0,0.592122194257112,0.53424583417978,2.90950879304195,2.42173076183714
"060223A",0.7387,0.7332,-0.00550000000000006,4.47898359391748,4.41003406863468,-0.0689495252828047,-0.0127447488145311,0,0,0.778529878643696,0.685359731498375,5.00523322361724,3.84573579694494
"060306A",0.4219,0.4081,-0.0138,1.64180039026406,1.55917509090989,-0.0826252993541661,-0.0322859110529985,0,0,0.440279531609361,0.393894824346828,1.75600202037667,1.47682215838225
"060502A",0.5063,0.3984,-0.1079,2.20848490203595,1.50264932573108,-0.705835576304874,-0.282035349118952,0,0,0.527425386412693,0.494369523512309,2.36841340035315,2.12154444969719
"060512A",0.3525,0.1584,-0.1941,1.25164541674462,0.44012437117557,-0.811521045569047,-0.563507612128392,0,0,0.378484242369045,0.319193453584476,1.39047519947544,1.08541961251085
"060526A",0.5079,0.6254,0.1175,2.22032719816754,3.22085079179884,1.0005235936313,0.237043108838467,0,0,0.545530850878975,0.481826123643254,2.51180870386378,2.03267676314761
"060604A",0.5189,0.4963,-0.0226,2.30293479396034,2.13545086914429,-0.167483924816047,-0.0534162172541888,0,0,0.535039578896711,0.497380866014801,2.42799025693115,2.14326405392649
"060605A",0.6554,0.6794,0.024,3.5227231079399,3.7796929697961,0.256969861856202,0.0537628386342072,0,0,0.677225429569597,0.643135133578825,3.75582022609794,3.39678402976759
"060708A",0.4962,0.4654,-0.0308,2.13472898801401,1.92011530139416,-0.21461368661985,-0.0734949358052356,0,0,0.503536778261415,0.489674859293204,2.1881355517673,2.08798270496318
"060714A",0.5716,0.5695,-0.00209999999999999,2.72906539962153,2.71107729492926,-0.0179881046922672,-0.00484713824658025,0,0,0.590172775349139,0.553794724473134,2.89199949593191,2.57927217671616
"060729A",0.2874,0.1875,-0.0999,0.938206296074953,0.539926526059492,-0.398279770015461,-0.258635566876438,0,0,0.312514767452429,0.234420812188644,1.05359485430436,0.71561886136297
"060814A",0.4682,0.4658,-0.00240000000000001,1.93900280117115,1.92280606593193,-0.0161967352392161,-0.00554150185604318,0,0,0.484616373957853,0.452090179569763,2.0522237963306,1.83197998444307
"060908A",0.5159,0.4599,-0.056,2.2801975507699,1.88336750678026,-0.39683004398964,-0.137627285823431,0,0,0.540048841724344,0.48013010357162,2.46775847443508,2.02085655658942
"060912A",0.3311,0.2871,-0.044,1.14338407672676,0.9368678929189,-0.206516183807863,-0.106623783977666,0,0,0.360378323144328,0.282617786186526,1.2928641456883,0.916980901838026
"060926A",0.6426,0.6232,-0.0194,3.39136969024407,3.19952334664066,-0.191846343603408,-0.0456828853581377,0,0,0.662188760549519,0.608271785809743,3.59397640767749,3.05762386149163
"060927A",0.6607,0.8109,0.1502,3.57825522791694,5.46993622808681,1.89168100016987,0.29238016164021,0,0,0.687435407078098,0.643223060944601,3.86895103531208,3.39767429384346
"061007A",0.4335,0.3541,-0.0794,1.7133136521507,1.25995608443438,-0.453357567716323,-0.200604591761255,0,0,0.451668118193778,0.420952893117213,1.8292291119217,1.63604544477907
"061121A",0.3641,0.3644,0.000300000000000022,1.31259722406395,1.31419526151125,0.00159803744730436,0.000690536997409968,0,0,0.380868698868473,0.354772094445939,1.40363599399911,1.2634561975965
"061126A",0.4245,0.3342,-0.0903,1.65766354955431,1.15873831601281,-0.498925233541497,-0.23111890396378,0,0,0.445002114616775,0.402163144045777,1.78613473452376,1.52442890379692
"070110A",0.5063,0.5253,0.019,2.20848490203595,2.35196905022163,0.143484148185675,0.0428059287051556,0,0,0.547696020237017,0.490017644934517,2.5293604951631,2.09042099056358
"070125A",0.4446,0.4065,-0.0381,1.78355623757743,1.54976408779928,-0.233792149778144,-0.0916916788093646,0,0,0.462766455675617,0.42886985149548,1.9024614196066,1.68453982755778
"070223A",0.5149,0.4199,-0.095,2.27265330575371,1.62966242003022,-0.642990885723491,-0.244514611771385,0,0,0.539097416150897,0.496840023567864,2.46016983837559,2.13935207118124
"070306A",0.6191,0.3972,-0.2219,3.16006388477621,1.49574379483157,-1.66432008994464,-0.666863358887749,0,0,0.633553502966939,0.599125988706695,3.30084214649476,2.97306791340911
"070411A",0.6927,0.5966,-0.0961,3.92833249197152,2.95002641597884,-0.978306075992678,-0.247670767981497,0,0,0.71449535930362,0.674478598498208,4.1819755472673,3.72583547984302
"070508A",0.41,0.2601,-0.1499,1.57039578276886,0.820119908460103,-0.75027587430876,-0.412212333276177,0,0,0.424834122660902,0.394905051393073,1.65970899872675,1.48259028408096
"070521A",0.5615,0.4895,-0.072,2.64334250068497,2.08673964568386,-0.556602855001108,-0.18032063565173,0,0,0.582780210640523,0.537874285332205,2.82631050969632,2.45043845478174
"070529A",0.7741,0.544,-0.2301,4.94429015197695,2.49945167028357,-2.44483848169338,-0.698634732536617,0,0,0.810975359547707,0.753524321478143,5.47105900029033,4.66923319628721
"070721B",0.6787,0.6652,-0.0135,3.77199522026884,3.6259400476616,-0.146055172607236,-0.0315730794395111,0,0,0.71081168811324,0.65513963220814,4.13820808441616,3.520012462145
"070802A",0.5915,0.5378,-0.0537000000000001,2.9039118250766,2.44984831362751,-0.454063511449095,-0.131618398888863,0,0,0.610384408037095,0.571102180187338,3.07741022842071,2.72479332352859
"070810A",0.558,0.5011,-0.0569000000000001,2.61409862639613,2.17029736695272,-0.44380125944341,-0.139987265569977,0,0,0.575417969098726,0.538550198875019,2.76199287857383,2.45581272034532
"071003A",0.4836,0.4157,-0.0679,2.04508906697422,1.60435390455169,-0.440735162422533,-0.169230134833922,0,0,0.49759064209916,0.47215519620509,2.14478270297253,1.96589106866777
"071010A",0.4858,0.2989,-0.1869,2.06055367205366,0.990215022279335,-1.07033864977433,-0.537800507881053,0,0,0.538066829708886,0.460637901816525,2.45196854517779,1.88827074813551
"071020A",0.2578,0.4976,0.2398,0.810506131721813,2.14485046547696,1.33434433375515,0.424295001750672,0,0,0.286769667350599,0.218252557943658,0.935395234469761,0.652922753131248
"071112C",0.4797,0.2601,-0.2196,2.01786633200869,0.820119908460103,-1.19774642354858,-0.658059075108918,0,0,0.49326474813541,0.457050721025221,2.11361383358898,1.86451249528665
"071117A",0.439,0.3675,-0.0715,1.7478941531024,1.33077311528264,-0.417121037819759,-0.178962523243785,0,0,0.453353330729393,0.418779183897538,1.84022882524497,1.62288460421461
"080310A",0.4296,0.534,0.1044,1.68905695002925,2.41979442513709,0.730737475107838,0.213678772541582,0,0,0.44497784174634,0.399315487745143,1.78597902083083,1.50793044588054
"080319B",0.3437,0.2871,-0.0566,1.20648002406029,0.9368678929189,-0.269612131141393,-0.139200062186524,0,0,0.370360204276197,0.292673043293773,1.3461739275636,0.961882725869863
"080319C",0.5489,0.4698,-0.0791000000000001,2.5391583956695,1.94985045748424,-0.589307938185259,-0.199775529871384,0,0,0.565448329443083,0.532583501432154,2.67661647917357,2.40865856489789
"080330A",0.3878,0.3997,0.0119,1.44230557039732,1.51015188099533,0.0678463105980103,0.0270287671083503,0,0,0.421391053264137,0.352448124146779,1.638706295766,1.2513764769903
"080411A",0.191,0.3075,0.1165,0.552387009958082,1.03001851985968,0.477631509901602,0.235284311561165,0,0,0.218846241535487,0.172229331368042,0.655183855205288,0.486720505224015
"080413B",0.3801,0.3222,-0.0579,1.3993853343082,1.09990670376243,-0.299478630545776,-0.14261520762289,0,0,0.407730489189908,0.359040530194812,1.55699859380074,1.28581211505987
"080516A",0.4836,0.6232,0.1396,2.04508906697422,3.19952334664066,1.15443427966644,0.274896502382802,0,0,0.519808134874617,0.448157516285057,2.30984864772055,1.80645133826885
"080603A",0.4824,0.4298,-0.0526,2.03668678846578,1.69029559170462,-0.346391196761169,-0.128755813238236,0,0,0.495005562034909,0.469742931183362,2.12611940326218,1.94946285547306
"080603B",0.4775,0.5669,0.0894,2.00261742086127,2.68892648118996,0.686309060328694,0.186045740902732,0,0,0.493711498337793,0.46394445632739,2.11681839492876,1.91034487852084
"080607A",0.5585,0.606,0.0475,2.6182619073243,3.03645392967605,0.418192022351751,0.10360381405005,0,0,0.579944477204257,0.527624437674199,2.8014079374841,2.36995760743153
"080810A",0.4934,0.6385,0.1451,2.11458365401213,3.35010760630697,1.23552395229484,0.284021468918038,0,0,0.503036043610216,0.486276236530598,2.18446180032467,2.06391163990866
"080905B",0.5809,0.5281,-0.0528,2.80978089846419,2.37364980873767,-0.436131089726516,-0.129275744209416,0,0,0.598982121645528,0.555011176217947,2.97175198846882,2.58931171330135
"081007A",0.3484,0.1845,-0.1639,1.23048855937761,0.529325746418779,-0.701162812958831,-0.458478394547888,0,0,0.378397525217862,0.324184944467883,1.38999793229017,1.10952630124667
"081008A",0.517,0.4725,-0.0445,2.28851630875983,1.96824674346324,-0.320269565296589,-0.107898565374289,0,0,0.529429173294744,0.508479206860792,2.38399079715907,2.22462492711723
"081028A",0.5308,0.6062,0.0753999999999999,2.39468905380079,3.03831321348852,0.64362415968773,0.159379455149228,0,0,0.54394640311897,0.50189931792678,2.49901982477406,2.1761376643443
"081029A",0.6457,0.6856,0.0398999999999999,3.42282748716887,3.84841738708446,0.425589899915596,0.0877791382089567,0,0,0.69245667683873,0.613216483304618,3.92557205724006,3.1040862890132
"081203A",0.5603,0.4914,-0.0689,2.63328946850131,2.10027344199819,-0.533016026503123,-0.171925488662569,0,0,0.579706213307464,0.548296834597885,2.79932297003167,2.53424648383264
"081221A",0.364,0.5132,0.1492,1.31206479017559,2.25986788904468,0.94780309886909,0.290748929444146,0,0,0.381135857078233,0.346939851921794,1.40511505640357,1.2230019922949
"081230A",0.5098,0.4914,-0.0184,2.23444670851447,2.10027344199819,-0.134173266516278,-0.0432778814599657,0,0,0.555334001070491,0.468005159763855,2.59198075432281,1.93768455378314
"090102A",0.4219,0.406,-0.0159,1.64180039026406,1.54683025258504,-0.0949701376790184,-0.0372895435738693,0,0,0.431304104120613,0.406275513327113,1.69962912022437,1.54844645616349
"090205A",0.5182,0.752,0.2338,2.29761538015919,4.64936974812302,2.35175436796384,0.416286147449491,0,0,0.554154246059141,0.486045547066546,2.58223642896016,2.06228457699672
"090313A",0.594,0.6415,0.0475,2.926449353996,3.3802611117036,0.453811757707606,0.10360381405005,0,0,0.614826622789191,0.569969067499626,3.11933036098654,2.71508767549015
