"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4287,0.4829,0.0542,1.68349011596799,2.04018491662944,0.356694800661451,0.117326679278742,0,0,0.457307008215683,0.398274346881974,1.86620340905258,1.50192534645691
"011211A",0.4994,0.4969,-0.0025,2.15791182863225,2.13978564827282,-0.0181261803594324,-0.00577306300173819,0,0,0.521995208974146,0.469299978395785,2.32655883498979,1.94645612429198
"050315A",0.4268,0.4697,0.0429,1.67177572711795,1.94917130750827,0.277395580390329,0.0940588224509404,0,0,0.479931108137701,0.387290873252217,2.01947270534153,1.43944411445042
"050318A",0.4976,0.3874,-0.1102,2.14485046547696,1.44005715942821,-0.704793306048753,-0.28884294916022,0,0,0.537017542868499,0.443818999301067,2.44363840697298,1.7785550093996
"050319A",0.463,0.6274,0.1644,1.90402265446445,3.24033335385019,1.33631069938574,0.315142840874144,0,0,0.489535287355073,0.433481325170032,2.08699046006825,1.71319698112723
"050401A",0.4057,0.5911,0.1854,1.54507157206951,2.90031784475066,1.35524627268115,0.347470725880749,0,0,0.445189147157268,0.383097417945302,1.78733486508713,1.41600271474667
"050416A",0.312,0.2182,-0.0938,1.05116217882557,0.65272272994873,-0.398439448876835,-0.241080637215654,0,0,0.392963212091732,0.239668837684409,1.47151478083167,0.736476209601288
"050502A",0.5074,0.6803,0.1729,2.21662179287904,3.78960832497788,1.57298653209884,0.328416527066669,0,0,0.535719671849867,0.48479360343883,2.43336259870278,2.05346962019584
"050502B",0.5257,0.6806,0.1549,2.35505774998898,3.79291801219085,1.43786026220188,0.299996840869103,0,0,0.554968592725196,0.482477010807941,2.5889597909479,2.03722531347197
"050505A",0.5919,0.7218,0.1299,2.90750911710561,4.26987118996723,1.36236207286162,0.258519046054727,0,0,0.619295038675734,0.571014903986825,3.16193256053253,2.72404486099926
"050525A",0.3344,0.2068,-0.1276,1.15973268068939,0.609904076215706,-0.549828604473688,-0.341528798266126,0,0,0.38115625418184,0.299568423157429,1.4052280178504,0.99328052305744
"050603A",0.3528,0.5821,0.2293,1.25320133562948,2.82032226884411,1.56712093321462,0.410206475509926,0,0,0.368561111285082,0.323143603401783,1.33647485365689,1.10447418817292
"050730A",0.4262,0.6961,0.2699,1.66808708115436,3.96706679223423,2.29897971107986,0.462844533251337,0,0,0.454162389833371,0.402930331862581,1.84552489700418,1.52889228706036
"050801A",0.429,0.4082,-0.0208,1.68534444565851,1.559764430599,-0.125580015059509,-0.0490592077764447,0,0,0.445226022784488,0.396058804929368,1.78757154570251,1.48919434072678
"050802A",0.4412,0.433,-0.00819999999999999,1.76184944207529,1.71019163189084,-0.0516578101844503,-0.0190605747492511,0,0,0.459186096384669,0.426705651076714,1.87863165210539,1.67119535643871
"050820A",0.4074,0.5581,0.1507,1.55505351051326,2.61493089917358,1.05987738866031,0.293194370299752,0,0,0.436805030398697,0.383198174904162,1.7340410465038,1.41656329595693
"050824A",0.2872,0.2619,-0.0253,0.937313924581956,0.82767932897041,-0.109634595611546,-0.0599856845091674,0,0,0.342661233158308,0.236943011876618,1.20120876346528,0.725611442393872
"050904A",0.6494,0.863,0.2136,3.46066902055135,6.29457510254569,2.83390608199433,0.388495017482971,0,0,0.680685912995864,0.615444243064559,3.79386625052722,3.12519272393609
"051016B",0.378,0.287,-0.091,1.38781128291318,0.936421963946607,-0.45138931896657,-0.233104833228909,0,0,0.412504271736302,0.358015558864953,1.58526026815105,1.2804237681107
"051028A",0.5068,0.6628,0.156,2.21218093398798,3.60044666393478,1.3882657299468,0.301767595922829,0,0,0.568256995347605,0.480651674556057,2.70047091722461,2.02448666860976
"051111A",0.4908,0.4065,-0.0843,2.09599321330917,1.54976408779928,-0.546229125509891,-0.214227319352256,0,0,0.520156534651024,0.470047203609178,2.31250494026137,1.95153001199459
"060115A",0.5672,0.6561,0.0889,2.69147558165413,3.5300187543224,0.838543172668274,0.185108101786149,0,0,0.60050659294809,0.541689346821635,2.98571822916166,2.48088236575551
"060124A",0.4167,0.518,0.1013,1.61035756034079,2.29609712177458,0.685739561433789,0.208045921008722,0,0,0.439112415596156,0.396674678324144,1.74860552788461,1.49272677353771
"060206A",0.5225,0.7031,0.1806,2.33042762308746,4.04777513500947,1.71734751192201,0.340218703486043,0,0,0.554011365511447,0.481707609043584,2.58105808629516,2.03184928904564
"060210A",0.5734,0.6911,0.1177,2.74455315585953,3.91020924883086,1.16565609297133,0.237394382581328,0,0,0.603701812980908,0.534205658091402,3.01515035567037,2.42141423605857
"060223A",0.6809,0.7332,0.0523,3.79622998644458,4.41003406863468,0.613804082190095,0.113456602010826,0,0,0.744462519914022,0.660202065923574,4.55216699247103,3.57300910340505
"060306A",0.4181,0.4081,-0.01,1.61878593654756,1.55917509090989,-0.0596108456376627,-0.0232929922807543,0,0,0.449671570581671,0.378144719145055,1.81625237241073,1.38860710142736
"060418A",0.4388,0.396,-0.0428,1.74662899241596,1.48885731828239,-0.257771674133567,-0.103570289964015,0,0,0.472805848599254,0.416445574875996,1.97033784498369,1.60882876807407
"060510B",0.5918,0.7709,0.1791,2.90660948345936,4.90065196995666,1.9940424864973,0.337935959729539,0,0,0.619107866481706,0.546590830345346,3.16013923770881,2.52039041890265
"060512A",0.4364,0.1584,-0.278,1.73149242208918,0.44012437117557,-1.29136805091361,-0.896705921211146,0,0,0.459905241048278,0.418299693223281,1.88340230335291,1.61999035906463
"060526A",0.5914,0.6254,0.0339999999999999,2.90301301964209,3.22085079179884,0.317837772156752,0.0753018260617773,0,0,0.638064149143973,0.543550348612208,3.34574409922875,2.49583035097267
"060604A",0.5424,0.4963,-0.0461,2.48658293352873,2.13545086914429,-0.351132064384438,-0.11198774244556,0,0,0.577949803247042,0.520911369768842,2.78398845982357,2.31826731891001
"060605A",0.5845,0.6794,0.0949,2.84149259178759,3.7796929697961,0.93820037800851,0.196288837784602,0,0,0.599275676499187,0.55658917508856,2.97443754229605,2.60237711573859
"060707A",0.5361,0.6459,0.1098,2.43637064149061,3.42486474355665,0.988494102066037,0.223395326039163,0,0,0.56921115176471,0.509236412503515,2.7086098868005,2.23025206290346
"060708A",0.5235,0.4654,-0.0581,2.33810505165989,1.92011530139416,-0.417989750265737,-0.143141522550899,0,0,0.597524260384397,0.499258471504228,2.95844176706963,2.15688289155478
"060714A",0.5665,0.5695,0.003,2.68553041852479,2.71107729492926,0.0255468764044648,0.00688395157906616,0,0,0.585446704179922,0.548748346554454,2.84987566813447,2.5379227551367
"060729A",0.3666,0.1875,-0.1791,1.32594799353611,0.539926526059492,-0.786021467476622,-0.510427903003897,0,0,0.390415935714552,0.340975360856552,1.45706098375383,1.19268053288851
"060814A",0.4889,0.4658,-0.0231,2.08247810171551,1.92280606593193,-0.159672035783579,-0.0546297058996517,0,0,0.501804847283471,0.473776563312622,2.17544684475386,1.9769844305092
"060906A",0.6783,0.6708,-0.00750000000000006,3.76760207367496,3.68597535308626,-0.0816267205886998,-0.0174193661806051,0,0,0.700785670847587,0.64597651888856,4.02094739036273,3.42564443470169
"060908A",0.529,0.4599,-0.0691,2.38064836205982,1.88336750678026,-0.497280855279555,-0.172465304582297,0,0,0.555871473215582,0.502612488480342,2.59642885302004,2.18135759872765
"060912A",0.3701,0.2871,-0.083,1.34476865610148,0.9368678929189,-0.407900763182576,-0.210598133550482,0,0,0.39854225368365,0.326654099037211,1.50346920581845,1.12155404239661
"060926A",0.5681,0.6232,0.0550999999999999,2.69913345670349,3.19952334664066,0.500389889937172,0.11915397263774,0,0,0.637911666742796,0.506384394744918,3.34421856020621,2.20910845491909
"060927A",0.66,0.8109,0.1509,3.57088189614875,5.46993622808681,1.89905433193806,0.293519791384346,0,0,0.683752681520372,0.627183593548988,3.82783791965494,3.23822094638899
"061007A",0.3904,0.3541,-0.0363,1.45697082763684,1.25995608443438,-0.197014743202463,-0.0871763591157445,0,0,0.418641229246054,0.364622611735536,1.6220515711389,1.31538178148873
"061121A",0.4026,0.3644,-0.0382,1.52696949937834,1.31419526151125,-0.212774237867082,-0.0919430790503535,0,0,0.435216830718988,0.379217034483528,1.72406101377886,1.39451209180214
"061126A",0.4557,0.3342,-0.1215,1.8556172713813,1.15873831601281,-0.696878955368483,-0.322817708009935,0,0,0.493140646628904,0.410447980113811,2.11272423222295,1.57304854566056
"070110A",0.5001,0.5253,0.0252,2.1630058853452,2.35196905022163,0.188963164876423,0.0563737797232732,0,0,0.546346018025734,0.468180514631883,2.51840652981993,1.9388709407189
"070125A",0.4347,0.4065,-0.0282,1.72082118209179,1.54976408779928,-0.171057094292506,-0.0670874200130986,0,0,0.466733190876752,0.419189681643416,1.92909320189013,1.62536494248518
"070208A",0.5813,0.3355,-0.2458,2.81329145276777,1.16520987930793,-1.64808157345985,-0.761164813263565,0,0,0.621478808710522,0.542980232656833,3.18291277736351,2.49124424373234
"070223A",0.5417,0.4199,-0.1218,2.48096775232401,1.62966242003022,-0.851305332293786,-0.323731793788193,0,0,0.574082209500187,0.52436025578431,2.7504398924208,2.34472376373641
"070306A",0.6242,0.3972,-0.227,3.20920424776836,1.49574379483157,-1.71346045293679,-0.686553025388741,0,0,0.677216728774298,0.587861594115547,3.75572494742071,2.87134248932788
"070411A",0.6103,0.5966,-0.0136999999999999,3.07661783347945,2.95002641597884,-0.126591417500609,-0.0320482458012218,0,0,0.637230819713237,0.577071133556027,3.33741342868018,2.77634038941892
"070508A",0.3889,0.2601,-0.1288,1.44849938911193,0.820119908460103,-0.628379480651831,-0.345240705148633,0,0,0.4078254432997,0.358543868856981,1.557557716884,1.2831995430725
"070521A",0.533,0.4895,-0.0435,2.41192911621929,2.08673964568386,-0.325189470535426,-0.105350469382843,0,0,0.556290739944063,0.478084236819327,2.59990251225355,2.00665942508623
"070529A",0.6904,0.544,-0.1464,3.90230130136168,2.49945167028357,-1.40284963107811,-0.400876983954584,0,0,0.756883418235201,0.645499679130031,4.71325249858699,3.4207879025426
"070721B",0.5694,0.6652,0.0958,2.71022288617465,3.6259400476616,0.915717161486951,0.197952665199335,0,0,0.608742784317184,0.533636136423907,3.06202679904503,2.41693042949299
"070802A",0.5986,0.5378,-0.0608000000000001,2.96825890950912,2.44984831362751,-0.51841059588161,-0.150270547790115,0,0,0.627957279831901,0.558067353572675,3.24577797523397,2.61465917077668
"070810A",0.5533,0.5011,-0.0522,2.57519718745026,2.17029736695272,-0.404899820497536,-0.127716669331472,0,0,0.59192320063486,0.530185603575407,2.90771786742956,2.38988998245551
"071003A",0.4565,0.4157,-0.0408,1.86088236062721,1.60435390455169,-0.256528456075517,-0.0984998450583757,0,0,0.482055658647593,0.423214584991278,2.03428002887995,1.6498090864095
"071010A",0.4262,0.2989,-0.1273,1.66808708115436,0.990215022279335,-0.677872058875027,-0.340602422997833,0,0,0.466702901275419,0.381581415163626,1.92888892121142,1.40758381527123
"071020A",0.2946,0.4976,0.203,0.970606903989111,2.14485046547696,1.17424356148785,0.373386135327665,0,0,0.346268534279067,0.264777425155674,1.21956840584864,0.839828852087359
"071025A",0.5441,0.7782,0.2341,2.50025754158434,5.00067353864116,2.50041599705682,0.416689223460578,0,0,0.565776998547413,0.524620064392052,2.67939995365664,2.34672528123289
"071112C",0.4702,0.2601,-0.2101,1.95256862172897,0.820119908460103,-1.13244871326886,-0.622183575930974,0,0,0.504306590259306,0.428127067030122,2.19379171722612,1.67995231767138
"071117A",0.4522,0.3675,-0.0847,1.8326962002809,1.33077311528264,-0.501923084998262,-0.215346179217189,0,0,0.468315468443224,0.433307136727136,1.93978431512153,1.712108980215
"080310A",0.4703,0.534,0.0637,1.95324855405551,2.41979442513709,0.46654587108158,0.136425121829619,0,0,0.488767241972253,0.447165453454052,2.08153597329881,1.80004785253228
"080319B",0.3598,0.2871,-0.0727,1.28981291210797,0.9368678929189,-0.352945019189068,-0.182224621761463,0,0,0.400440492730026,0.335403699933787,1.5144354600541,1.16472982085049
"080319C",0.5364,0.4698,-0.0666,2.43874522229127,1.94985045748424,-0.488894764807032,-0.16573544044127,0,0,0.570388703533647,0.520338090015994,2.71867910515015,2.313890011436
"080330A",0.3926,0.3997,0.0071,1.46944865101258,1.51015188099533,0.0407032299827499,0.0162154450855819,0,0,0.427187845217038,0.358449722416416,1.67416281311835,1.28270464428443
