"","log10Ta","PhotonIndex","log10PeakFlux","log10Fa","log10NH","Alpha","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10NHSqr","AlphaSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10NH_opt","Alpha_opt","log10T90_opt","Gamma_opt","Beta_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",4.19980078435077,1.68528474322361,0.49787317309306,-10.8792661195892,21.1545856750033,1.76313604780331,1.397940009,1.99215342891529,0.925203457906517,-5.73555346213348,17.6383266282333,2.84018466574227,0.247877696485752,118.358431300841,447.516495081055,3.10864872306348,1.95423626876292,3.96867528433895,0.856001438522176,32.8965735169914,0.378773543191014,0.792179837099609,0.611120307084276,0.284668965555007,0.19913803127911,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,1.04995019608769,0.421321185805902,0.124468293273265,-2.7198165298973,5.28864641875083,0.440784011950828,0.34948500225,0.498038357228823,0.231300864476629,-1.43388836553337,2.04,0.482873583608754
"011211A",4.24278583701089,1.73074257586597,0.0099540052549258,-11.1529559715848,20.9997109050585,1.69088856995137,2.431363764,1.91703135792151,0.872983806791216,-5.54501519311092,18.0012316587402,2.99546986391517,9.90822206150904e-05,124.388426904109,440.987858096033,2.85910415599219,5.91152975289225,3.67500922725439,0.762100726919683,30.7471934918309,0.323703994876218,0.806282966221722,0.614755037255583,0.286316626099964,0.203766580484484,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,1.06069645925272,0.432685643966493,0.00248850131373145,-2.7882389928962,5.24992772626462,0.422722142487843,0.607840941,0.479257839480377,0.218245951697804,-1.38625379827773,2.14,0.496929648073215
"020124A",3.96857517247054,1.66001947418774,0.286068555062632,-10.8264958606406,21.1181965423643,1.68458775460362,1.661907293,2.02236215224452,0.953545627671712,-5.79045330113306,15.7495888995496,2.75566465468254,0.0818352181956221,117.213012620468,445.978225201927,2.83783590296047,2.76193585052659,4.08994867483109,0.909249264051839,33.5293494326027,0.378773543191014,0.79751717350202,0.606548929361635,0.281976201037069,0.208651788128638,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,0.992143793117635,0.415004868546935,0.071517138765658,-2.70662396516015,5.27954913559107,0.421146938650905,0.41547682325,0.50559053806113,0.238386406917928,-1.44761332528327,3.198,0.623042434246382
"021004A",4.30609630793056,1.67186887883644,0.355429318153098,-10.8897727648793,21.0810752717726,1.37611805683753,2,1.96438080403683,0.892266462963456,-5.46547580308238,18.5424654131732,2.79514554802181,0.126330000202776,118.587150870707,444.411734614142,1.8937009063543,4,3.85879194326838,0.796139440929316,29.871425754079,0.199990220376636,0.783162841779521,0.614661918455998,0.274440996356004,0.200668929484627,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,1.07652407698264,0.41796721970911,0.0888573295382745,-2.72244319121983,5.27026881794315,0.344029514209382,0.5,0.491095201009208,0.223066615740864,-1.3663689507706,2.34,0.523746466811564
"030226A",4.13686610710775,1.69364237204975,0.320464469437468,-10.9876452521376,21.0511868725117,1.75786653252766,1.344195716,1.94602716780256,0.884632029078898,-5.88907181132459,17.1136611881368,2.8684244844023,0.102697476171838,120.728348186822,443.152468741409,3.09009474618082,1.80686212291275,3.78702173782565,0.782573826872248,34.6811667989379,0.378773543191014,0.802275496971677,0.612218233631067,0.291751546104305,0.20185296957271,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,1.03421652677694,0.423410593012437,0.080116117359367,-2.7469113130344,5.26279671812792,0.439466633131915,0.336048929,0.48650679195064,0.221158007269725,-1.47226795283115,1.99,0.47567118832443
"030329A",4.34643196252873,1.63361744707194,0.780376798107853,-10.3925037009879,21.2067839200846,1.44306231652272,1.798650645,1.94924493372129,0.870859009747759,-5.15361554086595,18.8914708048914,2.66870596337784,0.608987947025065,108.004133175047,449.727684233159,2.08242884936792,3.23514414275892,3.79955581163812,0.758395414858847,26.559753143055,0.378773543191014,0.791771276887651,0.627665431318139,0.276882645207824,0.204369920115094,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,1.08660799063218,0.408404361767985,0.195094199526963,-2.59812592524698,5.30169598002115,0.36076557913068,0.44966266125,0.487311233430323,0.21771475243694,-1.28840388521649,0.17,0.0681858617461616
"050315A",4.86356,2.11,0.285557309,-11.3757179,21.91683806,1.10818,1.980457892,1.99544,0.856,-5.492144128,23.6542158736,4.4521,0.0815429767233215,129.40695774038,480.347790548265,1.2280629124,3.92221346198508,3.9817807936,0.732736,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",4.132084541,1.9,0.499687083,-11.15490196,20.92661714,1.874408221,1.505149978,1.98053,0.95,-5.966576245,17.0741226539712,3.61,0.249687180917049,124.431837737212,437.923304924142,3.51340617895238,2.2654764562734,3.9224990809,0.9025,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",3.73997,2.02,0.181843588,-10.70553377,20.93735437,0.863159,2.183383742,2.01045,0.971,-5.882728704,13.9873756009,4.0804,0.0330670904967137,114.60845330061,438.372808014958,0.745043459281,4.76716456482992,4.0419092025,0.942841,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",3.12435,1.4,1.029383778,-9.653647026,22.12570242,0.984108,1.506369717,1.78711,0.9995,-5.085128182,9.7615629225,1.96,1.05963096240955,93.1929009025986,489.546707578394,0.968468555664,2.26914972429466,3.1937621521,0.99900025,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
