"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4463,0.4829,0.0366,1.79447352859712,2.04018491662944,0.245711388032325,0.0808211983055088,0,0,0.476081632147936,0.431335952396198,1.99282713039461,1.69982710037011
"011211A",0.5214,0.4969,-0.0245,2.3220028446165,2.13978564827282,-0.182217196343684,-0.0580349159962309,0,0,0.53208179743991,0.511712159882585,2.40472310112295,2.24871908593829
"030329A",0.3148,0.0682,-0.2466,1.06442923207399,0.170038089423047,-0.894391142650943,-0.764411988580622,0,0,0.33468606464463,0.294519605269221,1.16115573971649,0.970242147457737
"050315A",0.3511,0.4697,0.1186,1.24439865617831,1.94917130750827,0.704772651329962,0.238973114086552,0,0,0.381708217656569,0.324235724700638,1.40828686864805,1.10977297373266
"050318A",0.4997,0.3874,-0.1123,2.16009399044795,1.44005715942821,-0.720036831019742,-0.29509014911293,0,0,0.512470800925844,0.475505661444741,2.25439902346687,1.98886060936758
"050319A",0.4426,0.6274,0.1848,1.7707669583872,3.24033335385019,1.46956639546298,0.346568600350401,0,0,0.456633694576818,0.425643991311158,1.86176319920822,1.66467342878529
"050401A",0.4357,0.5911,0.1554,1.7270933226839,2.90031784475066,1.17322452206675,0.30080228554854,0,0,0.458447121702539,0.411867114083821,1.87373767526859,1.5814701886134
"050416A",0.1505,0.2182,0.0677,0.414164725070154,0.65272272994873,0.238558004878576,0.144342423901907,0,0,0.211988143868846,0.102235609643241,0.629251553871094,0.265422667322127
"050502A",0.5013,0.6803,0.179,2.17175767906771,3.78960832497788,1.61785064591018,0.337783496298238,0,0,0.518866618910313,0.48675068498861,2.30268093090194,2.06726066352866
"050502B",0.5058,0.6806,0.1748,2.2047931228494,3.79291801219085,1.58812488934145,0.331348227802361,0,0,0.515247235939614,0.4997476986239,2.27527097027874,2.1604410830747
"050505A",0.5863,0.7218,0.1355,2.85744728672476,4.26987118996723,1.41242390324247,0.268018676800192,0,0,0.600148856157382,0.562064071594136,2.98243646753831,2.64807763153592
"050525A",0.3125,0.2068,-0.1057,1.05352502645715,0.609904076215706,-0.44362095024144,-0.275557380588929,0,0,0.332342262710218,0.281760575199281,1.14952382289921,0.913200894274445
"050603A",0.3604,0.5821,0.2217,1.29297859182482,2.82032226884411,1.52734367701929,0.399794459612803,0,0,0.377006972012202,0.345072312956129,1.38235771459188,1.21346323545973
"050730A",0.4883,0.6961,0.2078,2.07822244122263,3.96706679223423,1.8888443510116,0.380273596071773,0,0,0.519885095743871,0.459905475704709,2.3104352344977,1.88340386130288
"050801A",0.4242,0.4082,-0.016,1.65582833454668,1.559764430599,-0.0960639039476776,-0.0375284158180127,0,0,0.44742463945783,0.415113251592929,1.80171941375312,1.60083769890721
"050802A",0.4628,0.433,-0.0298,1.90268561049905,1.71019163189084,-0.19249397860821,-0.0710259659660713,0,0,0.497567362005422,0.448023763667523,2.14461413331074,1.80558714949512
"050820A",0.411,0.5581,0.1471,1.57632115700258,2.61493089917358,1.038609742171,0.287311091453627,0,0,0.431559066529001,0.388682946408649,1.70121446393166,1.44727597314997
"050824A",0.1849,0.2619,0.077,0.53073495635073,0.82767932897041,0.29694437261968,0.162470717873117,0,0,0.217409965014414,0.144392741097206,0.649718957324358,0.394417232050504
"050904A",0.7041,0.863,0.1589,4.05941145845937,6.29457510254569,2.23516364408632,0.306414508407252,0,0,0.723954337950088,0.66937940213327,4.29607757604538,3.67067234733204
