"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4317,0.4829,0.0512,1.70209118081897,2.04018491662944,0.338093735810472,0.11120828011518,0,0,0.44002139450069,0.404693543853372,1.75436438730788,1.53918032259079
"011211A",0.488,0.4969,0.00890000000000002,2.07609681474071,2.13978564827282,0.0636888335321117,0.0202844527196137,0,0,0.511661907614988,0.467376992229858,2.24834319800312,1.93343853130203
"030329A",0.2927,0.0682,-0.2245,0.962004503925646,0.170038089423047,-0.791966414502599,-0.676872335748593,0,0,0.305346539525087,0.284367835213119,1.01997753508815,0.924721223494774
"050315A",0.3927,0.4697,0.077,1.4700173280466,1.94917130750827,0.47915397946167,0.162470717873117,0,0,0.421856859846736,0.360744649143453,1.64153798303063,1.29479898512378
"050318A",0.4585,0.3874,-0.0711,1.87408759361502,1.44005715942821,-0.434030434186814,-0.177877158536943,0,0,0.486478565591941,0.42299587182316,2.06533938725096,1.64847496346535
"050319A",0.4401,0.6274,0.1873,1.75486296095247,3.24033335385019,1.48547039289772,0.350319248261206,0,0,0.475032773958844,0.408145521463799,1.98560791880801,1.55944335013671
"050401A",0.4042,0.5911,0.1869,1.53629636923773,2.90031784475066,1.36402147551292,0.34972059452763,0,0,0.415134633603441,0.380547343459213,1.60096575143916,1.40185808579328
"050416A",0.2433,0.2182,-0.0251,0.751055857478778,0.65272272994873,-0.0983331275300474,-0.0594976554434499,0,0,0.28856545966717,0.196110529526965,0.94341459374385,0.570762518247309
"050502A",0.5084,0.6803,0.1719,2.22403687191819,3.78960832497788,1.5655714530597,0.326868367272375,0,0,0.535819703308478,0.47998975501125,2.4341534994371,2.01988048070692
"050502B",0.5069,0.6806,0.1737,2.21292065114126,3.79291801219085,1.57999736104959,0.329652490827268,0,0,0.524401752155428,0.491365073097846,2.34504336376678,2.10002412132383
"050505A",0.5977,0.7218,0.1241,2.96004389611525,4.26987118996723,1.30982729385198,0.248550153625316,0,0,0.627238233963123,0.582698925171859,3.23875420832502,2.8255944187691
"050525A",0.304,0.2068,-0.0972,1.01372424986239,0.609904076215706,-0.403820173646683,-0.250834928374066,0,0,0.331052165666206,0.283678378364886,1.14314801178111,0.921668089036431
"050730A",0.5047,0.6961,0.1914,2.19668615426732,3.96706679223423,1.77038063796691,0.356423763162358,0,0,0.54080125390327,0.472990008996089,2.47377154925119,1.97159766894118
"050801A",0.4327,0.4082,-0.0245,1.70832014429895,1.559764430599,-0.148555713699952,-0.0580349159962308,0,0,0.467767096358893,0.40938788666056,1.93607467023172,1.56677550818025
"050802A",0.468,0.433,-0.035,1.93764965196153,1.71019163189084,-0.227458020070688,-0.0839269140212036,0,0,0.486166935026257,0.445388646593984,2.06314062386542,1.7886155617067
"050820A",0.4421,0.5581,0.116,1.76757883062595,2.61493089917358,0.84735206854763,0.234403393088744,0,0,0.474248574495822,0.420806258734506,1.98022171276885,1.63515556552532
"050824A",0.1684,0.2619,0.0935,0.473669177036689,0.82767932897041,0.354010151933721,0.193693798645272,0,0,0.203123907701432,0.125973796367105,0.596334529325317,0.336514874025918
"050904A",0.7202,0.863,0.1428,4.25049198674762,6.29457510254569,2.04408311579806,0.280219627197301,0,0,0.748883423901805,0.650246729271478,4.60897396162655,3.46937431961868
"050922C",0.3534,0.5049,0.1515,1.25631639962815,2.19815862166661,0.941842222038457,0.294495155949347,0,0,0.377237958160902,0.329388146643521,1.38362514492476,1.13495215431018
"051016B",0.3651,0.287,-0.0781,1.31792831124371,0.936421963946607,-0.381506347297099,-0.197016122725417,0,0,0.388631045476092,0.328042703139402,1.44698352569502,1.12834831110166
"051109A",0.485,0.5245,0.0395,2.05492111321551,2.34580017853301,0.290879065317496,0.0869385647068241,0,0,0.508194046627604,0.46995330846461,2.22250831496895,1.95089195557794
"051111A",0.486,0.4065,-0.0795,2.06196343369068,1.54976408779928,-0.512199345891395,-0.200881073014672,0,0,0.500067337713708,0.467526392078339,2.16276801191305,1.93444782495002
"060115A",0.5845,0.6561,0.0716,2.84149259178759,3.5300187543224,0.688526162534812,0.151991901110308,0,0,0.606392303095624,0.56191267466208,3.04010175127199,2.64680611755847
"060124A",0.4587,0.518,0.0593,1.87541146467401,2.29609712177458,0.420685657100572,0.12763145063944,0,0,0.498380090703003,0.439260141352834,2.15050440155964,1.74954062817628
"060206A",0.5525,0.7031,0.1506,2.56861749283481,4.04777513500947,1.47915764217466,0.293031603550598,0,0,0.596453429089528,0.518563216463462,2.94869353861962,2.3003744508964
"060210A",0.5399,0.6911,0.1512,2.46657020533339,3.91020924883086,1.44363904349747,0.294007642106333,0,0,0.56668287827465,0.51932178521909,2.68708269561123,2.30614415040807
"060223A",0.7278,0.7332,0.00539999999999996,4.34318240087348,4.41003406863468,0.0668516677611972,0.0123569772228936,0,0,0.749295461792493,0.675984726464023,4.6142980138045,3.74225307119127
"060306A",0.3693,0.4081,0.0388,1.34045340832852,1.55917509090989,0.218721682581373,0.0854656968795396,0,0,0.381999033040484,0.337559246929826,1.4099000630223,1.17550079798293
"060502A",0.4958,0.3984,-0.0974,2.13184312511164,1.50264932573108,-0.629193799380564,-0.251411091802389,0,0,0.521322476440803,0.483055500214973,2.32140990477771,2.04127365727075
"060510B",0.5414,0.7709,0.2295,2.47856401530424,4.90065196995666,2.42208795465242,0.410478022934509,0,0,0.577301461464156,0.482667934061464,2.77834370124407,2.03856082300127
"060526A",0.4844,0.6254,0.141,2.05070349782252,3.22085079179884,1.17014729397633,0.27723019639783,0,0,0.506488814321188,0.460225288114694,2.2098801295463,1.88552796831434
"060707A",0.5486,0.6459,0.0973,2.53671447585759,3.42486474355665,0.888150267699056,0.20071806013785,0,0,0.574539076187289,0.529274725134828,2.75438733520379,2.38278756237401
"060708A",0.4967,0.4654,-0.0313,2.13834005643241,1.92011530139416,-0.218224755038251,-0.0747315542417326,0,0,0.513528310253134,0.477895769551996,2.26233315796242,2.00535493245905
"060714A",0.5646,0.5695,0.00490000000000002,2.66944176733716,2.71107729492926,0.041635527592097,0.0112192563730718,0,0,0.588853583929097,0.544677008701683,2.88019528793762,2.50491111519114
"060729A",0.3474,0.1875,-0.1599,1.22535857804652,0.539926526059492,-0.685432051987025,-0.445106984253965,0,0,0.38499106666024,0.320587252368557,1.4265601807722,1.09212318499049
"060814A",0.4428,0.4658,0.023,1.7720432375777,1.92280606593193,0.150762828354228,0.0515815366991028,0,0,0.473999358151867,0.380926615647876,1.9785120274534,1.40395656021467
"060906A",0.6778,0.6708,-0.00700000000000001,3.76211632739821,3.68597535308626,-0.0761409743119481,-0.0162486928706956,0,0,0.69827517698752,0.654538267383529,3.99200690030717,3.51375796073608
"060908A",0.5242,0.4599,-0.0643,2.34348977972379,1.88336750678026,-0.460122272943529,-0.159578087726087,0,0,0.5460238062447,0.513745573473173,2.51579712159906,2.26396560404852
"060912A",0.3531,0.2871,-0.066,1.25475832967634,0.9368678929189,-0.317890436757444,-0.164126029410491,0,0,0.37798054336307,0.337623877473666,1.38770431002162,1.1758245742873
"060926A",0.6437,0.6232,-0.0205000000000001,3.40250644073913,3.19952334664066,-0.202983094098474,-0.0483347935810017,0,0,0.671262122661236,0.609394215291383,3.69096424432562,3.06812431062466
"060927A",0.6568,0.8109,0.1541,3.53732616937941,5.46993622808681,1.9326100587074,0.298706199037588,0,0,0.675754712827874,0.639233103437785,3.73974211580177,3.35745693291442
"061007A",0.391,0.3541,-0.0369,1.46036760414763,1.25995608443438,-0.200411519713252,-0.0886793867781776,0,0,0.418147293170216,0.371676766860615,1.61907112882588,1.35329713922365
"061121A",0.3303,0.3644,0.0341,1.13943945159728,1.31419526151125,0.174755809913974,0.0755147211734642,0,0,0.349606791696788,0.315742362865046,1.23669512765947,1.06891364007966
"061222A",0.4855,0.4897,0.00420000000000004,2.05844024651055,2.08816146918451,0.0297212226739618,0.00962424503075297,0,0,0.510033839340126,0.461652382277993,2.23618871669615,1.89502542560414
"070110A",0.5123,0.5253,0.013,2.25311937313849,2.35196905022163,0.0988496770831411,0.0294900327545104,0,0,0.536380528619365,0.492434468376538,2.43859105128762,2.10766694484579
"070125A",0.4165,0.4065,-0.01,1.60915572301414,1.54976408779928,-0.0593916352148529,-0.0232929922807542,0,0,0.4336630791791,0.400461784871956,1.71433270274711,1.51455873822441
"070223A",0.5187,0.4199,-0.0988,2.30141408645912,1.62966242003022,-0.671751666428892,-0.255451673687139,0,0,0.539091474367211,0.507191614918728,2.4601224985154,2.2150787495405
"070306A",0.604,0.3972,-0.2068,3.0179081084894,1.49574379483157,-1.52216431365783,-0.609904076215706,0,0,0.639057845096592,0.577724864783411,3.35569884793796,2.78202908847994
"070411A",0.6528,0.5966,-0.0562,3.49572771301906,2.95002641597884,-0.545701297040219,-0.138151303199574,0,0,0.683624966044249,0.619269548013726,3.82641837832734,3.16168828549054
"070508A",0.404,0.2601,-0.1439,1.53512863049791,0.820119908460103,-0.715008722037805,-0.39283605366568,0,0,0.419533194030081,0.392129857181938,1.62744233967453,1.46677681102914
"070521A",0.5196,0.4895,-0.0301,2.30826278855698,2.08673964568386,-0.221523142873119,-0.0717660600831272,0,0,0.545107785959677,0.506527966894054,2.50838936581242,2.21016952012345
"070721B",0.6013,0.6652,0.0639000000000001,2.99300634223162,3.6259400476616,0.632933705429978,0.136822721200186,0,0,0.652012434064153,0.541776369271028,3.48758237917795,2.48157992299535
"070802A",0.6027,0.5378,-0.0649000000000001,3.00589904327751,2.44984831362751,-0.556050729650002,-0.16118121120094,0,0,0.635971717680441,0.578036940528902,3.32485665592904,2.78474775924656
"070810A",0.5394,0.5011,-0.0383,2.46258146543792,2.17029736695272,-0.292284098485195,-0.0921945371850519,0,0,0.57586828295258,0.514046595489164,2.76589565921735,2.26622873686338
"071003A",0.4292,0.4157,-0.0135,1.6865813772687,1.60435390455169,-0.0822274727170118,-0.0315730794395113,0,0,0.473808073136311,0.402005012273916,1.97720043062308,1.52350989661263
"071010B",0.349,0.2894,-0.0596,1.23357222283053,0.9471526498539,-0.286419572976631,-0.147096619773556,0,0,0.405105211709593,0.323623024029852,1.54158835340783,1.10679861426054
"071020A",0.3011,0.4976,0.1965,1.00032240786504,2.14485046547696,1.14452805761192,0.36393719516274,0,0,0.330292890913042,0.264917149660367,1.1394044308055,0.84042087096705
"071112C",0.43,0.2601,-0.1699,1.69153480392692,0.820119908460103,-0.871414895466812,-0.478767850083056,0,0,0.45980977416425,0.397909044535967,1.88276854171873,1.49982176245869
"071117A",0.4608,0.3675,-0.0933,1.88934898155908,1.33077311528264,-0.558575866276444,-0.239652612523252,0,0,0.493479327565453,0.41432685919386,2.11515261105688,1.59613253116877
"080310A",0.4841,0.534,0.0499000000000001,2.04859687418914,2.41979442513709,0.371197550947948,0.108543820125406,0,0,0.521302939054629,0.446441540617337,2.32126048955128,1.79538442197836
"080319B",0.3766,0.2871,-0.0895,1.38012628219499,0.9368678929189,-0.443258389276086,-0.228853186578506,0,0,0.420904277014826,0.289128594455479,1.6357503752171,0.945936187401135
"080319C",0.5186,0.4698,-0.0488,2.30065399528507,1.94985045748424,-0.350803537800835,-0.118922481955243,0,0,0.543548265374753,0.48335338023903,2.49581358210371,2.04336036448584
"080330A",0.3887,0.3997,0.011,1.44737207306725,1.51015188099533,0.0627798079280759,0.0250103622826131,0,0,0.416314009085942,0.352994430913388,1.60803856546306,1.25421030556151
"080411A",0.1583,0.3075,0.1492,0.439792808458691,1.03001851985968,0.590225711400993,0.290748929444146,0,0,0.185242678927547,0.143185264982506,0.531943255413128,0.390545695352414
"080413B",0.3776,0.3222,-0.0554,1.38561303993091,1.09990670376243,-0.285706336168487,-0.136056680830907,0,0,0.418942814166466,0.345428430812016,1.62387302150623,1.21527900122116
"080516A",0.5009,0.6232,0.1223,2.1688377271815,3.19952334664066,1.03068561945916,0.245429191454226,0,0,0.534949703979967,0.438901464182058,2.42728092610804,1.74727076207409
"080603A",0.4735,0.4298,-0.0437,1.97508925888088,1.69029559170462,-0.284793667176259,-0.105859619312616,0,0,0.496490213417317,0.44889408689725,2.13682444278162,1.81121516469971
