"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4315,0.4829,0.0514,1.70084710832466,2.04018491662944,0.33933780830478,0.111617489596979,0,0,0.447471350771969,0.413883102694314,1.8020207738658,1.59348119121968
"011211A",0.4856,0.4969,0.0113,2.05914455948641,2.13978564827282,0.0806410887864102,0.0256836286995485,0,0,0.504882470324146,0.442538547201331,2.19802953517144,1.77037492177382
"030329A",0.2963,0.0682,-0.2281,0.978335754143396,0.170038089423047,-0.808297664720349,-0.690830214868411,0,0,0.311628969257963,0.267313496531907,1.04941055807489,0.850603999960915
"050315A",0.3896,0.4697,0.0801,1.45244908607202,1.94917130750827,0.496722221436255,0.168427727535411,0,0,0.411213680382737,0.360318480067108,1.57758906337965,1.29254822504276
"050318A",0.4593,0.3874,-0.0719,1.87938673780798,1.44005715942821,-0.439329578379769,-0.180048888068966,0,0,0.473430678312194,0.440169439500523,1.97461441575371,1.75530347219547
"050319A",0.4234,0.6274,0.204,1.65094062109308,3.24033335385019,1.58939273275711,0.374827307224314,0,0,0.445499163642656,0.393009982295848,1.78932528469694,1.47178095846014
"050401A",0.4033,0.5911,0.1878,1.53104577719744,2.90031784475066,1.36927206755322,0.351066790465831,0,0,0.424277841721009,0.373432301889056,1.65630440040802,1.36282905109108
"050416A",0.2431,0.2182,-0.0249,0.750249652105787,0.65272272994873,-0.0975269221570569,-0.0590098510716812,0,0,0.285660804754247,0.199060143973041,0.930459988789897,0.581467036123732
"050502A",0.5102,0.6803,0.1701,2.23742711634235,3.78960832497788,1.55218120863554,0.324072680544855,0,0,0.53440956290719,0.475300083496961,2.4230209952249,1.98744613496823
"050502B",0.509,0.6806,0.1716,2.22849412171264,3.79291801219085,1.56442389047822,0.326403223777057,0,0,0.528904506627031,0.482674125653101,2.37990510134887,2.03860414305868
"050505A",0.6024,0.7218,0.1194,3.00313282178024,4.26987118996723,1.266738368187,0.240373687045446,0,0,0.63429013307933,0.583126776677482,3.30814322514733,2.8293651156509
"050525A",0.302,0.2068,-0.0952,1.00447202736516,0.609904076215706,-0.394567951149455,-0.245087863916054,0,0,0.321439032200342,0.266756596486604,1.09623048336538,0.848232473262923
"050603A",0.3325,0.5821,0.2496,1.15030467934026,2.82032226884411,1.67001758950385,0.43714050071727,0,0,0.357672360981424,0.319923826559048,1.27862239257287,1.08892970916121
"050730A",0.5058,0.6961,0.1903,2.2047931228494,3.96706679223423,1.76227366938483,0.354791619098027,0,0,0.543371214514183,0.480179575589279,2.49438871790764,2.02120069262506
"050801A",0.4278,0.4082,-0.0196,1.67793480625971,1.559764430599,-0.118170375660708,-0.0461645510220079,0,0,0.451978711216249,0.407207181260315,1.83125320652831,1.55391936566922
"050802A",0.47,0.433,-0.037,1.95120922666639,1.71019163189084,-0.241017594775543,-0.0889300933334334,0,0,0.496654052404115,0.453634657902115,2.13800804311212,1.84206926401029
"050820A",0.4408,0.5581,0.1173,1.75930685581751,2.61493089917358,0.855624043356066,0.236691673290816,0,0,0.468057898201879,0.423579085714558,1.93804131240773,1.65203398863904
"050824A",0.184,0.2619,0.0779,0.527566058238073,0.82767932897041,0.300113270732337,0.164204554910297,0,0,0.230731866339155,0.146433455618993,0.701107919111554,0.400984903842642
"050904A",0.7204,0.863,0.1426,4.25291048450048,6.29457510254569,2.0416646180452,0.27988807975021,0,0,0.739867808703927,0.698877851347919,4.49373629122365,3.99893916207026
"050922C",0.3494,0.5049,0.1555,1.23563036653701,2.19815862166661,0.9625282551296,0.300963263238023,0,0,0.365982734817844,0.317401641674016,1.32264445883397,1.07683331438794
"051016B",0.3782,0.287,-0.0912,1.38891116388368,0.936421963946607,-0.452489199937069,-0.233672829766325,0,0,0.402422500563348,0.335261011422352,1.52593691887411,1.1640187104122
"051109A",0.4916,0.5245,0.0329,2.10170149947769,2.34580017853301,0.24409867905532,0.0729567415954729,0,0,0.521423900067566,0.477423327881024,2.32218566590586,2.00208737332626
"051111A",0.486,0.4065,-0.0795,2.06196343369068,1.54976408779928,-0.512199345891395,-0.200881073014672,0,0,0.49911730791864,0.462748827876962,2.15585694139999,1.9023436125211
"060115A",0.582,0.6561,0.0741,2.81944270840047,3.5300187543224,0.710576045921938,0.156859404885229,0,0,0.590531677998876,0.57519105365479,2.89521718883342,2.7600277803635
"060124A",0.4574,0.518,0.0606,1.8668171905249,2.29609712177458,0.429279931249682,0.130238859896993,0,0,0.47613388432693,0.438512488384045,1.99318723431799,1.74481127094796
"060206A",0.5641,0.7031,0.139,2.66521959732342,4.04777513500947,1.38255553768605,0.273894042564845,0,0,0.613269644718876,0.516427965228228,3.10458869554725,2.28418766215135
"060210A",0.5393,0.6911,0.1518,2.46178426837559,3.91020924883086,1.44842498045527,0.294982333146016,0,0,0.572024386364039,0.525603392089237,2.73271117006952,2.3543115073232
"060223A",0.7172,0.7332,0.016,4.21434785414458,4.41003406863468,0.1956862144901,0.0361709763760295,0,0,0.744453810724289,0.677633793993407,4.5520556523713,3.76029419763012
"060306A",0.3672,0.4081,0.0409,1.32916363021397,1.55917509090989,0.230011460695927,0.0898771879708114,0,0,0.389091431503095,0.344861748607863,1.44957889450747,1.21239031490821
"060502A",0.4897,0.3984,-0.0913,2.08816146918451,1.50264932573108,-0.585512143453433,-0.233956926139619,0,0,0.504568854651569,0.471393602543378,2.19572098605739,1.96069453835795
"060510B",0.5648,0.7709,0.2061,2.67113199687964,4.90065196995666,2.22951997307702,0.377842988271243,0,0,0.604771836340786,0.508298963072789,3.02505515958332,2.22328689948381
"060512A",0.4192,0.1584,-0.2608,1.6254273189937,0.44012437117557,-1.18530294781813,-0.823055960681069,0,0,0.447054338903733,0.387079347433778,1.79933154994624,1.43825625737896
"060526A",0.4719,0.6254,0.1535,1.9641487904584,3.22085079179884,1.25670200134044,0.297736656264236,0,0,0.504377836524307,0.449966277187225,2.19431570361336,1.81816409332403
"060707A",0.5439,0.6459,0.102,2.49864598452017,3.42486474355665,0.92621875903648,0.209321372000175,0,0,0.562648257449321,0.525183222711974,2.65298809996544,2.35106786162725
"060708A",0.4913,0.4654,-0.0259,2.09955965983738,1.92011530139416,-0.179444358443221,-0.0614511209052425,0,0,0.500669548800944,0.485565631792528,2.16715668179025,2.05890248145102
