"","log10Ta","log10PeakFlux","log10NH","log10Fa","Alpha","PhotonIndex","log10T90","Beta","log10Fluence","Gamma","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","AlphaSqr","PhotonIndexSqr","log10T90Sqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","log10PeakFlux_opt","log10NH_opt","log10Fa_opt","Alpha_opt","PhotonIndex_opt","log10T90_opt","Beta_opt","log10Fluence_opt","Gamma_opt","Redshift_crosscheck","log10z"
"000926A",4.20678871130933,0.49787317309306,21.1545856750033,-10.8793964155968,1.75619046147907,1.68528474322361,1.397940009,0.92892012463451,-5.73555346213348,1.99215342891529,17.6970712615996,0.247877696485752,447.516495081055,118.3612663677,3.08420493699007,2.84018466574227,1.95423626876292,0.862892597950994,32.8965735169914,3.96867528433895,0.181516258620399,0.795111069933144,0.603020469837642,0.291552269424781,0.19931706913903,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,1.05169717782733,0.124468293273265,5.28864641875083,-2.7198491038992,0.439047615369767,0.421321185805902,0.34948500225,0.232230031158628,-1.43388836553337,0.498038357228823,2.04,0.482873583608754
"020124A",3.96095229505778,0.286068555062632,21.1181965423643,-10.8421246598556,1.67898325778906,1.66001947418774,1.661907293,0.951478720736091,-5.79045330113306,2.02236215224452,15.6891430837235,0.0818352181956221,445.978225201927,117.551667139849,2.81898477993597,2.75566465468254,2.76193585052659,0.905311756013588,33.5293494326027,4.08994867483109,0.366834332492466,0.792317100624562,0.595610894079057,0.284113268495183,0.208606401766565,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,0.990238073764445,0.071517138765658,5.27954913559107,-2.7105311649639,0.419745814447265,0.415004868546935,0.41547682325,0.237869680184023,-1.44761332528327,0.50559053806113,3.198,0.623042434246382
"021004A",4.33113609573527,0.355429318153098,21.0810752717726,-10.8738189928273,1.37448757122425,1.67186887883644,2,0.89313661773818,-5.46547580308238,1.96438080403683,18.758739879781,0.126330000202776,444.411734614142,118.239939488772,1.88921608344994,2.79514554802181,4,0.797693017944796,29.871425754079,3.85879194326838,0.0794726286723922,0.80176027517319,0.617544937425894,0.265073448769565,0.197654672440842,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,1.08278402393382,0.0888573295382745,5.27026881794315,-2.71845474820682,0.343621892806062,0.41796721970911,0.5,0.223284154434545,-1.3663689507706,0.491095201009208,2.34,0.523746466811564
"030226A",4.16295134674047,0.320464469437468,21.0511868725117,-11.0050793989671,1.75871485085754,1.69364237204975,1.344195716,0.886228559230502,-5.88907181132459,1.94602716780256,17.3301639153283,0.102697476171838,443.152468741409,121.11177257757,3.09307792662686,2.8684244844023,1.80686212291275,0.785401059195771,34.6811667989379,3.78702173782565,0.378773543191014,0.797155201405281,0.614876065469365,0.292552211688963,0.205831464679787,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,1.04073783668512,0.080116117359367,5.26279671812792,-2.75126984974177,0.439678712714385,0.423410593012437,0.336048929,0.221557139807626,-1.47226795283115,0.48650679195064,1.99,0.47567118832443
"030329A",4.34409404856485,0.780376798107853,21.2067839200846,-10.3806044802949,1.43353369566942,1.63361744707194,1.798650645,0.871571547097353,-5.15361554086595,1.94924493372129,18.8711531027765,0.608987947025065,449.727684233159,107.756949376319,2.05501885661963,2.66870596337784,3.23514414275892,0.759636961709673,26.559753143055,3.79955581163812,0.0598714492362227,0.793989712915804,0.611687226324717,0.27933494359946,0.20498791081626,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,1.08602351214121,0.195094199526963,5.30169598002115,-2.59515112007373,0.358383423917355,0.408404361767985,0.44966266125,0.217892886774338,-1.28840388521649,0.487311233430323,0.17,0.0681858617461616
"050315A",4.86356,0.285557309,21.91683806,-11.3757179,1.10818,2.11,1.980457892,0.856,-5.492144128,1.99544,23.6542158736,0.0815429767233215,480.347790548265,129.40695774038,1.2280629124,4.4521,3.92221346198508,0.732736,30.1636471227249,3.9817807936,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",4.132084541,0.499687083,20.92661714,-11.15490196,1.874408221,1.9,1.505149978,0.95,-5.966576245,1.98053,17.0741226539712,0.249687180917049,437.923304924142,124.431837737212,3.51340617895238,3.61,2.2654764562734,0.9025,35.6000320873983,3.9224990809,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",3.73997,0.181843588,20.93735437,-10.70553377,0.863159,2.02,2.183383742,0.971,-5.882728704,2.01045,13.9873756009,0.0330670904967137,438.372808014958,114.60845330061,0.745043459281,4.0804,4.76716456482992,0.942841,34.6064970048655,4.0419092025,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",3.12435,1.029383778,22.12570242,-9.653647026,0.984108,1.4,1.506369717,0.9995,-5.085128182,1.78711,9.7615629225,1.05963096240955,489.546707578394,93.1929009025986,0.968468555664,1.96,2.26914972429466,0.99900025,25.8585286273706,3.1937621521,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
"050416A",2.99481,0.688419822,21.75162856,-10.5559552,0.842217,3.08,0.397940009,0.9,-6.435333936,2.06183,8.9688869361,0.473921851322512,473.133345012208,111.428190184407,0.709329475089,9.4864,0.15835625076292,0.81,41.4135228678333,4.2511429489,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
