"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4294,0.4829,0.0535,1.68781887863813,2.04018491662944,0.352366037991308,0.115902830799504,0,0,0.454637373122423,0.407946335323378,1.84863872000482,1.55826974841657
"020124A",0.4944,0.623,0.1286,2.12176351084817,3.19758983991008,1.07582632906191,0.256296200937288,0,0,0.51500010597459,0.467023244439114,2.27340774755055,1.93105011759297
"050315A",0.439,0.4697,0.0307,1.7478941531024,1.94917130750827,0.201277154405878,0.0682487157980438,0,0,0.488692660488565,0.39445845829333,2.08100682590773,1.48003870242496
"050318A",0.4763,0.3874,-0.0889,1.99433233386727,1.44005715942821,-0.554275174439058,-0.227156635367077,0,0,0.521151475910519,0.454239867041564,2.32010237940595,1.8460325778528
"050319A",0.4281,0.6274,0.1993,1.67978529715251,3.24033335385019,1.56054805669768,0.368024852404756,0,0,0.445087178588924,0.393063447068936,1.78668049991814,1.47208527119819
"050401A",0.4185,0.5911,0.1726,1.62119903863524,2.90031784475066,1.27911880611541,0.327952453371704,0,0,0.448780845741466,0.391081638800073,1.81048224322032,1.46083014822196
"050416A",0.3168,0.2182,-0.0986,1.07395820445383,0.65272272994873,-0.421235474505102,-0.254873649930481,0,0,0.415576694844235,0.179729628075002,1.60361457975294,0.512619267523303
"050502A",0.4946,0.6803,0.1857,2.12320146714921,3.78960832497788,1.66640685782867,0.347921321486421,0,0,0.515802567682838,0.478043410452833,2.27946173345262,2.00637679379518
"050502B",0.4996,0.6806,0.181,2.15936643568252,3.79291801219085,1.63355157650834,0.340826104755679,0,0,0.518529690394911,0.485372624755063,2.30011968295908,2.05754336094452
"050505A",0.5918,0.7218,0.13,2.90660948345936,4.26987118996723,1.36326170650787,0.258689758699083,0,0,0.607676718094064,0.572358232589145,3.05206793663045,2.73558164315264
"050525A",0.312,0.2068,-0.1052,1.05116217882557,0.609904076215706,-0.44125810260986,-0.274089685919111,0,0,0.392092497061826,0.285681487785172,1.46656461603722,0.930551928052531
"050603A",0.346,0.5821,0.2361,1.21819641980022,2.82032226884411,1.60212584904389,0.419369293033133,0,0,0.365655147814697,0.330085471260381,1.3208931557868,1.13838289221728
"050730A",0.4503,0.6961,0.2458,1.82033047380154,3.96706679223423,2.14673631843269,0.432193970451336,0,0,0.486442870662196,0.384551424598214,2.06508745548064,1.42410498465267
"050801A",0.4622,0.4082,-0.054,1.89867817100776,1.559764430599,-0.338913740408766,-0.132400363235557,0,0,0.482874313055047,0.443025718748987,2.04000510602526,1.77348434444443
"050802A",0.443,0.433,-0.01,1.77332010465184,1.71019163189084,-0.0631284727609978,-0.0232929922807541,0,0,0.469113852187505,0.418663153264471,1.94519362792396,1.62218394067238
"050820A",0.4076,0.5581,0.1505,1.55623042711255,2.61493089917358,1.05870047206103,0.292868799318699,0,0,0.426766566545723,0.379724010102085,1.67157005272629,1.39730896842777
"050904A",0.6617,0.863,0.2013,3.58880919619868,6.29457510254569,2.70576590634701,0.370928514452164,0,0,0.695977841534604,0.623759697407429,3.96566985086372,3.20493897511082
"050908A",0.5118,0.6375,0.1257,2.24937623618762,3.34010263644744,1.09072640025982,0.251313503763733,0,0,0.544716004792111,0.487733808600624,2.50522584165658,2.07421196549927
"050922C",0.3573,0.5049,0.1476,1.2766695553309,2.19815862166661,0.921489066335703,0.288131132737719,0,0,0.439122648275927,0.302852141170503,1.74867029023527,1.00840891824391
"051028A",0.4805,0.6628,0.1823,2.02343057051134,3.60044666393478,1.57701609342344,0.34279629971291,0,0,0.490663545893766,0.468071846699272,2.09502061374056,1.93813567676512
"051109A",0.5068,0.5245,0.0176999999999999,2.21218093398798,2.34580017853301,0.133619244545024,0.0399364090546527,0,0,0.520110183470063,0.476767754862124,2.31215142362873,1.99755910302826
"060115A",0.538,0.6561,0.1181,2.45143739335856,3.5300187543224,1.07858136096384,0.238096444950629,0,0,0.592705035786365,0.512602336853457,2.91475904112859,2.2553848412568
"060206A",0.5567,0.7031,0.1464,2.6032965012816,4.04777513500947,1.44447863372787,0.286161446398337,0,0,0.577178630010405,0.538182042585208,2.77727522387555,2.45288443059702
"060210A",0.5559,0.6911,0.1352,2.59666509346148,3.91020924883086,1.31354415536938,0.26751286733496,0,0,0.582794811107065,0.531719437843519,2.82643914788997,2.401883508193
"060223A",0.7163,0.7332,0.0168999999999999,4.20355321134559,4.41003406863468,0.20648085728909,0.0381662767127823,0,0,0.743052102623365,0.657863994542083,4.53416499011228,3.54845596513912
"060306A",0.4015,0.4081,0.0066,1.52057717963911,1.55917509090989,0.0385979112707862,0.015082169019183,0,0,0.415871116899557,0.375451715188471,1.60538025139916,1.37384148463433
"060418A",0.4101,0.396,-0.0141,1.57098770641523,1.48885731828239,-0.0821303881328359,-0.0329992352432303,0,0,0.422491692797854,0.394217834288807,1.64540209288351,1.47866499960208
"060502A",0.4908,0.3984,-0.0924,2.09599321330917,1.50264932573108,-0.593343887578094,-0.23708630748927,0,0,0.515239505614558,0.461788156832995,2.27521267185459,1.89593064603638
"060510B",0.4968,0.7709,0.2741,2.13906276913766,4.90065196995666,2.761589200819,0.468014249082934,0,0,0.539712218134796,0.464372524999561,2.46507164080085,1.9132149164914
"060604A",0.5741,0.4963,-0.0778,2.75059352911114,2.13545086914429,-0.615142659966853,-0.196189538806179,0,0,0.605676494823205,0.549585251982771,3.03344830200146,2.54474706817172
"060605A",0.6351,0.6794,0.0443,3.31618449207359,3.7796929697961,0.463508477722513,0.096974529671994,0,0,0.657129868408137,0.608265749884287,3.54077380499104,3.05756746808581
"060607A",0.5336,0.6096,0.0760000000000001,2.41664612813823,3.07005239440234,0.65340626626411,0.160540013480603,0,0,0.550967230746949,0.514691888543485,2.55604485778089,2.27108544450627
"060708A",0.5131,0.4654,-0.0477,2.25911736313484,1.92011530139416,-0.339002061740688,-0.116092012386921,0,0,0.565172215375834,0.489134782188561,2.67427971706528,2.08414495828764
"060904B",0.5045,0.2304,-0.2741,2.19521436480822,0.699808513203497,-1.49540585160472,-0.879749595315562,0,0,0.521472638338133,0.481519142402543,2.32255851584171,2.03053387171858
"060906A",0.6714,0.6708,-0.000600000000000045,3.6924537413644,3.68597535308626,-0.0064783882781434,-0.00138250583709891,0,0,0.707816726461512,0.64540489819917,4.10289610826556,3.4198232099409
"060908A",0.5493,0.4599,-0.0894,2.54241958261649,1.88336750678026,-0.659052075836232,-0.228570265249388,0,0,0.578502280023736,0.525388371491061,2.78880522846512,2.35265118793013
"060927A",0.6401,0.8109,0.1708,3.36616355297684,5.46993622808681,2.10377267510997,0.325161269129243,0,0,0.676069536280381,0.614979235601812,3.7431792374254,3.12077816446762
"061021A",0.389,0.1291,-0.2599,1.44906324184475,0.346170285535609,-1.10289295630914,-0.81928190523855,0,0,0.417211187604245,0.365489633389828,1.6134318984011,1.32000880629373
"061121A",0.3736,0.3644,-0.00919999999999999,1.36374160811629,1.31419526151125,-0.0495463466050405,-0.0214097519898494,0,0,0.416110091077781,0.327120937378183,1.60681427822305,1.12383580125279
"061126A",0.392,0.3342,-0.0578,1.46603933723434,1.15873831601281,-0.307301021221525,-0.142352141036302,0,0,0.410208052692192,0.364619989486506,1.57162744906997,1.31536780136798
"061222A",0.5292,0.4897,-0.0395,2.38220556669654,2.08816146918451,-0.294044097512028,-0.0952165553667361,0,0,0.556988617942786,0.501539610756202,2.60569193044413,2.17350809722376
"070110A",0.5142,0.5253,0.0111,2.26738266063143,2.35196905022163,0.0845863895901955,0.0252348360986814,0,0,0.531694704007298,0.496980553630477,2.40168977044804,2.14036807471613
"070125A",0.4132,0.4065,-0.00670000000000004,1.58940510573923,1.54976408779928,-0.0396410179399522,-0.0155469355496989,0,0,0.441900050010412,0.399553064833317,1.76630492544643,1.5093027631404
"070223A",0.5237,0.4199,-0.1038,2.33964265986625,1.62966242003022,-0.70998023983603,-0.269989118918112,0,0,0.542495202495087,0.492261404196236,2.48734731758779,2.10642880181462
"070306A",0.6129,0.3972,-0.2157,3.10109660874812,1.49574379483157,-1.60535281391655,-0.643236223702557,0,0,0.644842301008095,0.589951937192165,3.41410135454299,2.89002092254296
"070521A",0.5308,0.4895,-0.0413000000000001,2.39468905380079,2.08673964568386,-0.307949408116926,-0.0997652680385685,0,0,0.554017188294634,0.505929517668444,2.58110609948775,2.20574901625786
"070529A",0.737,0.544,-0.193,4.45757861091271,2.49945167028357,-1.95812694062914,-0.559552502826953,0,0,0.774958645212155,0.699486541684048,4.95605425542022,4.00595039389984
"070612A",0.4702,0.223,-0.2472,1.95256862172897,0.671090614310708,-1.28147800741826,-0.766851298453881,0,0,0.495426580923664,0.453623935474909,2.12915143231107,1.84199909617284
"070721B",0.5887,0.6652,0.0765,2.87882333802373,3.6259400476616,0.747116709637868,0.161505921378193,0,0,0.62948001733186,0.549626217415811,3.26069078929174,2.54508144715556
"070802A",0.6043,0.5378,-0.0665,3.02068453991913,2.44984831362751,-0.570836226291621,-0.165467050837197,0,0,0.635334180429823,0.582148798879209,3.31851249425518,2.82075155801752
"070810A",0.5669,0.5011,-0.0658,2.68892648118996,2.17029736695272,-0.518629114237238,-0.163590052984759,0,0,0.584864444777191,0.542239299271159,2.84471759130977,2.48529304200977
"071010B",0.36,0.2894,-0.0706,1.29086765276777,0.9471526498539,-0.343715002913873,-0.176521857667227,0,0,0.379443488785157,0.335690569424801,1.39576098853655,1.16616018690251
"071020A",0.2879,0.4976,0.2097,0.94043902355183,2.14485046547696,1.20441144192513,0.382978922256154,0,0,0.302288174954659,0.251964648949556,1.00580253085385,0.786342162822335
"071112C",0.4173,0.2601,-0.1572,1.61396639490488,0.820119908460103,-0.793846486444772,-0.436150652907477,0,0,0.451638803326583,0.344469218214227,1.82903814546915,1.21039158331751
"071117A",0.4584,0.3675,-0.0909,1.87342588667487,1.33077311528264,-0.542652771392233,-0.232820933034672,0,0,0.499968339439003,0.409707850923341,2.16204713493816,1.5686672638377
"080319B",0.4229,0.2871,-0.1358,1.64789036911791,0.9368678929189,-0.711022476199006,-0.367099108203751,0,0,0.483238773684371,0.367630291968814,2.04255735398643,1.33147247156894
"080319C",0.5176,0.4698,-0.0478,2.29306270175208,1.94985045748424,-0.343212244267845,-0.116349031659236,0,0,0.559272423840969,0.489501645236689,2.62470297152157,2.08675133919401
"080413B",0.3656,0.3222,-0.0434,1.32059846159892,1.09990670376243,-0.220691757836495,-0.105095982331539,0,0,0.418971889638357,0.341956279251549,1.62404869240073,1.19763862373386
"080516A",0.5138,0.6232,0.1094,2.26437467542946,3.19952334664066,0.935148671211198,0.222679717201538,0,0,0.536670074606133,0.486197228174237,2.44088433902157,2.06335429318979
"080603A",0.4691,0.4298,-0.0393,1.94509968999602,1.69029559170462,-0.254804098291402,-0.0947123056206451,0,0,0.486642996993693,0.452022394332022,2.06650019749402,1.83153799988163
"080603B",0.4362,0.5669,0.1307,1.73023481294007,2.68892648118996,0.95869166824989,0.259883647217778,0,0,0.444472827257147,0.419048601565902,1.78274125909551,1.62451223412327
"080607A",0.5252,0.606,0.0808,2.35119731967708,3.03645392967605,0.685256609998971,0.169766984075046,0,0,0.575109648365066,0.497359204922359,2.75932305700508,2.14310728279965
"080810A",0.4878,0.6385,0.1507,2.07468054593964,3.35010760630697,1.27542706036733,0.293194370299752,0,0,0.500562980406975,0.479280987545208,2.16637961137415,2.01495606302035
"080905B",0.6254,0.5281,-0.0972999999999999,3.22085079179884,2.37364980873767,-0.847200983061172,-0.251122976921594,0,0,0.693115305758808,0.592854564385626,3.93304759635234,2.91610713382532
"080928A",0.541,0.4301,-0.1109,2.47536161443206,1.69215462407529,-0.78320699035677,-0.290921993615352,0,0,0.56172086808258,0.513337899370355,2.64519585770931,2.2609031430595
"081007A",0.3974,0.1845,-0.2129,1.49689339200737,0.529325746418779,-0.967567645588589,-0.632675967075256,0,0,0.423848852384103,0.382256269651713,1.65368183969654,1.41132789178421
"081008A",0.4887,0.4725,-0.0162,2.08105889489974,1.96824674346324,-0.112812151436497,-0.038006325345066,0,0,0.509009780401979,0.471016683740774,2.22856682888983,1.95812610295078
"081028A",0.4995,0.6062,0.1067,2.15863904842347,3.03831321348852,0.879674165065044,0.217832079524395,0,0,0.526169978668542,0.463128657315184,2.35869044423309,1.9048830824021
"081029A",0.533,0.6856,0.1526,2.41192911621929,3.84841738708446,1.43648827086518,0.296279828277943,0,0,0.588974079727918,0.501210373520676,2.88127200458313,2.17110318274142
"081203A",0.4975,0.4914,-0.00609999999999999,2.1441264202588,2.10027344199819,-0.0438529782606047,-0.0141448743412583,0,0,0.525049799974074,0.466620828270478,2.35003851404188,1.92833547185257
"081221A",0.3707,0.5132,0.1425,1.34801031245518,2.25986788904468,0.911857576589502,0.279722248761659,0,0,0.395948262243054,0.352026008422406,1.48856083690725,1.2491892981153
"081230A",0.4898,0.4914,0.00159999999999999,2.08887262651275,2.10027344199819,0.011400815485437,0.00367735804558225,0,0,0.513511502612417,0.462101660306504,2.26220690477503,1.89802188163755
"090102A",0.4612,0.406,-0.0552,1.89201139621549,1.54683025258504,-0.345181143630447,-0.135533627841937,0,0,0.513165902945336,0.415710619889227,2.25961196239811,1.60441759011366
"090418A",0.5722,0.4163,-0.1559,2.73422085430343,1.6079544390266,-1.12626641527682,-0.431858163786478,0,0,0.598633156821925,0.534566129411877,2.96856188337191,2.42425524311467
"090423A",0.7076,0.9666,0.259,4.10035023959447,8.25976574561247,4.159415506018,0.449192303594597,0,0,0.75832772923365,0.675701683943395,4.73228440007184,3.73916341194236
"090424A",0.3489,0.1886,-0.1603,1.23305798302641,0.54383186282482,-0.689226120201588,-0.446438590106878,0,0,0.396853735261922,0.31939164748419,1.49375472131429,1.08637152829045
"090516A",0.4607,0.7083,0.2476,1.88868376095903,4.10857766163356,2.21989390067453,0.434542459312379,0,0,0.485487742447513,0.420920960853475,2.05835392613493,1.63585163203818
"090519A",0.7554,0.6857,-0.0697,4.69377105109423,3.84953390498341,-0.844237146110818,-0.174086244709677,0,0,0.825672343926039,0.703493227559835,5.69379401561827,4.05234766187271
