"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4242,0.4829,0.0587,1.65582833454668,2.04018491662944,0.384356582082766,0.126425396027848,0,0,0.453732277818659,0.398260739120441,1.84270817092663,1.50184695478597
"011211A",0.4656,0.4969,0.0313,1.92146037387733,2.13978564827282,0.218325274395486,0.06953508896876,0,0,0.486018059285043,0.445130905861022,2.06209076208757,1.78696109310141
"050315A",0.4156,0.4697,0.0541,1.60375429893874,1.94917130750827,0.345417008569538,0.117123412834698,0,0,0.430323274072335,0.397205508928405,1.693539036933,1.49577545298441
"050318A",0.4417,0.3874,-0.0543,1.76503096983568,1.44005715942821,-0.324973810407472,-0.133182867930694,0,0,0.468444172321108,0.418509306808631,1.94065565410199,1.62125521079548
"050319A",0.4288,0.6274,0.1986,1.68410808354523,3.24033335385019,1.55622527030496,0.367005407462109,0,0,0.442648582841534,0.407747520280365,1.77107693069218,1.55709886983478
"050401A",0.425,0.5911,0.1661,1.66072505979881,2.90031784475066,1.23959278495185,0.317818402061818,0,0,0.445875466662473,0.40992150584675,1.79174319797923,1.56993125278541
"050416A",0.3011,0.2182,-0.0829,1.00032240786504,0.65272272994873,-0.347599677916309,-0.210319415118767,0,0,0.345530762688819,0.282227360216298,1.21580104415988,0.915258331459649
"050502A",0.4912,0.6803,0.1891,2.09884604201206,3.78960832497788,1.69076228296582,0.353006377191319,0,0,0.513114270646981,0.470292532088604,2.25922445746702,1.95319777190231
"050502B",0.5056,0.6806,0.175,2.20331760085281,3.79291801219085,1.58960041133804,0.331656082431385,0,0,0.519761216830573,0.480690207731694,2.30949109485466,2.02475503086445
"050505A",0.5954,0.7218,0.1264,2.93912715446866,4.26987118996723,1.33074403549857,0.252519271824336,0,0,0.603050843394926,0.586344300228847,3.00913650339488,2.85784078588395
"050525A",0.3098,0.2068,-0.103,1.04079790606699,0.609904076215706,-0.430893829851285,-0.267651865857846,0,0,0.321360863915558,0.295564854385966,1.09585321862288,0.974989788030168
"050603A",0.3427,0.5821,0.2394,1.20140526082814,2.82032226884411,1.61891700801596,0.423764513590575,0,0,0.368778999796133,0.327094282351715,1.3376473731725,1.12370545383962
"050730A",0.498,0.6961,0.1981,2.14774831410132,3.96706679223423,1.81931847813291,0.366276225835604,0,0,0.508040047886511,0.485805621422292,2.22136583154206,2.06059328751438
"050801A",0.4304,0.4082,-0.0222,1.69401494106367,1.559764430599,-0.13425051046467,-0.0524464317340541,0,0,0.450059092247509,0.41324152068418,1.81876644042619,1.58965267741164
"050802A",0.4609,0.433,-0.0279,1.89001435534947,1.71019163189084,-0.179822723458627,-0.0663505566701086,0,0,0.469770324814968,0.44852531408397,1.94964890215448,1.80882908855568
"050820A",0.4549,0.5581,0.1032,1.85036187186089,2.61493089917358,0.764569027312686,0.211503082254623,0,0,0.470359801348664,0.440305633383412,1.95365523757018,1.75616766536368
"050824A",0.233,0.2619,0.0289,0.710015315090288,0.82767932897041,0.117664013880122,0.0643789159372974,0,0,0.256867287128233,0.195569100170396,0.806621969267016,0.568805488931143
"050904A",0.6792,0.863,0.1838,3.77749234659094,6.29457510254569,2.51708275595474,0.345062285406634,0,0,0.697717737513046,0.652753112074875,3.98560351116405,3.49524236500178
"051016B",0.3863,0.287,-0.0993,1.43388469650418,0.936421963946607,-0.497462732557574,-0.256897898195546,0,0,0.405452571600974,0.360604396371123,1.54362199428224,1.29405801334417
"051028A",0.459,0.6628,0.2038,1.87739841473567,3.60044666393478,1.72304824919911,0.374539338257512,0,0,0.474292376761008,0.441469254177495,1.98052230844872,1.76356226620635
"051111A",0.5205,0.4065,-0.114,2.31512569811843,1.54976408779928,-0.765361610319148,-0.30016957803329,0,0,0.534821542254295,0.502330644713671,2.42626967348793,2.17929366524185
"060115A",0.5741,0.6561,0.082,2.75059352911114,3.5300187543224,0.77942522521126,0.172057836287666,0,0,0.586963823066971,0.549218034559218,2.86334793845019,2.54175107634585
"060124A",0.4419,0.518,0.0761,1.7663046068975,2.29609712177458,0.529792514877073,0.160733284033766,0,0,0.475620195479829,0.404313054038538,1.98964894867197,1.53695669508587
"060206A",0.5914,0.7031,0.1117,2.90301301964209,4.04777513500947,1.14476211536738,0.226785481672458,0,0,0.625470546169718,0.571877799434137,3.22153647640751,2.73145148485237
"060210A",0.5546,0.6911,0.1365,2.58591507517175,3.91020924883086,1.32429417365911,0.269702187126635,0,0,0.576034749196143,0.539167458026957,2.76733941383707,2.46072793050305
"060223A",0.6638,0.7332,0.0694,3.61105178875983,4.41003406863468,0.798982279874848,0.147685258491632,0,0,0.681746270971059,0.631506102104027,3.80558508434624,3.2806143406983
"060306A",0.3901,0.4081,0.018,1.4552741983788,1.55917509090989,0.103900892531096,0.0405993684840668,0,0,0.400878292647493,0.382111360558756,1.51697146896454,1.41052344903073
"060418A",0.4177,0.396,-0.0217,1.61637505598582,1.48885731828239,-0.127517737703429,-0.051235455229483,0,0,0.448691341104074,0.400119847293078,1.80990308487273,1.51257970380148
"060604A",0.5589,0.4963,-0.0625999999999999,2.62159598486019,2.13545086914429,-0.486145115715902,-0.15504791368285,0,0,0.573578065963803,0.537340717539324,2.74608878250591,2.44620190002123
"060605A",0.6245,0.6794,0.0549,3.21211286754067,3.7796929697961,0.567580102255434,0.118748234633918,0,0,0.643828961790241,0.599145662899309,3.40381393931513,2.97324790343252
"060607A",0.5519,0.6096,0.0577000000000001,2.56369066968236,3.07005239440234,0.506361724719974,0.124411598586885,0,0,0.571656154937999,0.539596072369592,2.72954760463182,2.46414508151077
"060707A",0.554,0.6459,0.0919,2.58096437102636,3.42486474355665,0.843900372530289,0.190717778155626,0,0,0.577982716597584,0.528010318048922,2.78427524324647,2.37295322088553
"060814A",0.4669,0.4658,-0.00109999999999999,1.93021845983128,1.92280606593193,-0.00741239389934778,-0.00253605396052316,0,0,0.47602815009243,0.450287927980819,1.99245859545306,1.82025207858401
"060906A",0.5755,0.6708,0.0952999999999999,2.76270352267765,3.68597535308626,0.923271830408606,0.197028742330137,0,0,0.605317969486628,0.559106685689847,3.03011992290832,2.62331995382918
"060912A",0.3676,0.2871,-0.0805,1.33130985741803,0.9368678929189,-0.394441964499128,-0.203649389791214,0,0,0.379323834272542,0.335954124087412,1.39510101209435,1.16747513540841
"060927A",0.6539,0.8109,0.157,3.50712912109109,5.46993622808681,1.96280710699572,0.303373485889231,0,0,0.673793540246964,0.642629377878469,3.71838680005603,3.39166675477968
"061007A",0.4076,0.3541,-0.0535,1.55623042711255,1.25995608443438,-0.29627434267817,-0.131097389333706,0,0,0.430244190742579,0.374496251885511,1.69304859864421,1.3686246896298
"061121A",0.3831,0.3644,-0.0187,1.4160170788935,1.31419526151125,-0.101821817382249,-0.0439988012574859,0,0,0.389647538063859,0.376478169607642,1.45271754691382,1.37945869128014
"061126A",0.3943,0.3342,-0.0601,1.47913399137587,1.15873831601281,-0.320395675363053,-0.148418024077519,0,0,0.411574406127697,0.369574206117036,1.57973090268146,1.34193159723224
"061222A",0.5245,0.4897,-0.0347999999999999,2.34580017853301,2.08816146918451,-0.257638709348496,-0.0834278621501391,0,0,0.544206268449241,0.50304754167699,2.5011141319137,2.18454611094949
"070110A",0.5098,0.5253,0.0155,2.23444670851447,2.35196905022163,0.11752234170716,0.0350606881944179,0,0,0.522907012398353,0.482783321325651,2.33355029854266,2.03936824242735
"070125A",0.4154,0.4065,-0.00890000000000002,1.60255550182625,1.54976408779928,-0.0527914140269652,-0.0207044307665851,0,0,0.44040433724286,0.392019237116895,1.75679414189941,1.46614857310921
"070223A",0.5093,0.4199,-0.0894,2.23072505689288,1.62966242003022,-0.601062636862656,-0.228570265249388,0,0,0.532483142652309,0.493568645767736,2.40787096729754,2.11579334782974
"070306A",0.5965,0.3972,-0.1993,2.94911699348975,1.49574379483157,-1.45337319865818,-0.582340704069051,0,0,0.629070947758625,0.581138350139858,3.25667945953699,2.8118723619189
"070411A",0.6611,0.5966,-0.0645,3.58247389928456,2.95002641597884,-0.632447483305726,-0.160112216148054,0,0,0.698856520410068,0.648051922837064,3.99869363870677,3.44684429316532
"070508A",0.4305,0.2601,-0.1704,1.69463533235047,0.820119908460103,-0.87451542389037,-0.480471324897625,0,0,0.44205487492082,0.404254600024388,1.76729128212801,1.53661525551146
"070521A",0.5579,0.4895,-0.0684,2.61326654523452,2.08673964568386,-0.526526899550658,-0.170577035963138,0,0,0.570374761501865,0.544852640013892,2.71855972737253,2.5063288090632
"070529A",0.7339,0.544,-0.1899,4.41876104451626,2.49945167028357,-1.91930937423268,-0.548460031761821,0,0,0.762277261314554,0.711531645563964,4.7846523202948,4.14673308143473
"070721B",0.6516,0.6652,0.0136000000000001,3.48332270432733,3.6259400476616,0.142617343334272,0.030829916052709,0,0,0.675527563351117,0.63221745773851,3.73726373193994,3.28763154777975
"070802A",0.598,0.5378,-0.0602,2.96278034255439,2.44984831362751,-0.512932028926888,-0.148682487546109,0,0,0.611548122945698,0.578304170921131,3.08835051459399,2.78707730959028
"071003A",0.4154,0.4157,0.000300000000000022,1.60255550182625,1.60435390455169,0.00179840272544229,0.000690536997410062,0,0,0.431995243475951,0.389626644357086,1.70392874970412,1.4525995506448
"071020A",0.3098,0.4976,0.1878,1.04079790606699,2.14485046547696,1.10405255940997,0.351066790465831,0,0,0.322046875271531,0.291447288890165,1.09916644346023,0.956353307371572
"071117A",0.436,0.3675,-0.0685,1.72897778280804,1.33077311528264,-0.398204667525403,-0.170846602320241,0,0,0.450684995500997,0.42530211082486,1.82283176269732,1.66257659954597
"080319B",0.3879,0.2871,-0.1008,1.44286799678646,0.9368678929189,-0.506000103867559,-0.261246575317538,0,0,0.42227166949349,0.366463335904161,1.64406221241257,1.32521617772069
"080319C",0.5363,0.4698,-0.0665,2.43795351309491,1.94985045748424,-0.488103055610674,-0.165467050837197,0,0,0.570231935108293,0.518342201265987,2.71733700598407,2.29869529685146
"080330A",0.4321,0.3997,-0.0324,1.70458104521703,1.51015188099533,-0.194429164221701,-0.0774571314563666,0,0,0.462710464993564,0.402701602111307,1.90208724879388,1.52756074675049
"080411A",0.2419,0.3075,0.0656,0.745420208791374,1.03001851985968,0.284598311068309,0.140194933338825,0,0,0.252757532075936,0.231161309679102,0.789606432381992,0.702790857303481
