"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3878,0.4829,0.0951,1.44230557039732,2.04018491662944,0.597879346232122,0.196658875242027,0,0,0.398254082254079,0.359017152967049,1.50180860676661,1.28568907754843
"011211A",0.4152,0.4969,0.0817,1.60135725665313,2.13978564827282,0.538428391619687,0.171485716522042,0,0,0.447700209676218,0.394064981931164,1.80349773575183,1.47779277317522
"030329A",0.3183,0.0682,-0.2501,1.08113378698017,0.170038089423047,-0.911095697557119,-0.778688921149896,0,0,0.344808762118342,0.27376348404283,1.21212040670022,0.878293623043136
"050315A",0.4131,0.4697,0.0566,1.58880894181816,1.94917130750827,0.360362365690118,0.122191059153693,0,0,0.442863889489079,0.354922538466835,1.77245106558652,1.26424041764277
"050318A",0.4058,0.3874,-0.0184,1.54565766392948,1.44005715942821,-0.105600504501274,-0.0432778814599656,0,0,0.427139415557397,0.378073832227042,1.6738646247242,1.38821725724325
"050319A",0.4056,0.6274,0.2218,1.54448561514664,3.24033335385019,1.69584773870355,0.399932646135883,0,0,0.416676457187457,0.392608803647328,1.61021605844384,1.46949871007682
"050401A",0.4488,0.5911,0.1423,1.8106062003344,2.90031784475066,1.08971164441626,0.279390472210585,0,0,0.48503511345542,0.435002612040367,2.05516811882425,1.722717683665
"050416A",0.3161,0.2182,-0.0979,1.07061807133466,0.65272272994873,-0.417895341385929,-0.252852661740117,0,0,0.405182749800438,0.260808020537214,1.54204216415178,0.823089629133707
"050502A",0.4694,0.6803,0.2109,1.94713479560874,3.78960832497788,1.84247352936914,0.384681461271189,0,0,0.478706899976387,0.455180275516181,2.01097326936222,1.8522019700379
"050502B",0.4785,0.6806,0.2021,2.0095391688732,3.79291801219085,1.78337884331765,0.372086240319906,0,0,0.489718002457932,0.468600310839669,2.08828948289762,1.94171307523835
"050505A",0.5975,0.7218,0.1243,2.95822064835723,4.26987118996723,1.31165054161001,0.248896129398214,0,0,0.607592301655773,0.590869472309954,3.0512803882846,2.89824806788471
"050525A",0.281,0.2068,-0.0742,0.909853258566238,0.609904076215706,-0.299949182350532,-0.186314940611619,0,0,0.301062902791937,0.268681709465861,1.00015154866603,0.856443385672782
"050603A",0.3307,0.5821,0.2514,1.14141085587858,2.82032226884411,1.67891141296553,0.439468530353462,0,0,0.340667927705692,0.315057802932066,1.19112890335183,1.06565506829275
"050730A",0.4763,0.6961,0.2198,1.99433233386727,3.96706679223423,1.97273445836696,0.397162861077535,0,0,0.507846669390663,0.460729408019817,2.21993177185079,1.88887937326607
"050801A",0.4185,0.4082,-0.0103,1.62119903863524,1.559764430599,-0.0614346080362447,-0.0240001022367002,0,0,0.431598127276334,0.402914496134852,1.70145742396245,1.52880007746232
"050802A",0.4349,0.433,-0.00190000000000001,1.72207445510533,1.71019163189084,-0.0118828232144894,-0.00438449557391594,0,0,0.447253878017792,0.412761649948904,1.80061801454777,1.58679283856191
"050820A",0.4692,0.5581,0.0889,1.94577790233946,2.61493089917358,0.669152996834117,0.185108101786149,0,0,0.482719075064433,0.459326257243738,2.03891865439055,1.87956082946261
"050824A",0.2541,0.2619,0.00780000000000003,0.795146927103157,0.82767932897041,0.0325324018672533,0.0177998412257471,0,0,0.324177940825029,0.201232178356533,1.10949228227961,0.589396229296861
"050904A",0.6973,0.863,0.1657,3.98081028356724,6.29457510254569,2.31376481897844,0.317189800153127,0,0,0.736318642917247,0.671927538694657,4.44902302356611,3.69815714102089
"051016B",0.4172,0.287,-0.1302,1.61336457618902,0.936421963946607,-0.676942612242418,-0.349584246019781,0,0,0.438880496092159,0.39901578305345,1.74713812481498,1.50620033126746
