"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4277,0.4829,0.0552,1.67731825996846,2.04018491662944,0.362866656660987,0.119356771581936,0,0,0.453240245644656,0.416210234391183,1.83948935993354,1.60741544892767
"011211A",0.5009,0.4969,-0.004,2.1688377271815,2.13978564827282,-0.029052078908677,-0.00925288607668438,0,0,0.520312249804753,0.480854110595845,2.31369284321483,2.02589678973191
"050315A",0.4247,0.4697,0.045,1.65888773070508,1.94917130750827,0.290283576803192,0.098428862394043,0,0,0.482779018836384,0.390906665507663,2.03933813201837,1.45983890185713
"050318A",0.5076,0.3874,-0.1202,2.21810344309344,1.44005715942821,-0.778046283665234,-0.318863958026114,0,0,0.541851190033927,0.48487391880525,2.48217978534043,2.05403435960549
"050319A",0.4539,0.6274,0.1735,1.84380622147298,3.24033335385019,1.3965271323772,0.329343713297722,0,0,0.488430772731378,0.430163142931748,2.0791494807912,1.69254607020458
"050401A",0.4006,0.5911,0.1905,1.51535912916327,2.90031784475066,1.38495871558739,0.355088680131894,0,0,0.426397057606107,0.378314570861013,1.66929797876942,1.38954146365893
"050416A",0.3195,0.2182,-0.1013,1.08689212391434,0.65272272994873,-0.434169393965605,-0.262699475294972,0,0,0.38152999442058,0.274751002348903,1.40729877269024,0.882569430895828
"050502A",0.5095,0.6803,0.1708,2.23221320339609,3.78960832497788,1.5573951215818,0.325161269129243,0,0,0.534581187411073,0.485778772349376,2.42437397206185,2.06040408052298
"050502B",0.5222,0.6806,0.1584,2.32812783959653,3.79291801219085,1.46479017259433,0.305615528759018,0,0,0.546383386086041,0.500825410562948,2.51870927758518,2.168293530707
"050505A",0.5927,0.7218,0.1291,2.91471364848205,4.26987118996723,1.35515754148518,0.257151928886825,0,0,0.604047674970418,0.584341130706816,3.01834920127908,2.84008759212538
"050525A",0.3301,0.2068,-0.1233,1.13845443014654,0.609904076215706,-0.52855035393083,-0.328311706106899,0,0,0.359247355994076,0.310978473574364,1.28690095576268,1.04634320429028
"050603A",0.3536,0.5821,0.2285,1.25735571102145,2.82032226884411,1.56296655782266,0.409119034425218,0,0,0.376601600611465,0.333907559061392,1.38013505427153,1.15728517538384
"050730A",0.4204,0.6961,0.2757,1.63269167421849,3.96706679223423,2.33437511801574,0.469970551164204,0,0,0.438297902199473,0.402201984325252,1.74345538660327,1.52465468126541
"050801A",0.4242,0.4082,-0.016,1.65582833454668,1.559764430599,-0.0960639039476776,-0.0375284158180127,0,0,0.458704912687461,0.382767276873236,1.87544399117004,1.41416682074115
"050802A",0.4443,0.433,-0.0113,1.78163408901101,1.71019163189084,-0.0714424571201651,-0.0263606662641494,0,0,0.460972573557261,0.429212215011636,1.89049733672822,1.68665694139779
"050820A",0.4107,0.5581,0.1474,1.57454211192645,2.61493089917358,1.04038878724712,0.287803229512622,0,0,0.439705413776144,0.384429957780301,1.75236111635893,1.42342708714741
"050824A",0.2993,0.2619,-0.0374,0.992048922468802,0.82767932897041,-0.164369593498392,-0.0899334970270671,0,0,0.341057777074423,0.241992630442688,1.19309667813572,0.745792528258466
"050904A",0.6632,0.863,0.1998,3.60468578378574,6.29457510254569,2.68988931875995,0.368752022008961,0,0,0.689229732679309,0.633955171898001,3.88910914579238,3.30482173604794
"051016B",0.3595,0.287,-0.0725,1.28823171157501,0.936421963946607,-0.351809747628403,-0.181680312544784,0,0,0.381910727122841,0.334917037862227,1.40941010330268,1.1623054247279
"051028A",0.495,0.6628,0.1678,2.12607936712396,3.60044666393478,1.47436729681082,0.320483510518475,0,0,0.512927494005954,0.477666919337366,2.25782306707639,2.00377168659479
"051111A",0.4958,0.4065,-0.0893,2.13184312511164,1.54976408779928,-0.582079037312361,-0.228287409057815,0,0,0.519264559039519,0.471583650502794,2.30570853461709,1.96199042654072
"060115A",0.5751,0.6561,0.0810000000000001,2.75923954012917,3.5300187543224,0.77077921419323,0.170149232485578,0,0,0.601265049217982,0.551269047183938,2.99268500939277,2.5585170186295
"060124A",0.3923,0.518,0.1257,1.46774340535585,2.29609712177458,0.828353716418726,0.251313503763733,0,0,0.428897555993341,0.358826430275957,1.6847110850876,1.28468552562004
"060206A",0.5308,0.7031,0.1723,2.39468905380079,4.04777513500947,1.65308608120869,0.32748805899524,0,0,0.568768936009042,0.514093087262132,2.70483555598128,2.26657840949228
"060210A",0.5773,0.6911,0.1138,2.77833098658886,3.91020924883086,1.131878262242,0.230515280486571,0,0,0.590885968388839,0.560911307604876,2.89839614029093,2.6384072433656
"060223A",0.6806,0.7332,0.0526,3.79291801219085,4.41003406863468,0.617116056443822,0.114068793026947,0,0,0.736631502293158,0.648027222389826,4.45294983408185,3.44659138661473
"060306A",0.3997,0.4081,0.00840000000000002,1.51015188099533,1.55917509090989,0.0490232099145631,0.0191558639690938,0,0,0.417014959834433,0.353863124469827,1.61225133522109,1.25872378157651
"060418A",0.4317,0.396,-0.0357,1.70209118081897,1.48885731828239,-0.213233862536579,-0.0856754065290234,0,0,0.456962062908806,0.413486683131103,1.86392778520551,1.59111496819835
"060510B",0.6046,0.7709,0.1663,3.02346288990231,4.90065196995666,1.87718908005435,0.3181324859714,0,0,0.628701606400399,0.56623666292814,3.25306094834017,2.68329635237119
"060512A",0.4351,0.1584,-0.2767,1.72332830540534,0.44012437117557,-1.28320393422977,-0.891036885364488,0,0,0.459589177270812,0.415807796176108,1.88130463109918,1.60500041112239
"060526A",0.5948,0.6254,0.0306,2.93368880673202,3.22085079179884,0.287161985066825,0.0680341474341579,0,0,0.640970239806482,0.568383448259851,3.37492124817849,2.70154853500313
"060604A",0.5473,0.4963,-0.051,2.52614364306859,2.13545086914429,-0.390692773924302,-0.124604973966927,0,0,0.573933567415675,0.528396138955826,2.74915648257593,2.37595103492396
"060605A",0.5937,0.6794,0.0857,2.92373799544861,3.7796929697961,0.855954974347493,0.179081581130097,0,0,0.617934442262463,0.565836654652614,3.14891409107476,2.67990540273802
"060707A",0.5439,0.6459,0.102,2.49864598452017,3.42486474355665,0.92621875903648,0.209321372000175,0,0,0.564595730969029,0.510509486463826,2.6694056976098,2.23973499037107
"060708A",0.5162,0.4654,-0.0508,2.28246421375217,1.92011530139416,-0.362348912358016,-0.12408719346973,0,0,0.537281819417871,0.494094872069887,2.44573456492114,2.11957098310915
"060714A",0.5632,0.5695,0.00629999999999997,2.65763193009452,2.71107729492926,0.053445364834737,0.0144015768434044,0,0,0.578643577225292,0.548350642640753,2.79003811236102,2.53468439560812
"060729A",0.3574,0.1875,-0.1699,1.27719383822686,0.539926526059492,-0.737267312167372,-0.478767850083056,0,0,0.384083770145473,0.330314037260637,1.42149607895726,1.13950860364917
"060814A",0.477,0.4658,-0.0112,1.99916251898765,1.92280606593193,-0.076356453055721,-0.026124365193342,0,0,0.50802086397344,0.455870983270489,2.2212235386054,1.85674175932365
"060906A",0.6773,0.6708,-0.00650000000000006,3.75663689318604,3.68597535308626,-0.0706615400997848,-0.0150793665726914,0,0,0.702959090710839,0.65213008682903,4.04613762161916,3.48879825462389
"060908A",0.5273,0.4599,-0.0674,2.36744103637712,1.88336750678026,-0.484073529596861,-0.167884783489638,0,0,0.552276831940304,0.50269899022345,2.56678418182327,2.18199131708506
"060912A",0.3587,0.2871,-0.0716,1.28402051284046,0.9368678929189,-0.347152619921563,-0.179234020653002,0,0,0.4013855981146,0.294809945906638,1.51991329645097,0.971559761753977
"060926A",0.5639,0.6232,0.0593,2.66353208991471,3.19952334664066,0.535991256725943,0.12763145063944,0,0,0.617884793826929,0.496284185741296,3.14843981537331,2.13533669792985
"060927A",0.6713,0.8109,0.1396,3.69137338834597,5.46993622808681,1.77856283974084,0.274896502382802,0,0,0.702009944894912,0.647077706137063,4.03512138563626,3.43688023706171
"061007A",0.3804,0.3541,-0.0263,1.40104334356932,1.25995608443438,-0.141087259134947,-0.0624292038711266,0,0,0.399727975570062,0.360770673278899,1.51031358047467,1.29493649999315
