"","log10Ta","log10NH","log10PeakFlux","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000926A",4.20249145998922,21.1545856750033,0.49787317309306,1.68528474322361,-10.8764158440917,1.353723938,1.76592813314452,0.932600507332783,1.99215342891529,-5.73555346213348,17.6609344712824,447.516495081055,0.247877696485752,2.84018466574228,118.296421613608,1.83256850031423,3.11850217143128,0.869743706277364,3.96867528433893,32.8965735169913,0.214744065864423,0.792929150721843,0.6031485270165,0.284563974379967,0.200435155457821,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",2.04,0.482873583608754
"011211A",4.22876541694621,20.9997109050585,0.0099540052549258,1.73074257586597,-11.1388602982376,2.10720997,1.68347101135545,0.873813059828654,1.91703135792151,-5.54501519311092,17.8824569515603,440.987858096031,9.90822206150904e-05,2.99546986391516,124.074208743654,4.4403338576674,2.83407464607415,0.763549263527116,3.67500922725438,30.7471934918309,0.0664080102705681,0.812619359930111,0.609835861813977,0.290048572817103,0.20160995078453,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",2.14,0.496929648073215
"020124A",3.95291270898609,21.1181965423643,0.286068555062632,1.66001947418774,-10.8368041279245,1.77815125,1.68729431801175,0.95155776320826,2.02236215224452,-5.79045330113306,15.6255188848637,445.978225201926,0.0818352181956219,2.75566465468253,117.436323707001,3.16182186787656,2.84696211559474,0.905462176721908,4.08994867483107,33.5293494326028,0.214744065864423,0.799240561882573,0.598739367871125,0.277622673524097,0.2080950703471,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",3.198,0.623042434246382
"021004A",4.31211845561524,21.0810752717726,0.355429318153098,1.67186887883644,-10.8842545649143,2.021602716,1.3803402450119,0.896212287006914,1.96438080403683,-5.46547580308238,18.5943655752576,444.411734614141,0.126330000202776,2.79514554802182,118.466997433858,4.08687754133858,1.90533919199951,0.803196463382163,3.85879194326838,29.871425754079,0.0335971369822932,0.784743467398222,0.615500816410933,0.264987193584953,0.197858012565219,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",2.34,0.523746466811564
"030226A",4.15950626316402,21.0511868725117,0.320464469437468,1.69364237204975,-11.0254458680934,1.491361694,1.76326055637941,0.885974433388576,1.94602716780256,-5.88907181132459,17.3014923533007,443.152468741411,0.102697476171838,2.86842448440231,121.560456590258,2.22415970233055,3.10908778968343,0.784950696618208,3.78702173782565,34.6811667989379,0.0335971369822932,0.796580267258746,0.618214376995731,0.292009913074863,0.204638295830138,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1.99,0.47567118832443
"030329A",4.34243393790999,21.2067839200846,0.780376798107853,1.63361744707194,-10.3849745674604,1.413299764,1.4385715768263,0.869404511030352,1.94924493372129,-5.15361554086595,18.8567325051125,449.727684233159,0.608987947025065,2.66870596337784,107.8476967668,1.99741622292246,2.06948818165249,0.755864203799926,3.79955581163811,26.559753143055,0.199990220376636,0.79170386791082,0.60916415499475,0.277594266411928,0.205072432225179,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",0.17,0.0681858617461616
"050315A",4.86356,21.91683806,0.285557309,2.11,-11.3757179,1.980457892,1.10818,0.856,1.99544,-5.492144128,23.6542158736,480.347790548265,0.0815429767233215,4.4521,129.40695774038,3.92221346198508,1.2280629124,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",1.949,0.469674772551798
"050318A",4.132084541,20.92661714,0.499687083,1.9,-11.15490196,1.505149978,1.874408221,0.95,1.98053,-5.966576245,17.0741226539712,437.923304924142,0.249687180917049,3.61,124.431837737212,2.2654764562734,3.51340617895238,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",3.73997,20.93735437,0.181843588,2.02,-10.70553377,2.183383742,0.863159,0.971,2.01045,-5.882728704,13.9873756009,438.372808014958,0.0330670904967137,4.0804,114.60845330061,4.76716456482992,0.745043459281,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",3.24,0.627365856592733
"050401A",3.12435,22.12570242,1.029383778,1.4,-9.653647026,1.506369717,0.984108,0.9995,1.78711,-5.085128182,9.7615629225,489.546707578394,1.05963096240955,1.96,93.1929009025986,2.26914972429466,0.968468555664,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
