"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4097,0.4829,0.0732,1.56862082938287,2.04018491662944,0.471564087246567,0.155110330515479,0,0,0.436667389654392,0.390767271648792,1.73317468546574,1.45904950335123
"011211A",0.4989,0.4969,-0.002,2.15427824034436,2.13978564827282,-0.0144925920715422,-0.00461579027839512,0,0,0.512412464130013,0.475116158250793,2.25396190425642,1.98618120885348
"050315A",0.3978,0.4697,0.0719,1.49919417519583,1.94917130750827,0.449977132312447,0.152577482076695,0,0,0.424084898961955,0.35991789882338,1.65512455380302,1.29043461675036
"050318A",0.4771,0.3874,-0.0897,1.99985318119079,1.44005715942821,-0.559796021762585,-0.229419224709377,0,0,0.497668912052742,0.43750626723143,2.1453495169387,1.73845915222774
"050319A",0.46,0.6274,0.1674,1.88403150312661,3.24033335385019,1.35630185072358,0.319857364396143,0,0,0.488669043116109,0.435946552866921,2.08083928220111,1.7286419575324
"050401A",0.4077,0.5911,0.1834,1.55681908868969,2.90031784475066,1.34349875606097,0.344458787600901,0,0,0.428922048466736,0.392951036454761,1.6848624963345,1.47144549179814
"050416A",0.2723,0.2182,-0.0541,0.871974808229102,0.65272272994873,-0.219252078280372,-0.132661138076787,0,0,0.351093398676903,0.201866307555388,1.24436454133527,0.591718659769421
"050502A",0.4837,0.6803,0.1966,2.04579030537342,3.78960832497788,1.74381801960446,0.364083637175595,0,0,0.499315266324726,0.457290861102795,2.15729575961725,1.86609684530014
"050502B",0.5187,0.6806,0.1619,2.30141408645912,3.79291801219085,1.49150392573174,0.311189117347319,0,0,0.54649246039609,0.488932208716555,2.51959312254081,2.08270671697372
"050505A",0.6063,0.7218,0.1155,3.03924317653098,4.26987118996723,1.23062801343625,0.233521459837409,0,0,0.635866258997406,0.575252958853258,3.32380658890155,2.76056378039548
"050525A",0.3271,0.2068,-0.1203,1.12373341339537,0.609904076215706,-0.513829337179662,-0.319167672640153,0,0,0.353748528671493,0.305908411603453,1.25812785848951,1.0225925889921
"050603A",0.4009,0.5821,0.1812,1.51709727795978,2.82032226884411,1.30322499088433,0.341129595665927,0,0,0.411847336609746,0.392361547654055,1.58135263290093,1.46809315555217
"050730A",0.4638,0.6961,0.2323,1.90937699189655,3.96706679223423,2.05768980033768,0.414266585574162,0,0,0.495344348828584,0.439233678635013,2.12855899485361,1.74937309645733
"050801A",0.4004,0.4082,0.00780000000000003,1.51420103015902,1.559764430599,0.0455634004399772,0.0177998412257471,0,0,0.423687964709239,0.354291757023554,1.65269894526403,1.26095415868355
"050802A",0.4446,0.433,-0.0116,1.78355623757743,1.71019163189084,-0.0733646056865838,-0.0270698960262817,0,0,0.479941927976549,0.422364017584699,2.01954793221272,1.64462450383206
"050820A",0.4247,0.5581,0.1334,1.65888773070508,2.61493089917358,0.956043168468493,0.264470662132728,0,0,0.453784347946568,0.401620453010713,1.84304902041493,1.52127636701159
"050824A",0.2843,0.2619,-0.0224,0.924420612541697,0.82767932897041,-0.0967412835712871,-0.0529312128434393,0,0,0.32903583539205,0.237620645338801,1.13322092656056,0.728306030603036
"050904A",0.6841,0.863,0.1789,3.8317004324606,6.29457510254569,2.46287467008509,0.337630997756892,0,0,0.723265335068537,0.648279486271528,4.2876820752139,3.44917497975799
"051016B",0.3779,0.287,-0.0909,1.38726153234149,0.936421963946607,-0.450839568394881,-0.232820933034672,0,0,0.42225216420305,0.353059184991613,1.64394346339452,1.25454643737812
"051028A",0.451,0.6628,0.2118,1.82487997491571,3.60044666393478,1.77556668901907,0.385955281894394,0,0,0.465620407914931,0.438095582282905,1.92159765933251,1.74217762135564
"051111A",0.5108,0.4065,-0.1043,2.24190287822787,1.54976408779928,-0.692138790428591,-0.271452089917064,0,0,0.537945310238019,0.491154546243256,2.45100278869988,2.09852173021597
"060115A",0.572,0.6561,0.0841000000000001,2.73250157795721,3.5300187543224,0.797517176365198,0.176051627955013,0,0,0.597052575303005,0.552318838620796,2.95414485696092,2.56712919198574
"060124A",0.4281,0.518,0.0899,1.67978529715251,2.29609712177458,0.616311824622072,0.186982301143559,0,0,0.491931834882714,0.382836610843127,2.10407234716534,1.4145522668809
"060206A",0.5405,0.7031,0.1626,2.47136275887698,4.04777513500947,1.5764123761325,0.312298455055791,0,0,0.588891745531979,0.482292676237991,2.88053625698908,2.03593644878278
"060210A",0.5507,0.6911,0.1404,2.55385741986076,3.91020924883086,1.3563518289701,0.276230962925471,0,0,0.571961505912506,0.526156377569687,2.73217075893712,2.35858525946252
"060223A",0.7002,0.7332,0.0329999999999999,4.01418092030894,4.41003406863468,0.395853148325736,0.0731701766206506,0,0,0.745869731323655,0.664411829861118,4.5701864350423,3.61755237177813
