"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4209,0.4829,0.062,1.6357244179729,2.04018491662944,0.404460498656543,0.133038124241783,0,0,0.433911555984955,0.400917919326714,1.71588612265946,1.51720113748578
"011211A",0.4983,0.4969,-0.00140000000000001,2.14992345278447,2.13978564827282,-0.0101378045116536,-0.00322882057800039,0,0,0.513967419055901,0.479589405484776,2.26563332342778,2.01709792028567
"050315A",0.4023,0.4697,0.0674,1.52522453344769,1.94917130750827,0.423946774060587,0.143751152393645,0,0,0.432521877561626,0.372442848407711,1.7072095760261,1.35745194334824
"050318A",0.4784,0.3874,-0.091,2.00884627664573,1.44005715942821,-0.568789117217518,-0.233104833228909,0,0,0.493227897566411,0.45652171000867,2.11334964977256,1.86102537725734
"050319A",0.4623,0.6274,0.1651,1.89934569317074,3.24033335385019,1.34098766067945,0.316245811066208,0,0,0.485137593097675,0.424627382128266,2.05588912609402,1.65844317836892
"050401A",0.4073,0.5911,0.1838,1.55446525542872,2.90031784475066,1.34585258932194,0.345062285406634,0,0,0.423135283455788,0.387038360540086,1.64932527932892,1.43802615582683
"050416A",0.293,0.2182,-0.0748,0.963360276836047,0.65272272994873,-0.310637546887317,-0.187955027941652,0,0,0.330211879977933,0.240049624336812,1.13900539513476,0.737999408617036
"050502A",0.485,0.6803,0.1953,2.05492111321551,3.78960832497788,1.73468721176237,0.362177258360762,0,0,0.524278783814839,0.469493291415543,2.34409636531154,1.94776794182826
"050502B",0.5151,0.6806,0.1655,2.27416076537575,3.79291801219085,1.5187572468151,0.316875282020707,0,0,0.547238880982301,0.476897818993533,2.5256474376583,1.99845695764939
"050505A",0.6003,0.7218,0.1215,2.98382268248835,4.26987118996723,1.28604850747888,0.244037939661079,0,0,0.61543571537451,0.579389215345288,3.12511172355263,2.7965507998805
"050525A",0.3337,0.2068,-0.1269,1.15625440680719,0.609904076215706,-0.546350330591486,-0.339368250980366,0,0,0.358141042757924,0.300481910006894,1.28108276289097,0.997477564281824
"050603A",0.4004,0.5821,0.1817,1.51420103015902,2.82032226884411,1.30612123868509,0.3418877117611,0,0,0.410321870191311,0.392244033783456,1.5723014953095,1.4674254152155
"050730A",0.4708,0.6961,0.2253,1.95665056508294,3.96706679223423,2.01041622715129,0.404749183219053,0,0,0.513135925908053,0.444970755346672,2.25938697649303,1.78593356227549
"050801A",0.4066,0.4082,0.00159999999999999,1.55035126027534,1.559764430599,0.00941317032365863,0.0036773580455823,0,0,0.420614795152054,0.385020817095692,1.63399408374968,1.42672641289752
"050802A",0.4481,0.433,-0.0151,1.80607968729545,1.71019163189084,-0.0958880554046089,-0.0353805444147541,0,0,0.457702395465499,0.440118433165599,1.8688140254764,1.75497989065101
"050820A",0.4261,0.5581,0.132,1.66747280212458,2.61493089917358,0.947458097049,0.262095769870899,0,0,0.478829320711916,0.411339364153161,2.01182213467037,1.57833511935525
"050824A",0.2795,0.2619,-0.0176,0.90326823757635,0.82767932897041,-0.0755889086059405,-0.0413578615284346,0,0,0.317793850314433,0.235675243043874,1.07870973677809,0.720581476490836
"050904A",0.6836,0.863,0.1794,3.82614093268521,6.29457510254569,2.46843416986048,0.338393139444,0,0,0.710964860793057,0.64160746176869,4.14002061471864,3.38134509703405
"051016B",0.3876,0.287,-0.1006,1.44118110605489,0.936421963946607,-0.504759142108282,-0.260665883524445,0,0,0.408906038136786,0.376450856128434,1.56392925711503,1.37930904799767
"051028A",0.4515,0.6628,0.2113,1.82813411104747,3.60044666393478,1.77231255288731,0.385247929680689,0,0,0.461069978941596,0.436210163336665,1.89114570227672,1.73029870649944
"051111A",0.507,0.4065,-0.1005,2.21366053864032,1.54976408779928,-0.663896450841035,-0.260375637894425,0,0,0.536439548145241,0.492143373536286,2.43905837890148,2.10558466485787
"060115A",0.571,0.6561,0.0851000000000001,2.72391706254568,3.5300187543224,0.806101691776719,0.177946656624227,0,0,0.592838058546523,0.551085119162415,2.91595830069794,2.55701027045361
"060124A",0.426,0.518,0.092,1.66685866452148,2.29609712177458,0.629238457253098,0.190904100821618,0,0,0.464110713520701,0.387678983686327,1.91145923391822,1.44162511588006
"060206A",0.5479,0.7031,0.1552,2.53101855723758,4.04777513500947,1.51675657777189,0.300480218948787,0,0,0.570275423696851,0.516155276949829,2.71770926453371,2.2821262074929
"060210A",0.5455,0.6911,0.1456,2.51155924516291,3.91020924883086,1.39865000366795,0.284845295340718,0,0,0.565497771883726,0.522721845464066,2.67703506897259,2.33212930024659
"060223A",0.6862,0.7332,0.0469999999999999,3.8551203524228,4.41003406863468,0.554913716211879,0.102571205499251,0,0,0.717821599896675,0.630506237033448,4.22181642420472,3.27077052778486
"060306A",0.4077,0.4081,0.000400000000000011,1.55681908868969,1.55917509090989,0.00235600222020738,0.000920610015538139,0,0,0.43645308309742,0.357666490033696,1.73182630830248,1.27859158955074
"060418A",0.4389,0.396,-0.0429,1.74726149993067,1.48885731828239,-0.258404181648284,-0.103824425671221,0,0,0.460017564232161,0.390390533360795,1.88414814477264,1.45691727180356
"060510B",0.6316,0.7709,0.1393,3.28153994337418,4.90065196995666,1.61911202658249,0.274395445592494,0,0,0.657771021099475,0.600787342767704,3.54748233925862,2.98829563109535
"060512A",0.3985,0.1584,-0.2401,1.50322564838317,0.44012437117557,-1.0631012772076,-0.738201018249413,0,0,0.431596831762652,0.375479621726691,1.7014493654446,1.37399402589218
"060526A",0.5416,0.6254,0.0838,2.48016632215004,3.22085079179884,0.740684469648806,0.175482267956016,0,0,0.573525322846,0.509887683473751,2.74563386444214,2.23509980489676
"060604A",0.5789,0.4963,-0.0826,2.79227654525362,2.13545086914429,-0.656825676109331,-0.209483644783944,0,0,0.595337133772983,0.561213271642062,2.93855698802695,2.64093789992536
"060605A",0.6065,0.6794,0.0729,3.0411037451349,3.7796929697961,0.738589224661197,0.15452649978325,0,0,0.632837076029969,0.573414385598903,3.2937531798323,2.74467719273816
"060707A",0.5353,0.6459,0.1106,2.43004643943377,3.42486474355665,0.994818304122882,0.224824567930919,0,0,0.564735965035835,0.519769892803957,2.67059074322422,2.30955720977128
"060708A",0.4756,0.4654,-0.0102,1.98950992781459,1.92011530139416,-0.0693946264204301,-0.0237643446432745,0,0,0.508379200426691,0.463635587012825,2.22388246750303,1.90827578327021
"060714A",0.5795,0.5695,-0.01,2.79751938971333,2.71107729492926,-0.0864420947840694,-0.0232929922807542,0,0,0.59638771922861,0.570669561273842,2.94809613642839,2.72108474841497
"060729A",0.3582,0.1875,-0.1707,1.28139245017275,0.539926526059492,-0.741465924113258,-0.481494351558831,0,0,0.38565512716226,0.319946280799911,1.4302733648311,1.08903771546886
"060814A",0.4679,0.4658,-0.00209999999999999,1.93697331100145,1.92280606593193,-0.0141672450695154,-0.00484713824658024,0,0,0.495062895539716,0.454081825771863,2.12653212601245,1.8449970851383
