"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4296,0.4829,0.0533,1.68905695002925,2.04018491662944,0.351127966600191,0.115495595244738,0,0,0.447401650206783,0.417902941140075,1.80157110948279,1.6175979456068
"011211A",0.495,0.4969,0.00190000000000001,2.12607936712396,2.13978564827282,0.0137062811488646,0.00436535569120917,0,0,0.521447718837546,0.478077186727554,2.32236787532709,2.00661061706838
"050315A",0.3981,0.4697,0.0716,1.50092115378012,1.94917130750827,0.448250153728156,0.151991901110308,0,0,0.445984399847377,0.355671213576309,1.79244353296835,1.26814708121776
"050318A",0.4795,0.3874,-0.0921,2.01647687316222,1.44005715942821,-0.576419713734011,-0.236232053624959,0,0,0.495534502488657,0.463500296726818,2.12992911864275,1.90736994587135
"050319A",0.4586,0.6274,0.1688,1.87474945293637,3.24033335385019,1.36558390091382,0.322046355075805,0,0,0.481344716537394,0.433925772585406,2.0293169615872,1.71597502846289
"050401A",0.4237,0.5911,0.1674,1.65277245862146,2.90031784475066,1.24754538612919,0.319857364396143,0,0,0.443281364383461,0.406275158986759,1.775117425036,1.54844437688989
"050416A",0.3438,0.2182,-0.1256,1.20698814335858,0.65272272994873,-0.554265413409853,-0.335365033327186,0,0,0.402466819770574,0.302357494998621,1.52619470072182,1.00612271317862
"050502A",0.4926,0.6803,0.1877,2.10885165988056,3.78960832497788,1.68075666509732,0.350917350868159,0,0,0.530089550575371,0.466520590463118,2.38914032269396,1.92765967221084
"050502B",0.4913,0.6806,0.1893,2.09955965983738,3.79291801219085,1.69335835235348,0.353304260170192,0,0,0.514324321174902,0.474409086814964,2.26831811575191,1.98132338623984
"050505A",0.5779,0.7218,0.1439,2.78355455123231,4.26987118996723,1.48631663873492,0.282040411455325,0,0,0.594156153708057,0.563201946575239,2.927861390972,2.65764832420497
"050525A",0.3542,0.2068,-0.1474,1.26047651846834,0.609904076215706,-0.650572442252636,-0.404106338920449,0,0,0.366546914181614,0.342836771246487,1.32566369955643,1.20209865291498
"050603A",0.3882,0.5821,0.1939,1.44455605318343,2.82032226884411,1.37576621566068,0.36011784316744,0,0,0.411211777493311,0.361973100811491,1.57757776953082,1.301299275878
"050730A",0.4528,0.6961,0.2433,1.83661241931252,3.96706679223423,2.13045437292171,0.428915990469984,0,0,0.48353670115749,0.428442754506579,2.04464527462779,1.6819010759022
"050801A",0.4276,0.4082,-0.0194,1.67670185562589,1.559764430599,-0.116937425026892,-0.0456828853581376,0,0,0.444976235286825,0.408461170471564,1.78596871548638,1.5613042520084
"050802A",0.4484,0.433,-0.0154,1.80801872811664,1.71019163189084,-0.0978270962257941,-0.0360960070404845,0,0,0.457458630451639,0.440902216002475,1.86720424156949,1.75995636559026
"050820A",0.4259,0.5581,0.1322,1.66624466831251,2.61493089917358,0.948686230861062,0.262435509093119,0,0,0.440914442298627,0.415221896648843,1.7600340652164,1.60148841752373
"050824A",0.2823,0.2619,-0.0204,0.915578702986949,0.82767932897041,-0.0878993740165392,-0.0480934333628732,0,0,0.323921825145588,0.242687774983969,1.10824862205466,0.748589132773859
"050904A",0.6548,0.863,0.2082,3.51647904929112,6.29457510254569,2.77809605325457,0.380844122406123,0,0,0.686566402866671,0.633171036244157,3.85921821854522,3.29705622480178
"051016B",0.3792,0.287,-0.0922,1.39441817286338,0.936421963946607,-0.457996208916773,-0.236516739349173,0,0,0.407637526715411,0.359409189268251,1.55645131657886,1.28775329363212
"051028A",0.4653,0.6628,0.1975,1.9194429974027,3.60044666393478,1.68100366653208,0.365400099018713,0,0,0.490999522544047,0.447327851304956,2.09741589396845,1.80109508384971
"051111A",0.4912,0.4065,-0.0847,2.09884604201206,1.54976408779928,-0.549081954212778,-0.21534617921719,0,0,0.501977884680259,0.478476593125888,2.17671230069882,2.00937697015989
"060115A",0.5803,0.6561,0.0758,2.80452112580041,3.5300187543224,0.725497628521998,0.160153338842085,0,0,0.60151467836555,0.557276692525732,2.99498063389846,2.60808443786613
"060124A",0.399,0.518,0.119,1.50610925303211,2.29609712177458,0.789987868742464,0.239673723059818,0,0,0.459998359541762,0.367247490464261,1.88402060931031,1.32941834012805
"060206A",0.5353,0.7031,0.1678,2.43004643943377,4.04777513500947,1.6177286955757,0.320483510518475,0,0,0.558113244343668,0.51481174491599,2.61504114261255,2.27198832160273
"060210A",0.5422,0.6911,0.1489,2.48497767240449,3.91020924883086,1.42523157642637,0.290258826905539,0,0,0.561007482881623,0.515311616571705,2.63921306426991,2.275756538607
"060223A",0.6656,0.7332,0.0676,3.63020265860308,4.41003406863468,0.779831410031593,0.144145378779176,0,0,0.714316011299213,0.601782545464724,4.17983601950725,2.997445445231
"060306A",0.4377,0.4081,-0.0296,1.73968101353102,1.55917509090989,-0.180505922621129,-0.070532853833362,0,0,0.457488609910992,0.407969034174774,1.86740217224439,1.55840346253185
"060418A",0.4467,0.396,-0.0507,1.7970485194781,1.48885731828239,-0.308191201195704,-0.123828392624931,0,0,0.461110856551919,0.419870958058238,1.89141784179138,1.62948657632834
"060510B",0.6159,0.7709,0.155,3.12952405236922,4.90065196995666,1.77112791758745,0.300158003997727,0,0,0.68141218564072,0.578196699635202,3.80188976195186,2.78614026864052
"060512A",0.4421,0.1584,-0.2837,1.76757883062595,0.44012437117557,-1.32745445945038,-0.921763762921933,0,0,0.457054296145486,0.411339835806235,1.86453607610393,1.57833791948372
