"","log10Ta","log10NH","log10PeakFlux","log10Fa","PhotonIndex","Gamma","log10T90","Alpha","Beta","log10Fluence","log10TaSqr","log10NHSqr","log10PeakFluxSqr","log10FaSqr","PhotonIndexSqr","GammaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000926A",4.194646004571,21.0163605,0.146128036,-10.852294160823,2.2,1.88408,2.05384642685225,1.85233804144432,0.939275837050156,-5.721246399,17.5950551036634,441.68740866596,0.0213534029052173,117.772288553034,4.84,3.5497574464,4.21828514509377,3.43115621978177,0.882239098066271,32.7326603580705,0.033597137016063,0.80374835161015,0.59709364552744,0.330974629779322,0.2278580639254,0.0438681294899875,0.218181818,0.065802194705171,"000926A",2.04,0.482873583608754
"011211A",4.22829306419061,21.43355223,0.431363764,-11.1136446193097,1.79,1.94118,2.00945089579869,1.77716526380311,0.828370537923265,-5.698970004,17.8784622366825,459.397161196138,0.186074696892248,123.51309672431,3.2041,3.7681797924,4.03789290262617,3.15831637486836,0.68619774809928,32.4782591064918,0.0978170519847638,0.801200091688772,0.596088230141852,0.336528397062144,0.225202196294994,0.0394813165204961,0.072727273,0.0526417553674108,"011211A",2.14,0.496929648073215
"020124A",3.98164234223275,21.19187281,0.414973348,-10.8463344752745,1.47,2.26662,2.06069784035361,1.76233074940587,0.985866445414502,-5.619788758,15.8534757414607,449.095473195217,0.172202879550329,117.642971549528,2.1609,5.1375662244,4.24647558923804,3.10580967030146,0.971932648194225,31.5820256845432,0.0130126209875294,0.79807969303291,0.600612591903203,0.336481328339471,0.237029638992657,0.0438681294899875,0.103030303,0.065802194705171,"020124A",3.198,0.623042434246382
"021004A",4.28476901174911,21.20847898,0.146128036,-10.8793901696322,1.34,1.92121,0.593286067020457,1.41485856834597,0.873069618853371,-6.657577319,18.3592454840454,449.799580645102,0.0213534029052173,118.36113046309,1.7956,3.6910478641,0.351988357320603,2.00182476842201,0.762250559364771,44.3233357584632,0.0563106258528354,0.801240940796035,0.608101453423833,0.322681947534693,0.220516054451682,0.0394813165204961,0.066666667,0.0526417553674108,"021004A",2.34,0.523746466811564
"030226A",4.14603569196486,21.451745,0.72427587,-10.9855044938083,1.41,2.11482,2.24104815067164,1.84944201264294,0.85271313401555,-4.721246399,17.1896119590466,460.177363545025,0.524575535864257,120.681308983481,1.9881,4.4724636324,5.0222968136288,3.42043575812878,0.727119688922622,22.2901675600705,0.120079755769867,0.814751505511419,0.605058468205273,0.336525198601321,0.223963815570708,0.0510934685037089,0.163636364,0.144764827428965,"030226A",1.99,0.47567118832443
"030329A",4.32971440949097,22.07736427,1.382017043,-10.4018782326739,1,1.95818,0.880813592280791,1.49318856021994,0.832560906914953,-4.795880017,18.7464268677537,487.410013110273,1.90997110714246,108.199070767375,1,3.8344689124,0.775832584346592,2.2296120763717,0.69315766372305,23.0004651374599,0.0299157959458657,0.800015815064639,0.614836589077076,0.332739566431189,0.228068542580739,0.0594342399249789,0.121212121,0.0579059309278577,"030329A",0.17,0.0681858617461616
"050315A",4.86356,21.91683806,0.285557309,-11.3757179,2.11,1.99544,1.9804578922761,1.10818,0.856,-5.492144128,23.6542158736,480.347790548265,0.0815429767233215,129.40695774038,4.4521,3.9817807936,3.92221346307869,1.2280629124,0.732736,30.1636471227249,0.0636907468358741,0.03245,0.04512,0.049165,0.001,0.0119343109944412,0.054545455,0.0300030729412981,"050315A",1.949,0.469674772551798
"050318A",4.132084541,20.92661714,0.499687083,-11.15490196,1.9,1.98053,1.50514997831991,1.874408221,0.95,-5.966576245,17.0741226539712,437.923304924142,0.249687180917049,124.431837737212,3.61,3.9224990809,2.26547645723641,3.51340617895238,0.9025,35.6000320873983,0.148833498099688,0.06181969,0.043780336,0.085906519,0.037,0.0187658109674778,0.060606061,0.0166587833050111,"050318A",1.44,0.387389826338729
"050319A",3.73997,20.93735437,0.181843588,-10.70553377,2.02,2.01045,2.1832698436828,0.863159,0.971,-5.882728704,13.9873756009,438.372808014958,0.0330670904967137,114.60845330061,4.0804,4.0419092025,4.76666721033474,0.745043459281,0.942841,34.6064970048655,0.0311991209239902,0.04165,0.06193,0.034558,0.009,0.0297365640854658,0.115151515,0.0363643704117435,"050319A",3.24,0.627365856592733
"050401A",3.12435,22.12570242,1.029383778,-9.653647026,1.4,1.78711,1.52244423350632,0.984108,0.9995,-5.085128182,9.7615629225,489.546707578394,1.05963096240955,93.1929009025986,1.96,3.1937621521,2.31783644413664,0.968468555664,0.99900025,25.8585286273706,0.00815583517918357,0.019455,0.02833,0.0260615,0.0174145,0.0097982829257281,0.042424242,0.0226310350249442,"050401A",2.9,0.591064607026499
