"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3771,0.4829,0.1058,1.3828680818473,2.04018491662944,0.65731683478214,0.216209491464383,0,0,0.409015134984493,0.341313688092395,1.56457340929141,1.19438935629733
"011211A",0.4139,0.4969,0.083,1.59358209901113,2.13978564827282,0.546203549261687,0.173962050422821,0,0,0.449158216566635,0.378026814569193,1.81292541247781,1.38795871768431
"050315A",0.377,0.4697,0.0927,1.38231946935869,1.94917130750827,0.566851838149585,0.192207158908145,0,0,0.44896252376761,0.305434101992251,1.81165819571951,1.02038484408205
"050318A",0.4334,0.3874,-0.046,1.71268896051693,1.44005715942821,-0.272631801088727,-0.111731727281591,0,0,0.460148716613121,0.405234067755329,1.88501925880576,1.54234255966274
"050401A",0.3681,0.5911,0.223,1.33399542271947,2.90031784475066,1.56632242203119,0.40158840493968,0,0,0.400402480121754,0.333890961811846,1.51421538802617,1.15720273289902
"050416A",0.2189,0.2182,-0.000700000000000006,0.655388752236246,0.65272272994873,-0.00266602228751633,-0.001613109228309,0,0,0.27677031848874,0.11554184465521,0.891343096074775,0.304793680602012
"050502A",0.4355,0.6803,0.2448,1.72583773892853,3.78960832497788,2.06377058604935,0.430885042371159,0,0,0.47356335850693,0.410242369463293,1.97552332141614,1.571830660119
"050502B",0.4965,0.6806,0.1841,2.13689513015838,3.79291801219085,1.65602288203248,0.34551454412956,0,0,0.507337698393365,0.471318672665767,2.2161603862979,1.96018376663032
"050505A",0.5758,0.7218,0.146,2.76530360412278,4.26987118996723,1.50456758584445,0.285503673924487,0,0,0.603642936732117,0.54569466884901,3.01460606837692,2.51313362488651
"050525A",0.4582,0.2068,-0.2514,1.87210292979783,0.609904076215706,-1.26219885358213,-0.784021155191491,0,0,0.503905509962072,0.419197254560856,2.19084354342612,1.6254107221258
"050801A",0.5357,0.4082,-0.1275,2.43320708426095,1.559764430599,-0.873442653661956,-0.341219935405371,0,0,0.574778708480201,0.515450183171582,2.75645947919039,2.27680187278656
"050802A",0.4009,0.433,0.0321,1.51709727795978,1.71019163189084,0.19309435393106,0.0712474910109373,0,0,0.42887311225366,0.37095772861793,1.68455998362337,1.34940413409933
"050820A",0.3649,0.5581,0.1932,1.31686111155916,2.61493089917358,1.29806978761442,0.359085643355224,0,0,0.3982980616324,0.335691409848933,1.50206196839804,1.16616437874728
"050824A",0.1857,0.2619,0.0762,0.533557272995818,0.82767932897041,0.294122055974592,0.160926510089864,0,0,0.234766760736931,0.154316380715228,0.716986026575187,0.42664651787304
"050904A",0.6385,0.8627,0.2242,3.35010760630697,6.28953792855699,2.93943032225002,0.403239595027651,0,0,0.693289946356492,0.60730520837232,3.93503169621342,3.04860314718209
"050922C",0.3852,0.5049,0.1197,1.427727847681,2.19815862166661,0.770430773985609,0.240898237118748,0,0,0.403141579508645,0.366249221968606,1.53012267914047,1.32407009251565
"051016B",0.3788,0.287,-0.0918,1.39221384751206,0.936421963946607,-0.455791883565448,-0.235378389654547,0,0,0.392294511671376,0.35461728081353,1.46771221983139,1.26264948362366
"051028A",0.4548,0.6628,0.208,1.84970562734115,3.60044666393478,1.75074103659363,0.380558924923219,0,0,0.490202914933005,0.421159947544738,2.09173964521152,1.63730250659545
"051109A",0.44,0.5245,0.0845,1.75422870333817,2.34580017853301,0.591571475194843,0.176810163078604,0,0,0.473985075159862,0.424200616222823,1.97841407234299,1.65583210291874
"051111A",0.5121,0.4065,-0.1056,2.25162160120483,1.54976408779928,-0.701857513405544,-0.275263706459731,0,0,0.536102707113029,0.475913293044576,2.43639206168616,1.99166729017768
"060115A",0.5017,0.6561,0.1544,2.17468032156787,3.5300187543224,1.35533843275453,0.299190468353207,0,0,0.53194323270098,0.451941079394764,2.40363697331386,1.8310078877326
