"","log10Ta","log10NH","log10Fa","PhotonIndex","log10PeakFlux","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10PeakFluxSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000926A",4.2351890399169,22.7516324,-10.8433590288525,2.04,0.181843588,1.8568190780749,2.27737997466725,0.945186578079725,1.84304,-5.721246399,17.9368262038323,517.63677686473,117.578435028597,4.1616,0.0330670904967137,3.44777708870292,5.18645954901543,0.89337766738206,3.3967964416,32.7326603580705,0.0580681587729877,0.796957266764563,0.597585894867551,0.334341557297284,0.2294933305422,0.0809873160298533,0.2,0.144764827428965,"000926A",2.04,0.482873583608754
"011211A",4.27202472889688,21.0163605,-11.1179366573332,2.25,0.342422681,1.7752517374583,1.28397928423848,0.839958092855358,1.76412,-5.853871964,18.2501952843064,441.68740866596,123.608515516473,5.0625,0.117253292463228,3.15151873134871,1.64860280235356,0.705529597753211,3.1121193744,34.2678169709052,0.100484314152503,0.812080864531588,0.596239045614928,0.34012807818548,0.223258955750782,0.0142275014568467,0.042424242,0.05371607691878,"011211A",2.14,0.496929648073215
"020124A",4.01105386185557,20.99642367,-10.8495261965798,2.04,0.414973348,1.76124730742925,1.39445168082622,0.992200185985962,1.94644,-6.161150909,16.0885530827065,440.849806930136,117.712218690272,4.1616,0.172202879550329,3.10199207792679,1.94449549015906,0.984461209070578,3.7886286736,37.9597805234715,0.0226602223459461,0.796101003849049,0.60874869533246,0.330221199111221,0.238432088479873,0.017844662826724,0.042424242,0.0877362588943192,"020124A",3.198,0.623042434246382
"021004A",4.34566531721089,21.41342718,-10.8796330132133,1.79,0.255272505,1.41718597295756,2.27737997466725,0.877958284179355,2.06183,-5.698970004,18.8848070492096,458.534863593163,118.366414502201,3.2041,0.065164051808975,2.00841608194766,5.18645954901543,0.770810748759158,4.2511429489,32.4782591064918,0.100484314152503,0.802770226550447,0.601975764530546,0.321300048534435,0.222861933247084,0.017844662826724,0.018181818,0.131604388703391,"021004A",2.34,0.523746466811564
"030226A",4.18457868061355,20.93735437,-10.9857250398261,1.9,1.477121255,1.85001917661884,1.54654266347813,0.860547866558131,1.83562,-4.721246399,17.5106987342455,438.372808014958,120.686154650662,3.61,2.18188720197277,3.42257095385746,2.39179420995803,0.740542630637752,3.3695007844,22.2901675600705,0.0174377429441569,0.8217089426466,0.608782468485364,0.332954097195208,0.229683286943976,0.0894135698123102,0.224242424,0.144764827428965,"030226A",1.99,0.47567118832443
"030329A",4.39063257823202,21.41988474,-10.4089848231729,1.74,1.589949601,1.49239343464153,1.68928221447305,0.837410762167031,1.83562,-4.065501549,19.2776544370324,458.811462274885,108.346965049044,3.0276,2.52793973372006,2.22723816376116,2.85367440013496,0.701256784593168,3.3695007844,16.5283028449214,0.0299157959458657,0.794463878025832,0.60960415226855,0.332534845771495,0.230436074987088,0.0457754394646476,0.121212121,0.065802194705171,"030329A",0.17,0.0681858617461616
"050315A",4.86356,21.91683806,-11.3757179,2.11,0.285557309,1.10818,1.9804578922761,0.856,1.99544,-5.492144128,23.6542158736,480.347790548265,129.40695774038,4.4521,0.0815429767233215,1.2280629124,3.92221346307869,0.732736,3.9817807936,30.1636471227249,0.0636907468358741,0.03245,0.04512,0.049165,0.001,0.0119343109944412,0.054545455,0.0300030729412981,"050315A",1.949,0.469674772551798
"050318A",4.132084541,20.92661714,-11.15490196,1.9,0.499687083,1.874408221,1.50514997831991,0.95,1.98053,-5.966576245,17.0741226539712,437.923304924142,124.431837737212,3.61,0.249687180917049,3.51340617895238,2.26547645723641,0.9025,3.9224990809,35.6000320873983,0.148833498099688,0.06181969,0.043780336,0.085906519,0.037,0.0187658109674778,0.060606061,0.0166587833050111,"050318A",1.44,0.387389826338729
"050319A",3.73997,20.93735437,-10.70553377,2.02,0.181843588,0.863159,2.1832698436828,0.971,2.01045,-5.882728704,13.9873756009,438.372808014958,114.60845330061,4.0804,0.0330670904967137,0.745043459281,4.76666721033474,0.942841,4.0419092025,34.6064970048655,0.0311991209239902,0.04165,0.06193,0.034558,0.009,0.0297365640854658,0.115151515,0.0363643704117435,"050319A",3.24,0.627365856592733
"050401A",3.12435,22.12570242,-9.653647026,1.4,1.029383778,0.984108,1.52244423350632,0.9995,1.78711,-5.085128182,9.7615629225,489.546707578394,93.1929009025986,1.96,1.05963096240955,0.968468555664,2.31783644413664,0.99900025,3.1937621521,25.8585286273706,0.00815583517918357,0.019455,0.02833,0.0260615,0.0174145,0.0097982829257281,0.042424242,0.0226310350249442,"050401A",2.9,0.591064607026499
