"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.6963,0.4829,-0.2134,3.96935473780307,2.04018491662944,-1.92916982117363,-0.634556737197564,0,0,0.765735061150131,0.656057310300444,4.83089285488508,3.52957349046708
"011211A",0.4119,0.4969,0.085,1.58166567170163,2.13978564827282,0.558119976571194,0.177757350052929,0,0,0.44601882641356,0.387505318604623,1.79266489901487,1.44064895736336
"030329A",0.2845,0.0682,-0.2163,0.925307045077683,0.170038089423047,-0.755268955654636,-0.645508007373558,0,0,0.307805642144015,0.266631967504978,1.0314476828338,0.847702164237526
"050315A",0.3468,0.4697,0.1229,1.2222862543282,1.94917130750827,0.726885053180071,0.2464709497646,0,0,0.357337003769341,0.314888968555366,1.27686354569398,1.06485218955653
"050318A",0.4818,0.3874,-0.0944,2.03249434732963,1.44005715942821,-0.592437187901425,-0.242796438440915,0,0,0.49992538330458,0.465544927028565,2.16173439183362,1.92108992638287
"050401A",0.3666,0.5911,0.2245,1.32594799353611,2.90031784475066,1.57436985121454,0.403651680165874,0,0,0.393742171500225,0.338077556057951,1.47595171786952,1.17809870123388
"050416A",0.2076,0.2182,0.0106,0.612872362170402,0.65272272994873,0.0398503677783282,0.0241119499697111,0,0,0.255304249747955,0.106527341048222,0.800131575350667,0.277989662988118
"050502A",0.6387,0.6803,0.0416,3.35211136623977,3.78960832497788,0.437496958738111,0.0913429510418539,0,0,0.682655492815822,0.54878715259729,3.81565640703981,2.53823889757399
"050502B",0.4267,0.6806,0.2539,1.67116059884382,3.79291801219085,2.12175741334704,0.442685939536274,0,0,0.454227374509144,0.411259266278215,1.84595071256468,1.57785963525553
"050505A",0.5744,0.7218,0.1474,2.75318524237914,4.26987118996723,1.51668594758809,0.287803229512622,0,0,0.598563047204038,0.556217835499798,2.96792127679769,2.59929825206661
"050603A",0.4651,0.5821,0.117,1.91809885374184,2.82032226884411,0.902223415102267,0.236164216422309,0,0,0.492545760283886,0.448484099768248,2.10846341478622,1.8085625448143
"050801A",0.4144,0.4082,-0.00619999999999998,1.59656979027378,1.559764430599,-0.0368053596747862,-0.0143784167147652,0,0,0.433035246234606,0.395544820729706,1.71041159307021,1.48625014081419
"050802A",0.4065,0.433,0.0265,1.54976408779928,1.71019163189084,0.160427544091561,0.0591941699634109,0,0,0.429197295512728,0.389317971533089,1.68656464714014,1.45085699602005
"050803A",0.4618,0.6532,0.1914,1.89600961885171,3.49987033872151,1.60386071986979,0.356423763162358,0,0,0.47003233467687,0.446048099284912,1.95142896224487,1.79285314012516
"050824A",0.2113,0.2619,0.0506,0.626672032971903,0.82767932897041,0.201007295998507,0.109979520374474,0,0,0.265626906735548,0.174636530993222,0.843431085829617,0.494983952927355
"050904A",0.6251,0.8627,0.2376,3.21793613816656,6.28953792855699,3.07160179039043,0.421371261182048,0,0,0.650701587376411,0.59512282952239,3.4740577687171,2.9366139716557
"050908A",0.5332,0.6375,0.1043,2.41350072949311,3.34010263644744,0.926601906954326,0.213497694541342,0,0,0.554882443173383,0.514912220364764,2.58824793153879,2.27274539437442
"051016B",0.3862,0.287,-0.0992,1.43332433835825,0.936421963946607,-0.496902374411642,-0.256608520076331,0,0,0.464813580484046,0.340701820275803,1.91617498652923,1.19129990687803
"051028A",0.4041,0.6628,0.2587,1.53571243264738,3.60044666393478,2.0647342312874,0.448811687672394,0,0,0.429761914203222,0.377263929725625,1.6900596744576,1.38376769411293
"051109A",0.4437,0.5245,0.0808,1.77779377290571,2.34580017853301,0.5680064056273,0.169766984075046,0,0,0.452008391564925,0.436900165469577,1.8314467053117,1.7346400218312
"051111A",0.4428,0.4065,-0.0363000000000001,1.7720432375777,1.54976408779928,-0.222279149778419,-0.0871763591157447,0,0,0.45380587451872,0.428799005553863,1.84318994464771,1.68410193749003
"060115A",0.5102,0.6561,0.1459,2.23742711634235,3.5300187543224,1.29259163798006,0.285339136123157,0,0,0.583848765313561,0.453069730763631,2.83573650098694,1.83837472418904
"060124A",0.4182,0.518,0.0998,1.61938900372149,2.29609712177458,0.676708118053088,0.205305879363396,0,0,0.463020697721405,0.334910526653939,1.90416105844302,1.16227300636652
"060206A",0.5249,0.7031,0.1782,2.34888319394222,4.04777513500947,1.69889194106725,0.336562524206828,0,0,0.555956332941258,0.49505477459411,2.59713165215127,2.12647366300865
"060210A",0.5599,0.6911,0.1312,2.62994462582726,3.91020924883086,1.2802646230036,0.260735247343773,0,0,0.5735933535864,0.53758113301569,2.74622065109251,2.4481101665851
"060223A",0.7026,0.7332,0.0306,4.04196701318537,4.41003406863468,0.368067055449308,0.0680341474341578,0,0,0.719230901625645,0.682944868500329,4.23878893582726,3.81886620659891
"060418A",0.4572,0.396,-0.0612,1.86549727636424,1.48885731828239,-0.37663995808185,-0.151330474155817,0,0,0.486705895524732,0.409279375467667,2.06694434848782,1.56613426337674
"060502A",0.3896,0.3984,0.00879999999999997,1.45244908607202,1.50264932573108,0.0502002396590595,0.0200588389044058,0,0,0.413459298365159,0.364769769787987,1.59095158864181,1.31616646750483
"060510B",0.5294,0.7709,0.2415,2.38376348861765,4.90065196995666,2.51688848133901,0.426544133454036,0,0,0.561172321636478,0.498277610594691,2.64059460889922,2.1497610673572
"060512A",0.4382,0.1584,-0.2798,1.74283700424738,0.44012437117557,-1.3027126330718,-0.904583422894513,0,0,0.459278970969205,0.422709209984215,1.87924731801574,1.64672737922323
"060604A",0.5217,0.4963,-0.0254,2.32429839564913,2.13545086914429,-0.18884752650484,-0.0602297833345988,0,0,0.557071319564958,0.507035656171417,2.60637861880502,2.21392439540068
"060605A",0.5806,0.6794,0.0988,2.80715010380177,3.7796929697961,0.972542865994327,0.203473920216222,0,0,0.603965631184352,0.560748301372466,3.01759015538404,2.63704187541202
"060607A",0.5245,0.6101,0.0856,2.34580017853301,3.0747409137987,0.728940735265696,0.178892535914912,0,0,0.546653428869168,0.49860064639272,2.52089787901423,2.15210478602736
"060707A",0.4222,0.6459,0.2237,1.64362591176344,3.42486474355665,1.7812388317932,0.402552153574183,0,0,0.479433194959916,0.381282991849887,2.01601290143658,1.40593002417552
"060708A",0.4636,0.4654,0.00179999999999997,1.90803748273531,1.92011530139416,0.0120778186588422,0.00413607594641069,0,0,0.494202266872545,0.438536452139327,2.12034250370408,1.74496272993047
"060714A",0.5326,0.5695,0.0369,2.40878806010259,2.71107729492926,0.302289234826672,0.081455925275314,0,0,0.556469749133352,0.510517505250611,2.60138663992317,2.23979480919228
"060729A",0.3262,0.1875,-0.1387,1.11933690126401,0.539926526059492,-0.579410375204513,-0.376258454802492,0,0,0.343083156340277,0.307655459415036,1.20334830779055,1.03074531238126
"060814A",0.5101,0.4658,-0.0443,2.23668175701653,1.92280606593193,-0.313875691084601,-0.107388476691327,0,0,0.545910086046087,0.485456914007366,2.5148766291175,2.05813683626025
"060908A",0.4881,0.4599,-0.0282,2.07680519375975,1.88336750678026,-0.193437686979488,-0.0670874200130984,0,0,0.501796649520559,0.470999277689994,2.17538690543671,1.95800754684772
"060912A",0.3688,0.2871,-0.0817,1.33776041227469,0.9368678929189,-0.400892519355788,-0.206979794967655,0,0,0.389336878649862,0.352965173650207,1.45096369700301,1.25405845052889
"060926A",0.5935,0.6232,0.0297,2.9219314633265,3.19952334664066,0.277591883314157,0.0661008072585694,0,0,0.6725966442677,0.565555027262819,3.70540104142015,2.67751986425286
"060927A",0.6481,0.8109,0.1628,3.44733659389797,5.46993622808681,2.02259963418884,0.312615080409677,0,0,0.663987081917937,0.622082777608585,3.61303852880956,3.18873395820928
"061007A",0.43,0.3541,-0.0759,1.69153480392692,1.25995608443438,-0.43157871949254,-0.190967745995187,0,0,0.452258826744787,0.419153421233756,1.83307992512605,1.62514575288393
"061021A",0.4104,0.1291,-0.2813,1.57276429534678,0.346170285535609,-1.22659400981117,-0.911172994227203,0,0,0.426432340478963,0.39586558046165,1.66951484619676,1.48808710521921
"061110A",0.3981,0.245,-0.1531,1.50092115378012,0.757923613958693,-0.742997539821426,-0.422656328137182,0,0,0.424029584242254,0.357601377765357,1.6547864004901,1.27824999380896
"061121A",0.4016,0.3644,-0.0372,1.52115763080741,1.31419526151125,-0.206962369296158,-0.089431679659133,0,0,0.412348550267606,0.387089795921388,1.58433345840262,1.43831491895035
"061126A",0.4738,0.3342,-0.1396,1.9771450877106,1.15873831601281,-0.818406771697783,-0.3791134690236,0,0,0.482972657192473,0.46261427545159,2.04069358019383,1.90144455232091
"061222A",0.528,0.4897,-0.0383,2.37287308658869,2.08816146918451,-0.284711617404176,-0.092194537185052,0,0,0.569278381135963,0.471212703881618,2.70918402904825,1.9594615635616
"070110A",0.4744,0.5253,0.0509,1.98126100817225,2.35196905022163,0.370708042049382,0.110594112444108,0,0,0.506728700674841,0.455495745168462,2.21165362465409,1.85427455000309
"070125A",0.4764,0.4065,-0.0699,1.99502188375113,1.54976408779928,-0.445257795951844,-0.174627055923495,0,0,0.491460499618083,0.463121166959996,2.10070535728163,1.90483298179218
"070208A",0.5392,0.3355,-0.2037,2.46098725485353,1.16520987930793,-1.2957773755456,-0.598453474616406,0,0,0.553515363091728,0.526630374206587,2.57697053823709,2.36225287958156
"070223A",0.4985,0.4199,-0.0786,2.15137438020451,1.62966242003022,-0.521711960174283,-0.198395032077268,0,0,0.5104331957125,0.481100830132144,2.2391659292406,2.02761626805441
"070306A",0.6086,0.3972,-0.2114,3.06069153365635,1.49574379483157,-1.56494773882478,-0.627046631174891,0,0,0.664444854343477,0.575981698451845,3.61790351157205,2.76687924691829
"070411A",0.4797,0.5966,0.1169,2.01786633200869,2.95002641597884,0.93216008397015,0.235988316482981,0,0,0.506533505902065,0.450838578553403,2.21021046300626,1.8238301999412
"070508A",0.4273,0.2601,-0.1672,1.67485349396354,0.820119908460103,-0.854733585503442,-0.469602898979651,0,0,0.462651623354947,0.41230295351767,1.90169407778074,1.58406214245067
"070521A",0.5585,0.4895,-0.069,2.6182619073243,2.08673964568386,-0.531522261640439,-0.17219536554813,0,0,0.585829789724674,0.53854132857368,2.85327309185345,2.45574213739198
