"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.4038,0.4697,0.0659,1.53396142939784,1.94917130750827,0.415209878110435,0.140788660547916,0,0,0.467425080817328,0.354466004939374,1.93376336325705,1.26186148219481
"050318A",0.4458,0.3874,-0.0584,1.79125812334347,1.44005715942821,-0.351200963915265,-0.143931449539307,0,0,0.481313035340775,0.418571642082662,2.02909598506128,1.62163147251555
"050401A",0.4479,0.5911,0.1432,1.80478773734921,2.90031784475066,1.09553010740145,0.280882264217491,0,0,0.478993771074338,0.4181927246326,2.01296281006129,1.61934512368493
"050730A",0.5281,0.6961,0.168,2.37364980873767,3.96706679223423,1.59341698349655,0.320796367382816,0,0,0.546654354315604,0.513105980262626,2.520905381771,2.25916224169713
"050802A",0.4405,0.433,-0.00750000000000001,1.75740145234636,1.71019163189084,-0.0472098204555178,-0.0174193661806049,0,0,0.468610428121234,0.422849272980448,1.94178160589525,1.64758110490216
"050803A",0.4729,0.6532,0.1803,1.97098185911873,3.49987033872151,1.52888847960278,0.3397627852622,0,0,0.482725723843217,0.460515468371479,2.03896517870385,1.88745662059742
"050824A",0.2183,0.2619,0.0436,0.653103327237014,0.82767932897041,0.174576001733396,0.0955178509524098,0,0,0.267614448486905,0.1800875353609,0.851886852797343,0.513866348981442
"060115A",0.5571,0.6561,0.099,2.6066167888196,3.5300187543224,0.923401965502807,0.203840649582681,0,0,0.579634902180176,0.526347330367545,2.7986991726482,2.36006230393677
"060124A",0.4325,0.518,0.0855,1.70707320392136,2.29609712177458,0.589023917853221,0.178703447165446,0,0,0.502987643119762,0.380887153232195,2.18410692378092,1.40373813325528
"060206A",0.5806,0.7031,0.1225,2.80715010380177,4.04777513500947,1.2406250312077,0.245776604152429,0,0,0.624588642678713,0.522058818630618,3.21297267831388,2.32704610059082
"060210A",0.609,0.6911,0.0821000000000001,3.06443329165213,3.91020924883086,0.845775957178732,0.172248455069428,0,0,0.6287670482055,0.590405153718509,3.25370187049849,2.89408254911544
"060306A",0.4942,0.4081,-0.0861,2.12032621659801,1.55917509090989,-0.561151125688118,-0.21927031397004,0,0,0.518832317401197,0.475171433819309,2.30242008838362,1.98656130433169
"060418A",0.4616,0.396,-0.0656,1.89467626417603,1.48885731828239,-0.405818945893639,-0.163054323328467,0,0,0.480983909882607,0.442156122647217,2.02680128647337,1.76793650011817
"060526A",0.4997,0.6254,0.1257,2.16009399044795,3.22085079179884,1.0607568013509,0.251313503763733,0,0,0.520096843609165,0.486282703524403,2.31204968860207,2.06395726435462
"060604A",0.5179,0.4963,-0.0216,2.29533825473596,2.13545086914429,-0.15988738559167,-0.0509934271862169,0,0,0.536366641925517,0.491364786307143,2.43848110308478,2.10002207419258
"060605A",0.581,0.6794,0.0984,2.81065823393773,3.7796929697961,0.969034735858371,0.202739954633469,0,0,0.603831002846362,0.547913479108338,3.0163449227556,2.5311281504336
"060614A",0.3611,0.0512,-0.3099,1.29667741675161,0.125122992965767,-1.17155442378584,-1.04126787125529,0,0,0.391159087565895,0.335196940976915,1.46126903303597,1.16369948135988
"060708A",0.4716,0.4654,-0.00620000000000004,1.96210193605276,1.92011530139416,-0.0419866346586075,-0.0143784167147653,0,0,0.482707017248141,0.455573759601147,2.03883428257438,1.85478732329468
"060714A",0.5717,0.5695,-0.00219999999999998,2.72992414752473,2.71107729492926,-0.0188468525954759,-0.00507853949073706,0,0,0.60965930337977,0.546708588114262,3.07060820239244,2.5213450926236
"060729A",0.3811,0.1875,-0.1936,1.4049164887444,0.539926526059492,-0.864989962684911,-0.561708593265374,0,0,0.429223513233512,0.319448441596424,1.68672683600233,1.08664438777155
"060906A",0.6198,0.6708,0.0509999999999999,3.1667745222191,3.68597535308626,0.519200830867162,0.110798882142051,0,0,0.639038991713986,0.587905302468763,3.35550976454437,2.87173212936964
"060908A",0.5409,0.4599,-0.0810000000000001,2.47456147497044,1.88336750678026,-0.591193968190177,-0.205035940371798,0,0,0.554515563985989,0.528394531451637,2.58521796536123,2.37593853915067
"060927A",0.6572,0.8109,0.1537,3.54150712632555,5.46993622808681,1.92842910176126,0.29805998603042,0,0,0.688911792659946,0.634081274461023,3.8855312172934,3.30607187367543
"061121A",0.3898,0.3644,-0.0254,1.45357874070603,1.31419526151125,-0.139383479194778,-0.0602297833345987,0,0,0.410226228771084,0.359271445906753,1.57173507899271,1.28702781155887
"070110A",0.4952,0.5253,0.0301,2.12751931140798,2.35196905022163,0.224449738813646,0.0669605642089105,0,0,0.512087873330234,0.473390812421849,2.2515308084536,1.97434137473094
"070208A",0.5592,0.3355,-0.2237,2.62409855899744,1.16520987930793,-1.45888867968951,-0.673786266001993,0,0,0.578948864257838,0.545604247133234,2.79270325388527,2.51240225362512
"070223A",0.5404,0.4199,-0.1205,2.47056354007988,1.62966242003022,-0.840901120049653,-0.319775311707116,0,0,0.565076714932074,0.490511948554933,2.67347183950674,2.09394043651643
"070306A",0.5989,0.3972,-0.2017,2.97100103263891,1.49574379483157,-1.47525723780734,-0.591109248017542,0,0,0.623507208402719,0.58282559118234,3.20249502904135,2.82671035156327
"070508A",0.3981,0.2601,-0.138,1.50092115378012,0.820119908460103,-0.680801245320016,-0.374041975012515,0,0,0.415204109316519,0.377399404938679,1.60138187094451,1.38451141024248
"070521A",0.5909,0.4895,-0.1014,2.89852209552348,2.08673964568386,-0.811782449839621,-0.262990256069936,0,0,0.62260176149334,0.566321046322803,3.1937425063984,2.68401208618721
"070802A",0.5766,0.5378,-0.0388000000000001,2.77224594184861,2.44984831362751,-0.322397628221108,-0.0934526967309201,0,0,0.600069878446873,0.551919295935016,2.98171231576856,2.56384900987339
"071003A",0.4496,0.4157,-0.0339,1.81578829971031,1.60435390455169,-0.21143439515862,-0.0811849705944693,0,0,0.472348289875149,0.431769480154348,1.9672100403527,1.70252350666874
"071020A",0.3705,0.4976,0.1271,1.34692926268646,2.14485046547696,0.797921202790496,0.253723097981856,0,0,0.408065431825621,0.345747167991956,1.55897139849884,1.21690543439431
"071117A",0.4692,0.3675,-0.1017,1.94577790233946,1.33077311528264,-0.615004787056821,-0.263863000231253,0,0,0.507442241930856,0.43870926511329,2.21693467487338,1.74605521345018
"080607A",0.5295,0.606,0.0765,2.38454271866309,3.03645392967605,0.651911211012957,0.161505921378193,0,0,0.59365942951798,0.492968232168855,2.92337146878701,2.11148872918573
"080710A",0.5465,0.266,-0.2805,2.51965422524766,0.845015419179474,-1.67463880606818,-0.907655723990068,0,0,0.559812168798436,0.516473748940686,2.62921058435443,2.28453390240028
"080810A",0.5181,0.6385,0.1204,2.29685616356891,3.35010760630697,1.05325144273806,0.242120779083951,0,0,0.554608806110683,0.496998116558357,2.58598778686052,2.14049507419585
"081007A",0.371,0.1845,-0.1865,1.34963282084831,0.529325746418779,-0.820307074429528,-0.536384793331598,0,0,0.396682943806219,0.343837613082848,1.49277421550483,1.20717929297285
"081029A",0.5778,0.6856,0.1078,2.7826834558939,3.84841738708446,1.06573393119057,0.219810681734939,0,0,0.606454179870316,0.512402197869272,3.04067741199485,2.25388498495879
"081221A",0.3807,0.5132,0.1325,1.40270249853833,2.25986788904468,0.857165390506353,0.262944824662066,0,0,0.401381717562688,0.358108515287653,1.5198907803678,1.2809119224214
"081230A",0.4336,0.4914,0.0578,1.71393848764159,2.10027344199819,0.386334954356603,0.124613187057333,0,0,0.461067063886389,0.399151223874303,1.89112629650161,1.50698204685351
"090102A",0.4686,0.406,-0.0626,1.94171096975272,1.54683025258504,-0.394880717167677,-0.15504791368285,0,0,0.480230296883305,0.452420333658756,2.02155355954782,1.83413369648445
"090205A",0.4801,0.752,0.2719,2.02064717004684,4.64936974812302,2.62872257807619,0.465312538438392,0,0,0.50700231653133,0.45748279956585,2.21367768038511,1.86736381006037
"090423A",0.7126,0.9666,0.254,4.15940951190331,8.25976574561247,4.10035623370915,0.44281425106807,0,0,0.746592781114332,0.665746305724813,4.57946787158629,3.6317627504371
"090424A",0.282,0.1886,-0.0934,0.914255925021086,0.54383186282482,-0.370424062196266,-0.239938085950943,0,0,0.316010352438376,0.238107248524954,1.07019069610506,0.730243588133705
"090519A",0.8205,0.6857,-0.1348,5.6145453748406,3.84953390498341,-1.76501146985719,-0.363954867506638,0,0,0.875559980535202,0.756466563548508,6.50861748690156,4.70777130192098
"090530A",0.4794,0.3553,-0.1241,2.0157823836532,1.26620920889567,-0.749573174757522,-0.330760801701442,0,0,0.507374409133171,0.451711429124956,2.21643225854653,1.8295112768185
"090618A",0.2931,0.1875,-0.1056,0.963812409298284,0.539926526059492,-0.423885883238792,-0.27526370645973,0,0,0.314799147513578,0.279259884781439,1.06442517976332,0.902216238585431
"090809A",0.5061,0.5725,0.0664,2.20700768030363,2.73680125382116,0.529793573517529,0.141777294945985,0,0,0.549473900461918,0.490250469390996,2.54383832445895,2.09207820362992
"090812A",0.5356,0.5381,0.00250000000000006,2.4324166501212,2.45223220769057,0.0198155575693653,0.00573992604704341,0,0,0.557221352438693,0.51531638176221,2.60762470606182,2.27579248124555
"090927A",0.3944,0.3747,-0.0197,1.4797048987987,1.36973618438321,-0.109968714415488,-0.0464054670474259,0,0,0.437331044693786,0.374309778465814,1.73735450320348,1.36760788938398
"091018A",0.3281,0.2947,-0.0334,1.12862912452723,0.971060705241034,-0.1575684192862,-0.0799409266631044,0,0,0.342303128150814,0.313695589428021,1.19939446691171,1.05918605945926
"091029A",0.4932,0.5743,0.0811,2.11314966544702,2.7523211390275,0.639171473580475,0.170340290689014,0,0,0.51911857739396,0.456523451666442,2.30459755647674,1.86103685089397
"091127A",0.1546,0.1732,0.0186,0.427578504421755,0.490047111787099,0.0624686073653438,0.0419239142649802,0,0,0.180724280302158,0.133115071925764,0.516087546290925,0.358673396942913
"050416A",0.2788,0.2182,-0.0606,0.900203002577233,0.65272272994873,-0.247480272628502,-0.149740950580488,0,0,0.34105260911702,0.232499815174404,1.1930705811825,0.708046993154617
"050820A",0.46,0.5581,0.0981,1.88403150312661,2.61493089917358,0.73089939604697,0.202189036646334,0,0,0.478212356045149,0.422534398599855,2.00754653675618,1.64566223796354
"050922C",0.3964,0.5049,0.1085,1.49115069656386,2.19815862166661,0.707007925102745,0.221067185446328,0,0,0.427656075444255,0.366468483607383,1.67704748961971,1.32524373872882
"051109A",0.502,0.5245,0.0225,2.17687407064977,2.34580017853301,0.168926107883238,0.0504890007978017,0,0,0.517008506557984,0.481867527473692,2.28858072180166,2.03296589972496
"060223A",0.6745,0.7332,0.0587,3.72606836898339,4.41003406863468,0.683965699651288,0.126425396027848,0,0,0.7324173693211,0.636863330731833,4.40029356752315,3.33374477176958
"060510B",0.5775,0.7709,0.1934,2.78007137301811,4.90065196995666,2.12058059693855,0.359380727373102,0,0,0.613177326219536,0.551672481819702,3.1037162709306,2.56182421246249
"060912A",0.3917,0.2871,-0.1046,1.46433644583491,0.9368678929189,-0.52746855291601,-0.272330681325459,0,0,0.426839500301841,0.344837460477385,1.67201874366918,1.21226658936176
"061222A",0.593,0.4897,-0.1033,2.91741877107783,2.08816146918451,-0.829257301893318,-0.268527831257573,0,0,0.650757413059137,0.557578801160936,3.47463291621162,2.61059520585659
"070721B",0.6524,0.6652,0.0128,3.49158890105932,3.6259400476616,0.134351146602286,0.0290429934711756,0,0,0.711217565271849,0.592649372545581,4.14301232715679,2.91425732116616
"070810A",0.5247,0.5011,-0.0236000000000001,2.34734133129236,2.17029736695272,-0.177043964339632,-0.0558445924300803,0,0,0.54100865513512,0.500442172546403,2.47543087624715,2.16549894085191
"080319B",0.2784,0.2871,0.00870000000000004,0.898453656661504,0.9368678929189,0.0384142362573963,0.019833173133716,0,0,0.316784802263184,0.22921311670774,1.07388562945972,0.695169448835038
