"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3077,0.4697,0.162,1.03095359322822,1.94917130750827,0.91821771428005,0.311347703655724,0,0,0.333667116722821,0.274255595420251,1.15609114885661,0.880423177045072
"050318A",0.4887,0.3874,-0.1013,2.08105889489974,1.44005715942821,-0.64100173547153,-0.262699475294972,0,0,0.520931025134318,0.454928521610367,2.31841750095364,1.85054907106255
"050802A",0.4738,0.433,-0.0408,1.9771450877106,1.71019163189084,-0.266953455819754,-0.0984998450583757,0,0,0.496645770226752,0.464617705142057,2.13794820055724,1.9148600308869
"050803A",0.5122,0.6532,0.141,2.25237040095297,3.49987033872151,1.24749993776853,0.27723019639783,0,0,0.523306748431285,0.49795381122942,2.33661999817765,2.14741355761776
"050824A",0.2062,0.2619,0.0557,0.607681447230714,0.82767932897041,0.219997881739696,0.120370066155767,0,0,0.256944651273973,0.13319928808152,0.806943825106391,0.358936889457766
"060115A",0.5676,0.6561,0.0885,2.69487712253932,3.5300187543224,0.835141631783082,0.184357212867213,0,0,0.593602833428776,0.543676496598612,2.92286021887897,2.49684591997217
"060124A",0.3686,0.518,0.1494,1.33668408167273,2.29609712177458,0.959413040101846,0.291075476436602,0,0,0.453179536931108,0.311771453525988,1.83909246403558,1.05008304340936
"060206A",0.4509,0.7031,0.2522,1.82422959714411,4.04777513500947,2.22354553786536,0.440500117060223,0,0,0.466632635285217,0.423189158657627,1.92841508458427,1.64965395444142
"060210A",0.4736,0.6911,0.2175,1.97577437737281,3.91020924883086,1.93443487145805,0.393961799472934,0,0,0.499854460089923,0.436676724728388,2.16121810146541,1.73323343514646
"060306A",0.4391,0.4081,-0.031,1.74852695196467,1.55917509090989,-0.189351861054775,-0.0739894123412448,0,0,0.475877289956349,0.390692219523445,1.99141929071775,1.45862458212112
"060418A",0.486,0.396,-0.09,2.06196343369068,1.48885731828239,-0.573106115408286,-0.230268770812381,0,0,0.518869405729499,0.461790860659844,2.30270212390461,1.89594867555261
"060526A",0.475,0.6254,0.1504,1.98538261891796,3.22085079179884,1.23546817288089,0.292705957595424,0,0,0.489856743642796,0.463701764741252,2.08927623591409,1.90871897966687
"060604A",0.5066,0.4963,-0.0103,2.21070201056191,2.13545086914429,-0.0752511414176142,-0.0240001022367004,0,0,0.526121812314419,0.489790856370272,2.3583179621746,2.08880759411784
"060605A",0.6011,0.6794,0.0783,2.99116791820092,3.7796929697961,0.78852505159518,0.164973996567988,0,0,0.628713366851087,0.579717696503201,3.2531761204017,2.79942342939265
"060707A",0.5314,0.6459,0.1145,2.3993822312328,3.42486474355665,1.02548251232385,0.231754544320733,0,0,0.576445174573873,0.486621326317614,2.77090138068695,2.06634718731933
"060714A",0.5422,0.5695,0.0273,2.48497767240449,2.71107729492926,0.226099622524772,0.0609256031486356,0,0,0.570476698838681,0.510831428947691,2.71943264789318,2.242137496182
"060729A",0.3047,0.1875,-0.1172,1.01697260703311,0.539926526059492,-0.477046080973619,-0.309784962399686,0,0,0.333022502953495,0.280421461601941,1.15289328392512,0.907310772155628
"060814A",0.4798,0.4658,-0.014,2.0185613014198,1.92280606593193,-0.0957552354878697,-0.0327614057613974,0,0,0.496753996392764,0.461227674391938,2.13873027455477,1.89219568869506
"060908A",0.5377,0.4599,-0.0778,2.4490540481442,1.88336750678026,-0.565686541363942,-0.196189538806179,0,0,0.577776825480982,0.511238150227456,2.78248161236489,2.24517521372702
"060926A",0.5559,0.6232,0.0673,2.59666509346148,3.19952334664066,0.602858253179182,0.143553971109943,0,0,0.654577419311267,0.480646372809827,3.5141648972709,2.02444974674318
"061121A",0.4116,0.3644,-0.0472,1.57988293604037,1.31419526151125,-0.265687674529119,-0.114807803363842,0,0,0.424074807328962,0.389729102541029,1.65506285780559,1.45317823296883
"070110A",0.5115,0.5253,0.0138,2.24713242167802,2.35196905022163,0.104836628543604,0.0312761326172366,0,0,0.543415466618797,0.484190510129363,2.49474479411854,2.04923229016551
"070208A",0.5787,0.3355,-0.2432,2.79053053942886,1.16520987930793,-1.62532066012093,-0.75065270838337,0,0,0.602294453446856,0.556877359503386,3.00216005894129,2.60476833529664
"070223A",0.5375,0.4199,-0.1176,2.44746606573149,1.62966242003022,-0.81780364570127,-0.310991874649778,0,0,0.558115204984542,0.509543453637945,2.61505746290608,2.23253662092698
"070306A",0.4654,0.3972,-0.0682,1.92011530139416,1.49574379483157,-0.424371506562586,-0.170038089423047,0,0,0.537082891904014,0.432317944239469,2.44415661613691,1.70593863968605
"070508A",0.433,0.2601,-0.1729,1.71019163189084,0.820119908460103,-0.89007172343074,-0.489018179128526,0,0,0.441436283593189,0.425909134757375,1.76335247122183,1.66630074950927
"070521A",0.5333,0.4895,-0.0438,2.41428680757969,2.08673964568386,-0.327547161895829,-0.106114282218079,0,0,0.556906218652432,0.480490191512464,2.60500788244155,2.02336228747431
"070529A",0.6525,0.544,-0.1085,3.49262324670293,2.49945167028357,-0.99317157641936,-0.283807770472475,0,0,0.682888606144925,0.609562588391105,3.8182419684068,3.06970180129907
"071003A",0.4708,0.4157,-0.0551,1.95665056508294,1.60435390455169,-0.352296660531253,-0.135272191661639,0,0,0.497649962881199,0.439659114259833,2.14521228179115,1.75206770669976
"071020A",0.3379,0.4976,0.1597,1.17720839387284,2.14485046547696,0.967642071604125,0.307690964078118,0,0,0.375445913169633,0.273387818826239,1.37380977117357,0.87666959943348
"071117A",0.4788,0.3675,-0.1113,2.01161880307882,1.33077311528264,-0.680845687796185,-0.29211152442593,0,0,0.524009524482986,0.453782415960143,2.34202369315362,1.84303637295998
"080310A",0.4469,0.534,0.0871,1.79833690456202,2.41979442513709,0.621457520575068,0.181723648651821,0,0,0.478265453323215,0.409648870768343,2.00791426488512,1.56831844497689
"080411A",0.2707,0.3075,0.0368,0.865090886606934,1.03001851985968,0.16492763325275,0.0812443983339373,0,0,0.291702925365868,0.252312754877978,0.957505204309167,0.787774567801025
"080810A",0.5215,0.6385,0.117,2.32276785211076,3.35010760630697,1.02733975419621,0.236164216422309,0,0,0.55098447973219,0.494637403340572,2.55618609693067,2.12347046250515
