"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3949,0.4829,0.088,1.48256140858989,2.04018491662944,0.557623508039548,0.183417628641408,0,0,0.421051978053511,0.352926132598769,1.63664693110654,1.25385583027865
"050315A",0.3805,0.4697,0.0892,1.4015962678857,1.94917130750827,0.547575039622578,0.185670814790755,0,0,0.403146819966451,0.357399754242186,1.53015320930305,1.2771925496127
"050318A",0.4299,0.3874,-0.0425,1.69091512648098,1.44005715942821,-0.250857967052768,-0.102808233849552,0,0,0.448822627689705,0.403249316616687,1.81075264286233,1.5307504142962
"050401A",0.4264,0.5911,0.1647,1.66931606362429,2.90031784475066,1.23100178112637,0.315615760080462,0,0,0.459549349811422,0.407875450751867,1.88104040996293,1.55785222743903
"050416A",0.2932,0.2182,-0.075,0.964264645879856,0.65272272994873,-0.311541915931125,-0.188502227437018,0,0,0.30967644602662,0.276514317109945,1.04021739483157,0.890228544121883
"050502A",0.4994,0.6803,0.1809,2.15791182863225,3.78960832497788,1.63169649634563,0.340674306881485,0,0,0.518712505387324,0.466607764002408,2.30150915111684,1.92824738419363
"050502B",0.4536,0.6806,0.227,1.84184246806359,3.79291801219085,1.95107554412726,0.40707467542,0,0,0.482112675817547,0.437190995283497,2.03467841620587,1.7364719152508
"050505A",0.5637,0.7218,0.1581,2.66184535945298,4.26987118996723,1.60802583051426,0.305135699251172,0,0,0.582636515523869,0.544935223001614,2.82504470686416,2.50699561615756
"050525A",0.4565,0.2068,-0.2497,1.86088236062721,0.609904076215706,-1.2509782844115,-0.777051442314559,0,0,0.482785530958408,0.442322003509757,2.03938370636943,1.76899392868618
"050603A",0.442,0.5821,0.1401,1.76694164541151,2.82032226884411,1.0533806234326,0.275730828266305,0,0,0.482682632501116,0.425497035795209,2.03866366303386,1.66377191557255
"050730A",0.4579,0.6961,0.2382,1.87011963646444,3.96706679223423,2.09694715576979,0.422170114371779,0,0,0.486605767022346,0.427404834105999,2.06623733248894,1.67549925331312
"050801A",0.39,0.4082,0.0182,1.45470891568503,1.559764430599,0.105055514913968,0.0410410870852612,0,0,0.431973642293479,0.363188033672795,1.70379426352434,1.30774614236988
"050802A",0.4181,0.433,0.0149,1.61878593654756,1.71019163189084,0.0914056953432865,0.0337266539634006,0,0,0.431260530590792,0.394183907588465,1.69935827527021,1.47847137605021
"050803A",0.4415,0.6532,0.2117,1.76375791917037,3.49987033872151,1.73611241955114,0.385813876593698,0,0,0.467890376304592,0.415898277375825,1.93690823022196,1.60554319517171
"050824A",0.2562,0.2619,0.00570000000000004,0.803848252431749,0.82767932897041,0.0238310765386607,0.0130389812703553,0,0,0.312253101348515,0.186640693801284,1.05235791867976,0.536882600333774
"050904A",0.6347,0.8627,0.228,3.31221096940127,6.28953792855699,2.97732695915572,0.408438365824526,0,0,0.670239271971164,0.606211090400367,3.67992908192534,3.03841633955634
"050908A",0.3577,0.6375,0.2798,1.27876741143295,3.34010263644744,2.06133522501449,0.474950801325238,0,0,0.381650177629597,0.344759432299699,1.40796504163665,1.21186915482896
"051016B",0.3624,0.287,-0.0754,1.30356250011753,0.936421963946607,-0.367140536170928,-0.189597382701992,0,0,0.371747995948953,0.346379317283286,1.35368313758094,1.22013466176657
"051028A",0.4405,0.6628,0.2223,1.75740145234636,3.60044666393478,1.84304521158842,0.400623101673361,0,0,0.454077271769222,0.426264418368369,1.84496725271617,1.66848286459427
"051109A",0.4536,0.5245,0.0709,1.84184246806359,2.34580017853301,0.503957710469419,0.150623971420308,0,0,0.476038119886485,0.434227728221156,1.99252729201635,1.71786404425061
"051111A",0.3511,0.4065,0.0554,1.24439865617831,1.54976408779928,0.305365431620969,0.119762229408656,0,0,0.370209173606825,0.324706560440865,1.34535816170172,1.11206150196478
"060115A",0.5514,0.6561,0.1047,2.55959018006083,3.5300187543224,0.970428574261575,0.214221756440991,0,0,0.574706537857538,0.532795532255155,2.7558352863763,2.41032314312201
"060124A",0.3728,0.518,0.1452,1.35939144304405,2.29609712177458,0.936705678730529,0.284186310088526,0,0,0.43220816887573,0.327740376341348,1.70525475381526,1.12686721280773
"060206A",0.5307,0.7031,0.1724,2.39390748774429,4.04777513500947,1.65386764726518,0.327642892765681,0,0,0.561763051217118,0.495479512920627,2.64554993371438,2.12953283786672
