"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3603,0.4829,0.1226,1.29245067477344,2.04018491662944,0.747734241856,0.245950250514692,0,0,0.408727663812193,0.328401455147045,1.56287641103521,1.13010717453617
"011211A",0.5595,0.4969,-0.0626,2.62660286244888,2.13978564827282,-0.486817214176057,-0.15504791368285,0,0,0.621043962455519,0.484551107848179,3.17872664625112,2.05176514024903
"030329A",0.2414,0.0682,-0.1732,0.743411875825708,0.170038089423047,-0.57337378640266,-0.490047111787099,0,0,0.259929357504723,0.225833730412512,0.819404889491367,0.682029972821351
"050315A",0.356,0.4697,0.1137,1.26986485188382,1.94917130750827,0.679306455624453,0.230338079681913,0,0,0.371374132202283,0.328380722792654,1.3516578340488,1.13000548988535
"050318A",0.4133,0.3874,-0.0259,1.59000140694793,1.44005715942821,-0.149944247519725,-0.0614511209052424,0,0,0.433975200778238,0.390288088408432,1.71628415828781,1.45633778231129
"050319A",0.3951,0.6274,0.2323,1.48370493365443,3.24033335385019,1.75662842019575,0.414266585574162,0,0,0.412939873623148,0.366882744696402,1.58785461197493,1.32746278042021
"050401A",0.4337,0.5911,0.1574,1.71456346702273,2.90031784475066,1.18575437772792,0.304014807235211,0,0,0.448428085551849,0.41864523375829,1.80820032679908,1.62207574848042
"050416A",0.3473,0.2182,-0.1291,1.22484622928627,0.65272272994873,-0.572123499337543,-0.346170285535609,0,0,0.373306210768223,0.316098428486869,1.36214313743135,1.07061057872829
"050502A",0.5163,0.6803,0.164,2.28322011609199,3.78960832497788,1.50638820888589,0.314511773547339,0,0,0.532065643862573,0.489849410451874,2.40459646484873,2.08922407301051
"050502B",0.5247,0.6806,0.1559,2.34734133129236,3.79291801219085,1.4455766808985,0.301606803459115,0,0,0.568024284706073,0.479011154397923,2.69848860263499,2.01308341107714
"050505A",0.5544,0.7218,0.1674,2.58426408043714,4.26987118996723,1.68560710953009,0.319857364396144,0,0,0.5826261067632,0.516590679089777,2.82495303289763,2.2854183546836
"050525A",0.4395,0.2068,-0.2327,1.75105960499037,0.609904076215706,-1.14115552877466,-0.70883448624908,0,0,0.472603339065995,0.413356787540471,1.96895311288589,1.59034009286776
"050730A",0.4303,0.6961,0.2658,1.69339469261079,3.96706679223423,2.27367209962344,0.457749451482757,0,0,0.45723127294431,0.409520801880292,1.86570362428481,1.56756118646198
"050801A",0.3686,0.4082,0.0396,1.33668408167273,1.559764430599,0.223080348926267,0.0871487806688778,0,0,0.426296309816876,0.345121203558899,1.66867882588809,1.21371242960751
"050802A",0.4418,0.433,-0.00880000000000003,1.76566771505015,1.71019163189084,-0.0554760831593075,-0.0204694319421992,0,0,0.462132606915293,0.423826137527724,1.89822839392026,1.65354304809764
"050820A",0.4219,0.5581,0.1362,1.64180039026406,2.61493089917358,0.973130508909516,0.269197540990891,0,0,0.451817017835053,0.402309206815372,1.83019929101202,1.5252780674516
"050824A",0.2483,0.2619,0.0136,0.77133212868698,0.82767932897041,0.0563472002834293,0.030829916052709,0,0,0.291923943530271,0.222628966149602,0.958501657943588,0.66966354943093
"050904A",0.5733,0.8627,0.2894,2.74369103989045,6.28953792855699,3.54584688866654,0.486429582151645,0,0,0.620183077296288,0.530572160615952,3.17045152243177,2.3929086005626
"050922C",0.3916,0.5049,0.1133,1.46376907672177,2.19815862166661,0.734389544944837,0.229628868302391,0,0,0.404396160502245,0.373168473558341,1.53744221282206,1.36139409863241
"051016B",0.3627,0.287,-0.0757,1.30515429444259,0.936421963946607,-0.368732330495979,-0.190419411347963,0,0,0.389854806034441,0.337257054078185,1.45388839098192,1.17398755720856
"051028A",0.4227,0.6628,0.2401,1.64667125127335,3.60044666393478,1.95377541266143,0.424692547351557,0,0,0.44811789398732,0.402265207775344,1.8061953069749,1.52502224061695
"051109A",0.4329,0.5245,0.0916,1.70956765904605,2.34580017853301,0.636232519486956,0.190158552674212,0,0,0.446099752474856,0.416426288472746,1.79318533028395,1.60871291625338
"051111A",0.3391,0.4065,0.0674,1.1832325618462,1.54976408779928,0.366531525953077,0.143751152393645,0,0,0.375757418585917,0.322388485487459,1.37551303909119,1.10081826920336
