"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.384,0.4829,0.0989,1.42102904673618,2.04018491662944,0.619155869893264,0.20365730601009,0,0,0.402745357380033,0.364152811446195,1.52781541190439,1.31287845957357
"011211A",0.595,0.4969,-0.0981,2.93550075455777,2.13978564827282,-0.795715106284955,-0.253429754582984,0,0,0.631944433960978,0.556625050937608,3.28493693036059,2.6026747102998
"030329A",0.1931,0.0682,-0.1249,0.559911644407544,0.170038089423047,-0.389873554984497,-0.333214412854496,0,0,0.230655920761238,0.170507597106766,0.700810470412313,0.480838159320337
"050315A",0.3224,0.4697,0.1473,1.10087396924099,1.94917130750827,0.848297338267284,0.287639221264499,0,0,0.362220489837886,0.29188008559712,1.30261054828148,0.958303885461207
"050318A",0.4118,0.3874,-0.0244,1.58107128964594,1.44005715942821,-0.141014130217731,-0.0577913224995008,0,0,0.425500151733744,0.382424508615094,1.66379102744175,1.41226218385764
"050401A",0.3691,0.5911,0.222,1.33937583784156,2.90031784475066,1.56094200690909,0.400208923744491,0,0,0.417433376556036,0.33786087142903,1.61476929568121,1.1770122430602
"050416A",0.1873,0.2182,0.0309,0.539217526952458,0.65272272994873,0.113505202996273,0.0686777043356775,0,0,0.228123330759583,0.132129744401521,0.690921050498392,0.355594332315074
"050502A",0.4994,0.6803,0.1809,2.15791182863225,3.78960832497788,1.63169649634563,0.340674306881485,0,0,0.520735024847303,0.47936202366234,2.31692021267526,2.01551868386507
"050502B",0.4708,0.6806,0.2098,1.95665056508294,3.79291801219085,1.83626744710791,0.383120980254062,0,0,0.498362767957706,0.442755213937644,2.15037873959715,1.77175738890742
"050505A",0.5699,0.7218,0.1519,2.71449689797622,4.26987118996723,1.55537429199101,0.295144650774791,0,0,0.584459461500628,0.55275780182872,2.8411340307567,2.57073649104405
"050525A",0.413,0.2068,-0.2062,1.58821291515309,0.609904076215706,-0.978308838937386,-0.607681447230714,0,0,0.437482878001628,0.402160335394114,1.73831167458671,1.52441257796547
"050730A",0.4057,0.6961,0.2904,1.54507157206951,3.96706679223423,2.42199522016472,0.48761076133532,0,0,0.431541605366613,0.381933698369747,1.70110586159339,1.40953754820575
"050801A",0.3843,0.4082,0.0239,1.42270201210924,1.559764430599,0.137062418489759,0.0535449343897969,0,0,0.418493037445303,0.360630326564634,1.62115701623766,1.29419498755535
"050802A",0.4012,0.433,0.0318,1.51883662784174,1.71019163189084,0.191355004049104,0.0706057098684197,0,0,0.41410761817477,0.381522206529471,1.59482227943179,1.40725560471691
"050820A",0.3739,0.5581,0.1842,1.36537498705761,2.61493089917358,1.24955591211597,0.345665227626242,0,0,0.395309704690297,0.349703124805072,1.48490451219874,1.23719131561877
"050824A",0.1734,0.2619,0.0885,0.490733461866407,0.82767932897041,0.336945867104002,0.184357212867213,0,0,0.216376047322891,0.128487348416235,0.645796169992817,0.344272605627577
"050904A",0.6266,0.8627,0.2361,3.23252956091984,6.28953792855699,3.05700836763716,0.419369293033133,0,0,0.684028440523649,0.594848074081803,3.83090437014907,2.93412426919447
"050922C",0.4022,0.5049,0.1027,1.52464314594825,2.19815862166661,0.673515475718359,0.210594768863397,0,0,0.426917424102543,0.371644603042324,1.67249821680402,1.35312286065932
"051016B",0.3458,0.287,-0.0588,1.21717513777523,0.936421963946607,-0.280753173828625,-0.144985534690189,0,0,0.38617886090509,0.309031123906995,1.4332059002375,1.03718806846242
"051028A",0.4166,0.6628,0.2462,1.60975657249414,3.60044666393478,1.99069009144064,0.432716698369021,0,0,0.46006883242715,0.396751287317681,1.88448863677441,1.49316652615085
"051109A",0.4175,0.5245,0.107,1.615170448138,2.34580017853301,0.730629730395012,0.21837219541167,0,0,0.432158657798425,0.403282464107888,1.70494636296919,1.53094358098848
"051111A",0.2847,0.4065,0.1218,0.926193885924948,1.54976408779928,0.623570201874334,0.244559959432381,0,0,0.309121492752121,0.269218036268144,1.037612014646,0.858737394528
"060115A",0.5368,0.6561,0.1193,2.44191388268429,3.5300187543224,1.08810487163811,0.240198756484148,0,0,0.573343120592486,0.502753987205017,2.74406276506041,2.18239429480213
"060124A",0.3426,0.518,0.1754,1.20089842688808,2.29609712177458,1.0951986948865,0.332271366535723,0,0,0.370194826236721,0.313147631364651,1.34528068163426,1.05658958144233
"060206A",0.5719,0.7031,0.1312,2.73164223664703,4.04777513500947,1.31613289836244,0.260735247343773,0,0,0.587385260196689,0.557530973632653,2.86709873098371,2.61019760389943
"060223A",0.746,0.7332,-0.0128,4.5718574893193,4.41003406863468,-0.161823420684621,-0.0299117193406992,0,0,0.759316543905014,0.735308225658609,4.74535070594894,4.43636021688764
"060418A",0.3917,0.396,0.00430000000000003,1.46433644583491,1.48885731828239,0.0245208724474808,0.00985226122339674,0,0,0.408654794134273,0.370442071768065,1.56244642557715,1.34661623914673
"060502A",0.4193,0.3984,-0.0209,1.62603191557853,1.50264932573108,-0.123382589847449,-0.0493007903979541,0,0,0.434625901861202,0.395194869229558,1.72035700260969,1.48424754453467
"060510B",0.5244,0.7709,0.2465,2.34502986826014,4.90065196995666,2.55562210169653,0.43310842847681,0,0,0.58703644488529,0.476200258735204,2.8639940134585,1.99364472623258
"060512A",0.3992,0.1584,-0.2408,1.50726362477712,0.44012437117557,-1.06713925360155,-0.741004926352607,0,0,0.419447809828879,0.371260647308433,1.62692582375538,1.35104340585523
"060604A",0.5451,0.4963,-0.0488,2.50832646855166,2.13545086914429,-0.372875599407364,-0.118922481955243,0,0,0.581273740425312,0.525626449931511,2.81306088943205,2.35448960131728
"060605A",0.591,0.6794,0.0884,2.89941986676543,3.7796929697961,0.880273103030667,0.184169382550992,0,0,0.632098704107342,0.554514353163429,3.2864592966255,2.58520796970868
"060607A",0.4914,0.6101,0.1187,2.10027344199819,3.0747409137987,0.974467471800514,0.239148326829953,0,0,0.519426894639543,0.476623762378872,2.30694441144259,1.99656541222405
"060707A",0.4555,0.6459,0.1904,1.85430251378658,3.42486474355665,1.57056222977007,0.354940166715169,0,0,0.515581860135563,0.408200117979911,2.27779554127298,1.55976512598158
