"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3872,0.4829,0.0957,1.43893373027891,2.04018491662944,0.601251186350529,0.197767965712138,0,0,0.412069393018968,0.357279854361016,1.58267282573468,1.27656394980031
"011211A",0.6104,0.4969,-0.1135,3.07755661750212,2.13978564827282,-0.937770969229305,-0.298673563829164,0,0,0.643873612427469,0.54431921309614,3.40426672703239,2.50202476637782
"030329A",0.1888,0.0682,-0.1206,0.544542987401423,0.170038089423047,-0.374504897978376,-0.320079236192256,0,0,0.224602577769979,0.167598308620656,0.677268449784935,0.470951348099804
"050315A",0.3287,0.4697,0.141,1.13157196671691,1.94917130750827,0.817599340791363,0.27723019639783,0,0,0.373476520366516,0.296221255545882,1.36306963904837,0.977977083118529
"050318A",0.3977,0.3874,-0.0103,1.49861878071788,1.44005715942821,-0.0585616212896696,-0.0240001022367003,0,0,0.41959937054044,0.357219276126511,1.627842732082,1.27624642191843
"050401A",0.3771,0.5911,0.214,1.3828680818473,2.90031784475066,1.51744976290335,0.389057975094428,0,0,0.43563521826058,0.347807000095531,1.72668656487141,1.22744505559476
"050416A",0.23,0.2182,-0.0118,0.698243652461744,0.65272272994873,-0.0455209225130142,-0.0275429881178111,0,0,0.260245989247503,0.144598970840255,0.820731849465058,0.39507954439455
"050502A",0.5001,0.6803,0.1802,2.1630058853452,3.78960832497788,1.62660243963268,0.339610742521455,0,0,0.531417814901892,0.47846825607043,2.39952167786538,2.00931920036791
"050502B",0.4839,0.6806,0.1967,2.04719326666311,3.79291801219085,1.74572474552774,0.364230045472814,0,0,0.529471495084514,0.463298543457453,2.3843205815139,1.90601962900042
"050505A",0.5595,0.7218,0.1623,2.62660286244888,4.26987118996723,1.64326832751836,0.311823243544701,0,0,0.578566229792624,0.546949205806254,2.78936317029607,2.52329660876572
"050525A",0.4228,0.2068,-0.216,1.64728074001756,0.609904076215706,-1.03737666380186,-0.644371723214932,0,0,0.44467202160671,0.396577524083493,1.78401788934816,1.49216919820459
"050801A",0.4106,0.4082,-0.00240000000000001,1.5739493699422,1.559764430599,-0.0141849393431976,-0.00554150185604317,0,0,0.441722440894857,0.375707807064458,1.76517384840081,1.37524168845277
"050802A",0.3912,0.433,0.0418,1.46150090623377,1.71019163189084,0.248690725657076,0.091761306739616,0,0,0.412521580432641,0.369521346800792,1.58536330509606,1.34164657088542
"050820A",0.3866,0.5581,0.1715,1.43556654531337,2.61493089917358,1.1793643538602,0.326248104529417,0,0,0.426071916922823,0.356725642287151,1.66730031910732,1.27366063285138
