"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4001,0.4829,0.0828,1.51246488132877,2.04018491662944,0.527720035300672,0.173581558284204,0,0,0.432576578998502,0.372322626454175,1.70755058330688,1.35679944080577
"011211A",0.6184,0.4969,-0.1215,3.15336405489074,2.13978564827282,-1.01357840661792,-0.322817708009935,0,0,0.659378413213944,0.558774332198377,3.56434447135412,2.62054818852743
"030329A",0.2059,0.0682,-0.1377,0.606571283711351,0.170038089423047,-0.436533194288304,-0.373093148192775,0,0,0.228247769378112,0.184635157960226,0.691405620384722,0.529801766088097
"050315A",0.3225,0.4697,0.1472,1.10135776904675,1.94917130750827,0.847813538461527,0.287475175247733,0,0,0.368074545847107,0.289901727195371,1.33385863043259,0.949403435922511
"050318A",0.3957,0.3874,-0.00829999999999997,1.48713867022284,1.44005715942821,-0.0470815107946341,-0.0192952491349288,0,0,0.414286886466977,0.361380451668075,1.59589359255602,1.2981610069299
"050401A",0.3767,0.5911,0.2144,1.38067438962545,2.90031784475066,1.51964345512521,0.389620414441469,0,0,0.43140907960577,0.350218555462895,1.70028173991355,1.23984804183382
"050416A",0.2282,0.2182,-0.00999999999999998,0.691219587739653,0.65272272994873,-0.0384968577909226,-0.0232929922807541,0,0,0.269688741418726,0.166418316482403,0.860753058110158,0.466960150326403
"050502A",0.5047,0.6803,0.1756,2.19668615426732,3.78960832497788,1.59292217071056,0.332578796141523,0,0,0.530962734475027,0.486390692516874,2.39596131600551,2.06471922383523
"050502B",0.4866,0.6806,0.194,2.06619661601074,3.79291801219085,1.72672139618012,0.360265164517352,0,0,0.530816596442481,0.470750101550886,2.39481878337481,1.95631087897398
"050505A",0.5605,0.7218,0.1613,2.63496304546081,4.26987118996723,1.63490814450642,0.310236832281395,0,0,0.581010608453576,0.547043414936388,2.8107513175167,2.52406098115974
"050525A",0.436,0.2068,-0.2292,1.72897778280804,0.609904076215706,-1.11907370659234,-0.6951182515314,0,0,0.461110924726997,0.404518949557914,1.89141829568306,1.53815973099401
"050730A",0.4336,0.6961,0.2625,1.71393848764159,3.96706679223423,2.25312830459264,0.453613450118146,0,0,0.459108763366467,0.406860691307711,1.87811911173362,1.5518826036768
"050801A",0.4162,0.4082,-0.00800000000000001,1.60735400445539,1.559764430599,-0.0475895738563916,-0.0185913880541169,0,0,0.443206918836212,0.382603332701875,1.77464176292648,1.41325565585038
"050802A",0.3873,0.433,0.0457,1.43949538018378,1.71019163189084,0.270696251707063,0.099880852896813,0,0,0.408240582284607,0.365070964270393,1.5600036368212,1.3177733461389
"050820A",0.3946,0.5581,0.1635,1.48084710808892,2.61493089917358,1.13408379108466,0.313722121588527,0,0,0.41542118906902,0.369101200746286,1.60268248265549,1.33938230580478
"050824A",0.2146,0.2619,0.0473,0.639079429822942,0.82767932897041,0.188599899147468,0.103190913284395,0,0,0.266528576776769,0.153360877983204,0.847262341622824,0.42351116563138
"050904A",0.6167,0.8627,0.246,3.13713792727352,6.28953792855699,3.15240000128348,0.432455394591453,0,0,0.695081137106534,0.571882260340635,3.95542761979306,2.73148981308899
"050922C",0.3941,0.5049,0.1108,1.47799257082342,2.19815862166661,0.720166050843188,0.22518146722438,0,0,0.42424639195468,0.371213231374748,1.65611204906249,1.35078673477695
"051016B",0.3351,0.287,-0.0481,1.1632165654073,0.936421963946607,-0.226794601460688,-0.117120444656835,0,0,0.365668322041251,0.304780509153826,1.32096356063254,1.01734654641516
"051028A",0.4324,0.6628,0.2304,1.70644994903848,3.60044666393478,1.8939967148963,0.411698440011117,0,0,0.47331447111289,0.405616328044857,1.97381858393472,1.54458128123959
"051109A",0.4161,0.5245,0.1084,1.60675370812343,2.34580017853301,0.739046470409579,0.220887808886907,0,0,0.43465891722963,0.394759661574933,1.72056381390104,1.48175932040365
"051111A",0.2873,0.4065,0.1192,0.937760058959422,1.54976408779928,0.61200402883986,0.240023785638963,0,0,0.315644384619196,0.271709704864996,1.06844693908855,0.869432139520031
