"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4368,0.4829,0.0461,1.73400937850561,2.04018491662944,0.306175538123831,0.100709511598814,0,0,0.450972196353456,0.418756780992773,1.82469913114831,1.62274930726539
"011211A",0.4517,0.4969,0.0452,1.82943681487211,2.13978564827282,0.310348833400711,0.0988439556602956,0,0,0.4867761481873,0.430565866152278,2.06744050591815,1.69504403825887
"021004A",0.3764,0.5237,0.1473,1.37903044588062,2.33964265986625,0.960612213985629,0.287639221264499,0,0,0.408039631464966,0.348775565164321,1.55881938085491,1.23241825489118
"030329A",0.2835,0.0682,-0.2153,0.920878961752016,0.170038089423047,-0.750840872328969,-0.641723443977121,0,0,0.309891570648309,0.268210917972022,1.04122825206021,0.854432021865184
"050315A",0.4452,0.4697,0.0245,1.78740452032377,1.94917130750827,0.161766787184505,0.0548516075592706,0,0,0.481424336851777,0.395162487164318,2.02987238489952,1.48406231983025
"050318A",0.4225,0.3874,-0.0351,1.64545269472405,1.44005715942821,-0.205395535295842,-0.0841765261531714,0,0,0.443591604201974,0.396493707868136,1.77710054834856,1.49168827099154
"050319A",0.3954,0.6274,0.232,1.48542120895336,3.24033335385019,1.75491214489682,0.413861835485971,0,0,0.437115575880548,0.375530792593185,1.73599674191227,1.37427375886915
"050401A",0.4533,0.5911,0.1378,1.83988007069858,2.90031784475066,1.06043777405208,0.271884963293259,0,0,0.469726852019418,0.43511416368814,1.94935365763411,1.7234171230243
"050416A",0.2529,0.2182,-0.0347,0.790193599265007,0.65272272994873,-0.137470869316277,-0.0831784223845834,0,0,0.310698831034251,0.217314704789667,1.04502598650235,0.649357139776239
"050502A",0.4885,0.6803,0.1918,2.07964034150239,3.78960832497788,1.70996798347549,0.357016245891753,0,0,0.514986793633652,0.47723198384225,2.27330740998258,2.00076498719875
"050502B",0.4885,0.6806,0.1921,2.07964034150239,3.79291801219085,1.71327767068846,0.357460249962698,0,0,0.503749754215894,0.474884392730301,2.18969938173965,1.98458802903543
"050505A",0.5966,0.7218,0.1252,2.95002641597884,4.26987118996723,1.3198447739884,0.250451050208042,0,0,0.618860436801766,0.573263531599051,3.15776976538934,2.74337668937588
"050525A",0.3113,0.2068,-0.1045,1.04785875896321,0.609904076215706,-0.437954682747503,-0.272037750085691,0,0,0.335340922601752,0.295004826442912,1.16441693144716,0.972444656353377
"050603A",0.3538,0.5821,0.2283,1.25839550114555,2.82032226884411,1.56192676769856,0.408846861019173,0,0,0.373324068615918,0.324808270650858,1.36224026889724,1.11255619711894
"050730A",0.5005,0.6961,0.1956,2.16592046343224,3.96706679223423,1.80114632880199,0.362617698561653,0,0,0.528905183534597,0.485672099223445,2.37991036939904,2.05965246429663
"050801A",0.4038,0.4082,0.00440000000000002,1.53396142939784,1.559764430599,0.0258030012011585,0.0100802249194159,0,0,0.418941321082528,0.386514231811618,1.62386400077009,1.43508559629551
"050802A",0.4421,0.433,-0.0091,1.76757883062595,1.71019163189084,-0.0573871987351033,-0.0211745907779464,0,0,0.464235206006647,0.412176225086993,1.91229393656237,1.58330821538181
"050820A",0.4378,0.5581,0.1203,1.74031192103028,2.61493089917358,0.874618978143299,0.24194625085178,0,0,0.452473840820641,0.418326417258673,1.83448289685192,1.6201515834694
"050824A",0.2706,0.2619,-0.00869999999999999,0.86466148299849,0.82767932897041,-0.0369821540280806,-0.0202344872220631,0,0,0.353128803227839,0.203217862181583,1.25490787445359,0.596679914799394
"050904A",0.7023,0.863,0.1607,4.03848534842304,6.29457510254569,2.25608975412264,0.309283230675808,0,0,0.743418882849862,0.67267914129586,4.53884080283909,3.70629494748971
"051016B",0.4196,0.287,-0.1326,1.62784654083849,0.936421963946607,-0.691424576891886,-0.357062969623986,0,0,0.446719430600097,0.392173583772281,1.79717366393492,1.46702518897048
"051028A",0.444,0.6628,0.2188,1.77971326775929,3.60044666393478,1.82073339617549,0.395773177950119,0,0,0.459393209264862,0.434278434792265,1.88000478462893,1.71818139023997
"051111A",0.5144,0.4065,-0.1079,2.26888769247272,1.54976408779928,-0.719123604673436,-0.282035349118952,0,0,0.541781143468514,0.48540779850439,2.48161819619975,2.05779100309382
"060115A",0.5547,0.6561,0.1014,2.58674085769951,3.5300187543224,0.943277896622896,0.208228254181696,0,0,0.580648932863954,0.532260871660665,2.80757908750143,2.40612727243627
"060124A",0.4683,0.518,0.0497,1.93967960949242,2.29609712177458,0.35641751228216,0.10813319484053,0,0,0.501208352628456,0.443204895708787,2.17108842675646,1.77462883750144
"060206A",0.5447,0.7031,0.1584,2.50509666806693,4.04777513500947,1.54267846694254,0.305615528759018,0,0,0.56722306708907,0.519187061371054,2.6916716556569,2.30511870016454
"060210A",0.5285,0.6911,0.1626,2.37675848642033,3.91020924883086,1.53345076241053,0.312298455055791,0,0,0.563975160509127,0.496684457488848,2.66416616834927,2.13822774367104
