"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4063,0.4829,0.0766,1.54859014837373,2.04018491662944,0.491594768255714,0.161698969548448,0,0,0.420343408726059,0.396459159912965,1.63234864045828,1.49149006605355
"011211A",0.6022,0.4969,-0.1053,3.00128973540699,2.13978564827282,-0.861504087134168,-0.274383089688966,0,0,0.648706711741234,0.555751810809901,3.45355388897095,2.59543805515593
"030329A",0.1984,0.0682,-0.1302,0.579064972728428,0.170038089423047,-0.409026883305381,-0.349584246019781,0,0,0.227562099252913,0.165184025214524,0.688737312769367,0.462796879509549
"050315A",0.3336,0.4697,0.1361,1.15575796803863,1.94917130750827,0.793413339469646,0.269029248131399,0,0,0.398110131941676,0.295830274797775,1.50097950009558,0.9761971780417
"050318A",0.3942,0.3874,-0.00679999999999997,1.47856321539419,1.44005715942821,-0.0385060559659869,-0.0157808007969003,0,0,0.426102778269438,0.378307576574476,1.66748986654095,1.38950298054711
"050401A",0.3662,0.5911,0.2249,1.32380670251764,2.90031784475066,1.57651114223301,0.404200684401862,0,0,0.442799894098813,0.321491816301752,1.77204256162476,1.0964852744607
"050416A",0.2354,0.2182,-0.0172,0.719491368132723,0.65272272994873,-0.0667686381839925,-0.0403991770513519,0,0,0.260912262291666,0.194945214086906,0.823527269671822,0.566553438137895
"050502A",0.5138,0.6803,0.1665,2.26437467542946,3.78960832497788,1.52523364954842,0.318446425273296,0,0,0.527761745984169,0.487293637948483,2.37102323538436,2.07109773672088
"050502B",0.5034,0.6806,0.1772,2.1871316270228,3.79291801219085,1.60578638516805,0.335033142875324,0,0,0.51985930470408,0.486223921432781,2.31023864661715,2.06354258345039
"050505A",0.5609,0.7218,0.1609,2.63831251239939,4.26987118996723,1.63155867756785,0.309601244272157,0,0,0.590902263524187,0.5387395323841,2.89854241450615,2.4573196328678
"050525A",0.427,0.2068,-0.2202,1.67300640866331,0.609904076215706,-1.06310233244761,-0.66035135145851,0,0,0.443648473986439,0.406735676003773,1.77746422658333,1.55114812861416
"050730A",0.4591,0.6961,0.237,1.87806103648953,3.96706679223423,2.0890057557447,0.420571303573119,0,0,0.499176426536241,0.427598020395512,2.15628656371054,1.67668965469046
