"formula_idx","wins","formula"
145,43,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
663,21,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
552,20,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
497,17,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1598,11,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
659,9,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1487,8,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10Ta+log10PeakFlux)^2+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1759,8,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
353,7,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
597,7,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2041,7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
654,6,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
670,6,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
65,5,"Response ~  (PhotonIndexSqr+log10Fa)^2+log10PeakFlux+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1589,5,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
260,4,"Response ~  (Alpha+log10Fa+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1770,4,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
1886,4,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
2054,4,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10NHSqr+AlphaSqr"
48,3,"Response ~  (log10FaSqr+PhotonIndex)^2+log10PeakFlux+log10Ta+log10NH+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
