"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3481,0.4697,0.1216,1.22894832450506,1.94917130750827,0.720222983003215,0.244211986319548,0,0,0.375515180429666,0.322824330006833,1.37418840921481,1.10292764376323
"050318A",0.4585,0.3874,-0.0711,1.87408759361502,1.44005715942821,-0.434030434186814,-0.177877158536943,0,0,0.472398148893042,0.433412563219998,1.96755070936234,1.71276743400107
"050802A",0.4536,0.433,-0.0206,1.84184246806359,1.71019163189084,-0.131650836172748,-0.0485762093807727,0,0,0.461063117795579,0.447215484934935,1.89110002724065,1.8003704415038
"050803A",0.5135,0.6532,0.1397,2.26212050394267,3.49987033872151,1.23774983477884,0.275063444412602,0,0,0.528805153429866,0.498051660580927,2.37913197163158,2.1481227701108
"050824A",0.2455,0.2619,0.0164,0.75994866380147,0.82767932897041,0.0677306651689398,0.0370582870284442,0,0,0.265920874717232,0.206878749955434,0.844679301465047,0.610196024132692
"060115A",0.5824,0.6561,0.0737,2.8229621656592,3.5300187543224,0.707056588663209,0.156082485969524,0,0,0.614071547036337,0.566480453109746,3.11217460779977,2.6853645425111
"060124A",0.4269,0.518,0.0911,1.6723909970469,2.29609712177458,0.623706124727673,0.189225651333926,0,0,0.462623757989301,0.39818408623282,1.90150790416833,1.5014054182746
"060206A",0.559,0.7031,0.1441,2.62242998416699,4.04777513500947,1.42534515084249,0.282370967945229,0,0,0.58699555046026,0.531915662650289,2.86363018573168,2.40342090917003
"060210A",0.5291,0.6911,0.162,2.38142687473827,3.91020924883086,1.52878237409259,0.311347703655724,0,0,0.559097304013301,0.512127480380719,2.62324168332359,2.25182735704648
"060306A",0.3921,0.4081,0.016,1.46660722915447,1.55917509090989,0.0925678617554246,0.0361709763760294,0,0,0.413381431783856,0.375803567245363,1.59048708709776,1.37576547740565
"060418A",0.4294,0.396,-0.0334,1.68781887863813,1.48885731828239,-0.198961560355743,-0.0799409266631044,0,0,0.44414076895272,0.405930845759326,1.78061440918478,1.5464247441158
"060526A",0.4318,0.6254,0.1936,1.70271343194282,3.22085079179884,1.51813735985603,0.359675675531053,0,0,0.457922247268833,0.406873669027795,1.87026666563769,1.55195886094995
"060604A",0.534,0.4963,-0.0377,2.41979442513709,2.13545086914429,-0.284343555992797,-0.090686656515973,0,0,0.575234612741502,0.511228987865796,2.76040492443703,2.24510675060682
"060605A",0.6313,0.6794,0.0481,3.27858338163739,3.7796929697961,0.501109588158715,0.104841376072759,0,0,0.664422273289684,0.611454895116586,3.61766341085453,3.08747298298271
"060708A",0.4982,0.4654,-0.0328,2.14919823960228,1.92011530139416,-0.229082938208128,-0.0784499632938318,0,0,0.535961515177091,0.473535933022261,2.43527505005637,1.97533542450282
"060714A",0.5476,0.5695,0.0219,2.52858025828527,2.71107729492926,0.182497036643989,0.0491762962990153,0,0,0.578593291588843,0.52515945232537,2.78959930078636,2.35088445151719
"060729A",0.3372,0.1875,-0.1497,1.17370197515712,0.539926526059492,-0.633775449097625,-0.411562135187962,0,0,0.377560954660505,0.306906527534473,1.38539857051476,1.02724635176603
"060906A",0.6508,0.6708,0.0199999999999999,3.47507172047656,3.68597535308626,0.2109036326097,0.0450074139785638,0,0,0.673013634732807,0.62598447248876,3.70992113024636,3.22653502688991
"060908A",0.563,0.4599,-0.1031,2.65594791613125,1.88336750678026,-0.772580409350987,-0.267943787094173,0,0,0.594215182026079,0.536753189248454,2.92839529323951,2.44154291344686
"060927A",0.6834,0.8109,0.1275,3.82391892432715,5.46993622808681,1.64601730375966,0.254410127972218,0,0,0.712332643103457,0.652924198539904,4.15623429492283,3.49701357477485
"061121A",0.3388,0.3644,0.0256,1.1817249589883,1.31419526151125,0.132470302522953,0.0572424914725843,0,0,0.368617263987795,0.316212818549991,1.33677697091946,1.07115603458985
"070110A",0.5138,0.5253,0.0115,2.26437467542946,2.35196905022163,0.0875943747921681,0.0261322146713665,0,0,0.528028325710848,0.501356160934705,2.37309308050403,2.17216786248295
"070208A",0.5806,0.3355,-0.2451,2.80715010380177,1.16520987930793,-1.64194022449385,-0.758328437434741,0,0,0.600357231074599,0.55351724786875,2.98434770292044,2.57698606182025
"070223A",0.5342,0.4199,-0.1143,2.42136966135368,1.62966242003022,-0.791707241323454,-0.301068013632851,0,0,0.558620531469174,0.510568493568965,2.61926623725618,2.24017519944257
"070306A",0.5289,0.3972,-0.1317,2.37987002861989,1.49574379483157,-0.88412623378832,-0.354253603923309,0,0,0.547703189325222,0.497815013553336,2.52941875633516,2.14640782555042
"070508A",0.4361,0.2601,-0.176,1.72960622551359,0.820119908460103,-0.909486317053482,-0.499684835502374,0,0,0.448413361191559,0.425564124140248,1.80810511892939,1.66418343784751
"070529A",0.7492,0.544,-0.2052,4.61306407675201,2.49945167028357,-2.11361240646844,-0.603983882508418,0,0,0.786300125806916,0.706787003934328,5.11364371601462,4.09081135272754
"070802A",0.6209,0.5378,-0.0831000000000001,3.17734168724878,2.44984831362751,-0.727493373621272,-0.210876916166878,0,0,0.664082573831372,0.589697195528492,3.61405294719806,2.88773984398559
"071003A",0.4216,0.4157,-0.00589999999999996,1.63997612935481,1.60435390455169,-0.0356222248031202,-0.0136779508886493,0,0,0.446543732253036,0.396077625337535,1.7960422671277,1.48930221377272
"071020A",0.3787,0.4976,0.1189,1.3916630833291,2.14485046547696,0.753187382147856,0.239498631307299,0,0,0.427088665918411,0.355172807759608,1.67355218756033,1.26554559921739
"071117A",0.4368,0.3675,-0.0693,1.73400937850561,1.33077311528264,-0.403236263222973,-0.173005369153692,0,0,0.468514243801318,0.410041084848758,1.94113015407164,1.57063895720855
"080516A",0.4766,0.6232,0.1466,1.99640145993444,3.19952334664066,1.20312188670621,0.286490105518435,0,0,0.509003888511041,0.466133211081737,2.22852302857598,1.92504944023745
"080607A",0.4939,0.606,0.1121,2.11817151590146,3.03645392967605,0.918282413774587,0.22749731070219,0,0,0.513034880292771,0.452552596907854,2.25862871576153,1.83499695593754
"080810A",0.5014,0.6385,0.1371,2.17248808735088,3.35010760630697,1.17761951895609,0.270710434208277,0,0,0.513614965634848,0.491346579482351,2.26298416077819,2.0998921154249
"080928A",0.5046,0.4301,-0.0745000000000001,2.19595017481476,1.69215462407529,-0.503795550739472,-0.187134701043599,0,0,0.513924514925009,0.496882376107965,2.26531072610062,2.13965823675176
"081008A",0.5045,0.4725,-0.032,2.19521436480822,1.96824674346324,-0.226967621344978,-0.0764652136298348,0,0,0.512290104110532,0.494269821121569,2.25304524798997,2.12082790888072
