"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3696,0.4697,0.1001,1.34207069479383,1.94917130750827,0.607100612714449,0.20585464505532,0,0,0.414568089436589,0.339171361019146,1.59757496175352,1.18359132878379
"050318A",0.4345,0.3874,-0.0471,1.71956848609892,1.44005715942821,-0.279511326670713,-0.114551138931603,0,0,0.481767535966467,0.410577971938669,2.03226767321136,1.57381881871707
"050730A",0.5327,0.6961,0.1634,2.40957305293199,3.96706679223423,1.55749373930223,0.313564082073005,0,0,0.594799947292418,0.47575572411859,2.93368832932505,1.99058206271745
"050802A",0.4586,0.433,-0.0256,1.87474945293637,1.71019163189084,-0.164557821045527,-0.0607181496353151,0,0,0.496071202196595,0.437702120322486,2.13379946585431,1.73969438929719
"050803A",0.5045,0.6532,0.1487,2.19521436480822,3.49987033872151,1.30465597391329,0.289931903745467,0,0,0.555691931401034,0.474976316320509,2.59494235955535,1.98521981943469
"050824A",0.2448,0.2619,0.0171,0.757114246595094,0.82767932897041,0.0705650823753154,0.0386091155361849,0,0,0.335316335507665,0.17953546353647,1.16429439888324,0.511943156287758
"060115A",0.5337,0.6561,0.1224,2.41743293056299,3.5300187543224,1.11258582375941,0.24560291780201,0,0,0.554924241819536,0.504284798613226,2.58859329886368,2.19363146597825
"060124A",0.4664,0.518,0.0516,1.92684686237879,2.29609712177458,0.36925025939579,0.112026510674233,0,0,0.482420303547966,0.44484388027353,2.0368287588561,1.78511979670072
"060206A",0.6269,0.7031,0.0761999999999999,3.23545429881401,4.04777513500947,0.812320836195465,0.160926510089864,0,0,0.663186010590194,0.607782977026247,3.60453746092726,3.05305947833304
"060210A",0.5619,0.6911,0.1292,2.64669968894227,3.91020924883086,1.26350955988859,0.257322956285303,0,0,0.580315121010595,0.542249661104497,2.80465359169199,2.48537619861886
"060306A",0.412,0.4081,-0.00389999999999996,1.5822601906346,1.55917509090989,-0.0230850997247023,-0.00902052376435665,0,0,0.442291305928335,0.368702123295517,1.76879821260854,1.33723361188268
"060418A",0.3815,0.396,0.0145,1.40713251905017,1.48885731828239,0.0817247992322225,0.0328362733499815,0,0,0.412392088863329,0.345507956547724,1.58459255423411,1.21568468867637
"060526A",0.4434,0.6254,0.182,1.77587560353434,3.22085079179884,1.4449751882645,0.342342162644579,0,0,0.518805017142712,0.407594311078203,2.30221250092357,1.55619694269044
"060604A",0.5591,0.4963,-0.0628,2.62326417553133,2.13545086914429,-0.487813306387035,-0.155579955402129,0,0,0.575354609979,0.538739982626934,2.76144408235125,2.45732321715049
"060605A",0.5982,0.6794,0.0812,2.96460569061277,3.7796929697961,0.815087279183328,0.170531304904737,0,0,0.614643365003656,0.588568662286976,3.11759250765771,2.87765049612821
"060614A",0.2957,0.0512,-0.2445,0.975604469432607,0.125122992965767,-0.85048147646684,-0.755900894199144,0,0,0.319722160871944,0.266118676926955,1.08795993480306,0.845519663854457
"060708A",0.5049,0.4654,-0.0395,2.19815862166661,1.92011530139416,-0.27804332027245,-0.0952165553667361,0,0,0.54189104421825,0.469279740922316,2.48249935146139,1.94631882704129
"060714A",0.5425,0.5695,0.027,2.48738584135218,2.71107729492926,0.223691453577075,0.0602766894353622,0,0,0.554982897259499,0.534677022891658,2.58907800392566,2.42512970981792
"060729A",0.3734,0.1875,-0.1859,1.36265331548606,0.539926526059492,-0.822726789426566,-0.534263664859281,0,0,0.413822356026508,0.327148379291147,1.59311845503678,1.12397000502701
"060906A",0.5792,0.6708,0.0915999999999999,2.79489706207635,3.68597535308626,0.89107829100991,0.190158552674211,0,0,0.610459025952701,0.555179491696426,3.07811084517622,2.59070305910142
"060908A",0.552,0.4599,-0.0921000000000001,2.56451133426244,1.88336750678026,-0.681143827482181,-0.23623205362496,0,0,0.572281098136547,0.523534302176826,2.7349182304904,2.33836871789702
"060927A",0.6299,0.8109,0.181,3.26481306545034,5.46993622808681,2.20512316263648,0.340826104755679,0,0,0.651350607948681,0.613150097424169,3.48074891138253,3.1034589898633
"061021A",0.3953,0.1291,-0.2662,1.484848985453,0.346170285535609,-1.13867869991739,-0.845865275851294,0,0,0.411200156001272,0.374018989275403,1.57750879582752,1.36602314821979
"061121A",0.3761,0.3644,-0.0117,1.37738763733978,1.31419526151125,-0.063192375828526,-0.0273064148386766,0,0,0.40488478805369,0.347379089461194,1.54029871222135,1.22525143340479
"070110A",0.5415,0.5253,-0.0162,2.47936507649094,2.35196905022163,-0.127396026269314,-0.0380063253450658,0,0,0.561489084068266,0.5240668218265,2.64325092692598,2.34246464214073
"070208A",0.5606,0.3355,-0.2251,2.63580012300143,1.16520987930793,-1.47059024369351,-0.679190621540834,0,0,0.582004703629076,0.548561082590551,2.81948407512238,2.53639756278528
"070223A",0.5365,0.4199,-0.1166,2.4395371138064,1.62966242003022,-0.809874693776175,-0.307976677008932,0,0,0.556524900221782,0.52071788694385,2.60184400931945,2.31678932467379
"070306A",0.5464,0.3972,-0.1492,2.51884388820958,1.49574379483157,-1.02310009337801,-0.409937949358723,0,0,0.586059610061203,0.512521016341461,2.85531270991862,2.2547753359795
"070508A",0.4517,0.2601,-0.1916,1.82943681487211,0.820119908460103,-1.00931690641201,-0.554533194060785,0,0,0.469865352765818,0.438689061742444,1.95029438527925,1.74592746998642
