"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",0.285557309,21.91683806,4.86356,2.11,-11.3757179,1.980457892,1.10818,0.856,1.99544,-5.492144128,0.0815429767233215,480.347790548265,23.6542158736,4.4521,129.40695774038,3.92221346198508,1.2280629124,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,2655.88784462259,0.09,0.0111397817241549,"050315A",1.949,0.469674772551798
"050318A",0.499687083,20.92661714,4.132084541,1.9,-11.15490196,1.505149978,1.874408221,0.95,1.98053,-5.966576245,0.249687180917049,437.923304924142,17.0741226539712,3.61,124.431837737212,2.2654764562734,3.51340617895238,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,12451.2179846328,0.1,0.00377767385238113,"050318A",1.44,0.387389826338729
"050319A",0.181843588,20.93735437,3.73997,2.02,-10.70553377,2.183383742,0.863159,0.971,2.01045,-5.882728704,0.0330670904967137,438.372808014958,13.9873756009,4.0804,114.60845330061,4.76716456482992,0.745043459281,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,16266.2614421118,0.19,0.0171435492378283,"050319A",3.24,0.627365856592733
"050401A",1.029383778,22.12570242,3.12435,1.4,-9.653647026,1.506369717,0.984108,0.9995,1.78711,-5.085128182,1.05963096240955,489.546707578394,9.7615629225,1.96,93.1929009025986,2.26914972429466,0.968468555664,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,854.174137308062,0.07,0.00151561500656513,"050401A",2.9,0.591064607026499
"050505A",0.267171728,22.23063027,4.270583544,1.41,-11.04817696,1.770115295,1.462094791,0.973,2.01835,-5.603800653,0.071380732242506,494.20092220144,18.2378838062836,1.9881,122.062214139475,3.13330815759294,2.13772117786933,0.946729,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,5445.31432923246,0.12,0.0170838936963119,"050505A",4.27,0.721810615212547
"050730A",-0.259637311,21.73850309,4.05018,1.53,-10.09854168,2.194514342,2.38763,0.5615,1.6177,-5.623423043,0.0674115332633107,472.562516593939,16.4039580324,2.3409,101.980544062697,4.81589319724369,5.7007770169,0.31528225,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,5061.25584929866,0.11,0.0872913637665652,"050730A",3.967,0.696094159995223
"050802A",0.439332694,21.25883595,3.63973,1.54,-10.28650946,1.477121255,1.44729,0.8585,1.8557,-5.698970004,0.193013216017298,451.938105949012,13.2476344729,2.3716,105.812276870669,2.18188720197277,2.0946483441,0.73702225,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,7403.00913902223,0.13,0.0109737714416986,"050802A",1.7102,0.433001340945038
"050803A",-0.017728767,21.34755638,4.21721,1.38,-10.86012091,1.943988875,1.52234,1.218,2.11696,-5.66756154,0.000314309179340289,455.718163397279,17.7848601841,1.9044,117.942226179819,3.77909274612377,2.3175190756,1.483524,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,5508.40011781839,0.11,0.0225122466501278,"050803A",3.5,0.653212513775344
"050824A",-0.301029996,20.9708274,5.08558,2.76,-12.23882419,1.353723938,0.954481,0.86,1.94709,-6.575118363,0.09061905849176,439.775601840591,25.8631239364,7.6176,149.788817553729,1.83256850031423,0.911033979361,0.7396,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,138614.509278076,0.38,0.113167018667173,"050824A",0.8278,0.261928672990642
"050826A",-0.420216403,21.96085591,4.76235,1.16,-12.33348202,1.550228353,1.801,1.11,2.45742,-6.384049948,0.176581825350258,482.279192299782,22.6799775225,1.3456,152.114778737663,2.40320794644509,3.243601,1.2321,6.0389130564,40.7560937385588,0.0717511921291969,0.23405,0.13858,0.23538,0.03,79616.1209742988,0.31,0.169802774145789,"050826A",0.297,0.11293997608408
"060115A",-0.060480747,21.43355223,3.69688,1,-11.29499204,2.144885418,0.889919,1,2.10553,-5.76700389,0.00365792075767801,459.397161196138,13.6669217344,1,127.576845183663,4.60053345634903,0.791955826561,1,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,9675.37171788722,0.303030303,0.0299027659683125,"060115A",3.53,0.656098202012832
"060124A",-0.050609993,21.9172644,4.47599,1.84,-10.6893,1.134495856,1.3641,0.99,2.00895,-6.336299075,0.00256137139146005,480.366478779507,20.0344864801,3.3856,114.26113449,1.28708084728117,1.86076881,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,47037.3275022825,0.19,0.0428608829947994,"060124A",2.296,0.517987203025078
