"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3387,0.4697,0.131,1.18122265608352,1.94917130750827,0.767948651424754,0.260394724941762,0,0,0.411405765662962,0.304896603130885,1.57872936436809,1.01788588803519
"050318A",0.3734,0.3874,0.014,1.36265331548606,1.44005715942821,0.0774038439421498,0.0317221437387509,0,0,0.410577806058317,0.33953582252071,1.57381783563783,1.18542457565865
"050802A",0.4577,0.433,-0.0247,1.86879820182136,1.71019163189084,-0.158606569930514,-0.0585222712904096,0,0,0.47048419608406,0.443102176371844,1.95450137262808,1.77397265985256
"050803A",0.5131,0.6532,0.1401,2.25911736313484,3.49987033872151,1.24075297558666,0.275730828266305,0,0,0.526831270584712,0.485169122627232,2.36380855368427,2.05611098994017
"050824A",0.2764,0.2619,-0.0145,0.889731054431677,0.82767932897041,-0.0620517254612669,-0.0339511009823713,0,0,0.315543643146003,0.241207791497361,1.06796718575507,0.742640453535844
"060115A",0.587,0.6561,0.0691,2.86366977054069,3.5300187543224,0.666348983781712,0.147096296929434,0,0,0.607767241157263,0.56463854282463,3.05291262577065,2.66976743789588
"060124A",0.4248,0.518,0.0932,1.65950003272152,2.29609712177458,0.636597089053059,0.193136629636181,0,0,0.464448499497473,0.389033398317839,1.91372459232297,1.44925158809631
"060206A",0.5669,0.7031,0.1362,2.68892648118996,4.04777513500947,1.35884865381951,0.269197540990891,0,0,0.609762897586064,0.534782343997424,3.07157929859883,2.42596044151838
"060210A",0.569,0.6911,0.1221,2.70680721782576,3.91020924883086,1.2034020310051,0.245081618729718,0,0,0.597035252882131,0.542182861645064,2.95398714370813,2.48484014911485
"060306A",0.3304,0.4081,0.0777,1.13993213245594,1.55917509090989,0.419242958453951,0.163819568244114,0,0,0.359175757270898,0.308860976210249,1.28652396342491,1.03639009616224
"060418A",0.3465,0.396,0.0495,1.22075168345075,1.48885731828239,0.268105634831637,0.107722380412173,0,0,0.364227905478417,0.32945340937923,1.31327841488846,1.13527300408725
"060526A",0.5725,0.6254,0.0529,2.73680125382116,3.22085079179884,0.484049537977687,0.114680561302522,0,0,0.619014082926503,0.521739504212439,3.15924097502887,2.32460079360354
"060604A",0.5609,0.4963,-0.0645999999999999,2.63831251239939,2.13545086914429,-0.502861643255095,-0.160379372613908,0,0,0.617758823507397,0.527835662766732,3.14723670428379,2.37159703129443
"060605A",0.5839,0.6794,0.0955,2.83618903805027,3.7796929697961,0.943503931745829,0.197398439127373,0,0,0.600160314591412,0.569356151378022,2.9825415416054,2.70984830175112
"060707A",0.5786,0.6459,0.0673,2.78965783799471,3.42486474355665,0.635206905561935,0.143553971109943,0,0,0.611908564552236,0.532269895514192,3.09174503920421,2.40619804633326
