"","log10Ta","PhotonIndex","log10Fa","log10PeakFlux","Alpha","log10NH","Beta","log10T90","Gamma","log10Fluence","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10PeakFluxSqr","AlphaSqr","log10NHSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","log10PeakFlux_opt","Alpha_opt","log10NH_opt","Beta_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050315A",4.86356,2.11,-11.3757179,0.285557309,1.10818,21.91683806,0.856,1.980457892,1.99544,-5.492144128,23.6542158736,4.4521,129.40695774038,0.0815429767233215,1.2280629124,480.347790548265,0.732736,3.92221346198508,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.0495050700000001,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",4.132084541,1.9,-11.15490196,0.499687083,1.874408221,20.92661714,0.95,1.505149978,1.98053,-5.966576245,17.0741226539712,3.61,124.431837737212,0.249687180917049,3.51340617895238,437.923304924142,0.9025,2.2654764562734,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",3.73997,2.02,-10.70553377,0.181843588,0.863159,20.93735437,0.971,2.183383742,2.01045,-5.882728704,13.9873756009,4.0804,114.60845330061,0.0330670904967137,0.745043459281,438.372808014958,0.942841,4.76716456482992,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.0600012109999999,"050319A",0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",3.12435,1.4,-9.653647026,1.029383778,0.984108,22.12570242,0.9995,1.506369717,1.78711,-5.085128182,9.7615629225,1.96,93.1929009025986,1.05963096240955,0.968468555664,489.546707578394,0.99900025,2.26914972429466,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
"050505A",4.270583544,1.41,-11.04817696,0.267171728,1.462094791,22.23063027,0.973,1.770115295,2.01835,-5.603800653,18.2378838062836,1.9881,122.062214139475,0.071380732242506,2.13772117786933,494.20092220144,0.946729,3.13330815759294,4.0737367225,31.4025817585632,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050730A",4.05018,1.53,-10.09854168,-0.259637311,2.38763,21.73850309,0.5615,2.194514342,1.6177,-5.623423043,16.4039580324,2.3409,101.980544062697,0.0674115332633107,5.7007770169,472.562516593939,0.31528225,4.81589319724369,2.61695329,31.6228867205434,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050802A",3.63973,1.54,-10.28650946,0.439332694,1.44729,21.25883595,0.8585,1.477121255,1.8557,-5.698970004,13.2476344729,2.3716,105.812276870669,0.193013216017298,2.0946483441,451.938105949012,0.73702225,2.18188720197277,3.44362249,32.4782591064918,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.0340921169999999,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",4.21721,1.38,-10.86012091,-0.017728767,1.52234,21.34755638,1.218,1.943988875,2.11696,-5.66756154,17.7848601841,1.9044,117.942226179819,0.000314309179340289,2.3175190756,455.718163397279,1.483524,3.77909274612377,4.4815196416,32.1212538096872,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.0272696540000001,0.11,0.0497629089999998,"050803A",0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
"050824A",5.08558,2.76,-12.23882419,-0.301029996,0.954481,20.9708274,0.86,1.353723938,1.94709,-6.575118363,25.8631239364,7.6176,149.788817553729,0.09061905849176,0.911033979361,439.775601840591,0.7396,1.83256850031423,3.7911594681,43.2321814874598,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"060115A",3.69688,1,-11.29499204,-0.060480747,0.889919,21.43355223,1,2.144885418,2.10553,-5.76700389,13.6669217344,1,127.576845183663,0.00365792075767801,0.791955826561,459.397161196138,1,4.60053345634903,4.4332565809,33.2583338672751,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0.0380960069999999,0.303030303,0.0599026869999998,"060115A",0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",4.47599,1.84,-10.6893,-0.050609993,1.3641,21.9172644,0.99,1.134495856,2.00895,-6.336299075,20.0344864801,3.3856,114.26113449,0.00256137139146005,1.86076881,480.366478779507,0.9801,1.28708084728117,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.0878348390000001,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",3.93814,1.2,-10.63078414,0.445604203,1.17565,22.33966406,1.265,0.880241776,2.20424,-6.080398976,15.5089466596,1.44,113.013571431276,0.198563105731265,1.3821529225,499.060590313656,1.600225,0.774825584215634,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.0264623880000001,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",4.15028,1.53,-10.66756154,0.434568904,1.20511,22.3877421,0.979,2.40654018,2.08163,-5.11577123,17.2248240784,2.3409,113.796869209687,0.188850132323761,1.4522901121,501.210996336112,0.958441,5.79143563795443,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.0447067850000001,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060306A",3.61496,1.8,-10.70553377,0.775974331,1.03794,21.61973178,0.76,2.13255996245349,2.28823,-5.671620397,13.0679358016,3.24,114.60845330061,0.602136162370898,1.0773194436,467.412802239142,0.5776,4.54781199345963,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",3.11887,1.7,-9.792961075,0.814247596,1.47655,21.65363309,0.98,2.158362492,1.94118,-5.079354999,9.7273500769,2.89,95.9020866164651,0.662999147591779,2.1801999025,468.879825996343,0.9604,4.65852864687245,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060526A",3.8752,2.01,-11.3053948,0.222716471,1.05873,20.9100052137815,0.93,2.47444938,1.90677,-5.899629455,15.01717504,4.0401,127.811951583867,0.0496026264546938,1.1209092129,437.228318040369,0.8649,6.12289973418238,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.0568718959999999,0.24,0.046810184,"060526A",0,0,0,0,0,0,0,0,0,0,0,3.221,0.625415352154408
"060604A",4.45991,2.01,-11.76955108,-0.468521083,1.21596,21.99003057,1.02,1.977723605,2.1711,-6.395773947,19.8907972081,4.0401,138.522332624729,0.219512005215493,1.4785587216,483.561444469534,1.0404,3.9113906577742,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",4.04162,1.55,-11.26121944,-0.337242168,1.9179,21.77333803,0.835,2.059904056,2.02128,-6.156767222,16.3346922244,2.4025,126.815063275834,0.11373227987734,3.67834041,474.078248968644,0.697225,4.24320471992525,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060614A",5.03344,2.02,-11.78251606,1.06069784,1.9453,20.51216256,0.783,2.036229544,1.89544,-4.690369833,25.3355182336,4.0804,138.827684704158,1.12507990778067,3.78419209,420.748812887866,0.613089,4.14623075585845,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",3.5545,0.6,-10.9132,0.004321374,0.861995,21.20847898,1.12,1.820857989,2.09345,-5.795880017,12.63447025,0.36,119.09793424,1.8674273247876e-05,0.743035380025,449.799580645102,1.2544,3.31552381610512,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.0409865420000001,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",3.50569,1.68,-10.86966623,0.28780173,1.12969,20.79066861,1.485,1.008600172,2.20484,-6.306273051,12.2898623761,2.8224,118.149643951602,0.0828298357909929,1.2761994961,432.251901250839,2.205225,1.01727430695843,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.0313408390000001,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",3.73449,1.93,-10.86012091,0.10720997,1.20488,22.0125926,0.87,2.060660074,2.04425,-5.548213564,13.9464155601,3.7249,117.942226179819,0.0114939776674009,1.4517358144,484.554232973575,0.7569,4.24631994057768,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.0441080329999999,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",5.1057,1.75,-11.15058059,0.068185862,1.35481,20.86562801,1.317,2.062017599,1.92492,-5.583359493,26.06817249,3.0625,124.335447494085,0.00464931177668304,1.8355101361,435.374432251696,1.734489,4.25191657858572,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.0351096309999999,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",4.22387,1.53,-10.91009489,0.861534411,1.29504,22.00679538,0.97,2.162265614,2.11591,-4.835647144,17.8410777769,2.3409,119.030170508804,0.742241541337117,1.6771286016,484.299042897189,0.9409,4.6753925854868,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.00710934099999999,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060906A",4.33479,2.03,-11.8827287,0.294466226,1.71887,22.41960057,1.06,1.638489257,2.07859,-5.655607726,18.7904043441,4.1209,141.199241357804,0.0867103582546831,2.9545140769,502.638489718344,1.1236,2.68464704530441,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.0267258140000001,0.11,0.0617271349999999,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",2.81918,1,-9.627087997,0.481442629,1.38309,21.80952201,1.185,1.285557309,2.13395,-5.552841969,7.9477758724,1,92.6808233019815,0.231787005018432,1.9129379481,475.655250304674,1.404225,1.65265759472332,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.0358328779999999,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060926A",3.351,2.54,-10.84771166,0.037426498,1.45111,22.50004427,1.357,0.903089987,2.00443,-6.659555885,11.229201,6.4516,117.6728482585,0.001400742752544,2.1057202321,506.25199215196,1.841449,0.81557152461966,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.0557809430000001,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",3.15198,0.9,-10.77728353,0.431363764,1.39098,22.10710478,0.83,1.352953912,1.94856,-5.946921557,9.9349779204,0.81,116.149840286009,0.186074696892248,1.9348253604,488.724081753899,0.6889,1.8304842879961,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.0273444670000001,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061021A",3.23849,1.3,-10.04095861,0.78604121,1.01707,20.87141063,0.785,1.664641976,1.99282,-5.528708289,10.4878174801,1.69,100.820849807733,0.617860783818264,1.0344313849,435.615781686077,0.616225,2.77103290826118,3.9713315524,30.5666153448573,0.0507507174713444,0.0264,0.03399,0.010415,0.016800037,0.014818832,0.06,0.019191409,"061021A",0,0,0,0,0,0,0,0,0,0,0,0.3463,0.129141845792285
