"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3157,0.4697,0.154,1.06871183959983,1.94917130750827,0.880459467908441,0.298544701580029,0,0,0.341478316640399,0.303409689301714,1.19522134387411,1.01098897344688
"050318A",0.4495,0.3874,-0.0621,1.8151400151333,1.44005715942821,-0.375082855705092,-0.15371888082859,0,0,0.477557078763905,0.418803412401992,2.0030120769322,1.62303093428931
"050730A",0.4795,0.6961,0.2166,2.01647687316222,3.96706679223423,1.95058991907201,0.392704588172976,0,0,0.50400300087161,0.449493020237461,2.19155990794469,1.81509477198207
"050802A",0.4467,0.433,-0.0137,1.7970485194781,1.71019163189084,-0.0868568875872526,-0.032048245801222,0,0,0.457650182638353,0.437945538245958,1.86846914454127,1.74123039234319
"050803A",0.5101,0.6532,0.1431,2.23668175701653,3.49987033872151,1.26318858170497,0.28071666217473,0,0,0.525805052108528,0.493902921790729,2.35586940783181,2.11819249400653
"050824A",0.1749,0.2619,0.087,0.495891174764101,0.82767932897041,0.331788154206309,0.18153521186521,0,0,0.220126052546994,0.139690071854094,0.66006866699795,0.379399524211157
"060115A",0.5652,0.6561,0.0909,2.6745147919994,3.5300187543224,0.855503962323004,0.188852189962063,0,0,0.590209135432209,0.528556063392901,2.8923253562754,2.37719442278475
"060124A",0.3908,0.518,0.1272,1.45923482384623,2.29609712177458,0.836862297928346,0.253894914806937,0,0,0.423867782643769,0.352349360202453,1.65379751231786,1.25086454430616
"060206A",0.5077,0.7031,0.1954,2.21884452411185,4.04777513500947,1.82893061089762,0.362324105567391,0,0,0.540433253216748,0.479484397524409,2.47082928561622,2.01636850507712
"060210A",0.5095,0.6911,0.1816,2.23221320339609,3.91020924883086,1.67799604543477,0.341736158359098,0,0,0.532554888842351,0.49193174732397,2.40843399990655,2.10407172134885
"060306A",0.4044,0.4081,0.00370000000000004,1.53746464586497,1.55917509090989,0.0217104450449286,0.00848337619494789,0,0,0.423364178849967,0.386549255451817,1.6507219772245,1.43528198147734
"060418A",0.4415,0.396,-0.0455,1.76375791917037,1.48885731828239,-0.274900600887974,-0.11045253533364,0,0,0.469010481205381,0.412506756113707,1.94449269493714,1.58527505714984
"060526A",0.4704,0.6254,0.155,1.95392864296028,3.22085079179884,1.26692214883856,0.300158003997727,0,0,0.483369936833016,0.458658097972704,2.04347638862265,1.87513404978047
"060604A",0.54,0.4963,-0.0437,2.46736850452532,2.13545086914429,-0.331917635381025,-0.105859619312616,0,0,0.56226623563685,0.499743668880597,2.64977620666167,2.16041175802515
"060605A",0.6441,0.6794,0.0353,3.4065631669247,3.7796929697961,0.373129802871397,0.0780656425484407,0,0,0.67517654709692,0.59790442668403,3.73343641010415,2.96190836650305
"060614A",0.3268,0.0512,-0.2756,1.12226689690078,0.125122992965767,-0.997143903935015,-0.886253245351066,0,0,0.353432594274966,0.302928336697053,1.25648574499176,1.00876131784067
"060708A",0.4712,0.4654,-0.00580000000000003,1.95937499534339,1.92011530139416,-0.0392596939492322,-0.0134445697847919,0,0,0.486907564754976,0.456983371253435,2.06836884720793,1.86406830519804
"060714A",0.5525,0.5695,0.017,2.56861749283481,2.71107729492926,0.142459802094447,0.0383877216163353,0,0,0.569194534708214,0.537662694863541,2.70846798999173,2.44875779315759
"060729A",0.309,0.1875,-0.1215,1.03704207770572,0.539926526059492,-0.497115551646226,-0.322817708009935,0,0,0.361620293719132,0.237734765621707,1.29943053233561,0.728760240125616
"060906A",0.6267,0.6708,0.0440999999999999,3.23350424907791,3.68597535308626,0.452471104008345,0.0965585753049982,0,0,0.660407159091934,0.599297681885949,3.57516919167991,2.97463892926895
"060908A",0.5386,0.4599,-0.0787,2.45620902570126,1.88336750678026,-0.572841518921,-0.198671004502187,0,0,0.572329511074666,0.512035086584757,2.73533460336972,2.25113562199411
"060927A",0.6715,0.8109,0.1394,3.69353434317195,5.46993622808681,1.77640188491486,0.274562502981602,0,0,0.690205685839578,0.640098393210751,3.90010838036567,3.36614739921028
"061021A",0.3931,0.1291,-0.264,1.47229334606234,0.346170285535609,-1.12612306052673,-0.836538343348347,0,0,0.401854317745555,0.378838327718676,1.52263442344591,1.39242497647907
"061121A",0.351,0.3644,0.0134,1.24388192378277,1.31419526151125,0.0703133377284866,0.0303834939505362,0,0,0.363208871979199,0.336995448373293,1.30785687524113,1.17267840797141
"070110A",0.5134,0.5253,0.0119,2.26136945940879,2.35196905022163,0.0905995908128383,0.0270287671083502,0,0,0.528431576594878,0.499069598248176,2.37622651762149,2.15551027196005
"070208A",0.581,0.3355,-0.2455,2.81065823393773,1.16520987930793,-1.6454483546298,-0.75994866380147,0,0,0.599734988248296,0.55212810701043,2.97864314841653,2.56556293925717
"070223A",0.527,0.4199,-0.1071,2.36511569375491,1.62966242003022,-0.735453273724684,-0.279675926507795,0,0,0.541778284661614,0.514184278594226,2.48159527801457,2.26726438392974
"070306A",0.5086,0.3972,-0.1114,2.22552193768908,1.49574379483157,-0.72977814285751,-0.292409078355241,0,0,0.533360337426219,0.485696844159635,2.41476119442603,2.05982680006438
"070508A",0.4277,0.2601,-0.1676,1.67731825996846,0.820119908460103,-0.857198351508352,-0.470957076796977,0,0,0.44147942161822,0.405790208772039,1.76362696581829,1.54560027237935
"070529A",0.6969,0.544,-0.1529,3.9762248997347,2.49945167028357,-1.47677322945112,-0.422001321518881,0,0,0.730304472690617,0.674599401286755,4.37408427557292,3.72715019493822
"070802A",0.61,0.5378,-0.0722,3.07380277804113,2.44984831362751,-0.623954464413621,-0.18086431856986,0,0,0.654468175272359,0.57540047385588,3.51302953035378,2.76184133243162
"071003A",0.4127,0.4157,0.003,1.586425658378,1.60435390455169,0.0179282461736858,0.0068839515790662,0,0,0.456624751093495,0.356583286308635,1.86170426714948,1.2729154791452
"071020A",0.3272,0.4976,0.1704,1.1242224773887,2.14485046547696,1.02062798808826,0.324539433366499,0,0,0.359484453722406,0.283318671152324,1.2881498020639,0.920077113975808
"080516A",0.455,0.6232,0.1682,1.85101826750391,3.19952334664066,1.34850507913675,0.321109080204415,0,0,0.481084085238703,0.405936201771813,2.02749953589096,1.54645614853699
"080607A",0.4911,0.606,0.1149,2.0981325884844,3.03645392967605,0.938321341191647,0.232461798781623,0,0,0.51132995553588,0.466501464459966,2.24586128231656,1.92753074311436
"080810A",0.5055,0.6385,0.133,2.20258009462903,3.35010760630697,1.14752751167794,0.263792902505264,0,0,0.516081538879983,0.491297616660522,2.28156898856218,2.09954264999051
"080928A",0.5228,0.4301,-0.0927000000000001,2.33272899576138,1.69215462407529,-0.64057437168609,-0.237941151655105,0,0,0.546119108913686,0.495445769656994,2.51656872158407,2.12928969282645
"081008A",0.5142,0.4725,-0.0417,2.26738266063143,1.96824674346324,-0.299135917168191,-0.100778655894075,0,0,0.522834436984333,0.50939310800844,2.33299327194119,2.23141776342154
"081029A",0.5684,0.6856,0.1172,2.70168961033235,3.84841738708446,1.14672777675211,0.236515894816903,0,0,0.639084234518406,0.52399213760988,3.35596352518182,2.34188989873266
"081221A",0.3941,0.5132,0.1191,1.47799257082342,2.25986788904468,0.781875318221266,0.239848774500612,0,0,0.420625664011174,0.37049525431188,1.63406000415634,1.34690361710741
"081230A",0.4751,0.4914,0.0163,1.98607010781653,2.10027344199819,0.114203334181664,0.0368365359760194,0,0,0.488951439305735,0.452132132803514,2.08284322245891,1.8322535694459
"090102A",0.4261,0.406,-0.0201,1.66747280212458,1.54683025258504,-0.120642549539534,-0.0473696860703935,0,0,0.452962591385191,0.388219836489255,1.83767459050345,1.44466771133095
"090205A",0.5333,0.752,0.2187,2.41428680757969,4.64936974812302,2.23508294054334,0.39563403356382,0,0,0.551372408398798,0.506552227356382,2.55936403932693,2.21034885091226
"090423A",0.7334,0.9666,0.2332,4.41252605515154,8.25976574561247,3.84723969046092,0.415479159641145,0,0,0.803061570615049,0.69217052914945,5.35421010107133,3.92232776817494
"090424A",0.3375,0.1886,-0.1489,1.17520403401952,0.54383186282482,-0.631372171194703,-0.408964335040639,0,0,0.375669022632343,0.299852748373322,1.37502957825908,0.994585917200502
"090529A",0.3942,0.5593,0.1651,1.47856321539419,2.62493313460957,1.14636991921538,0.316245811066208,0,0,0.427384897000169,0.341881788642866,1.67537643230197,1.19726171496093
"090530A",0.4552,0.3553,-0.0999,1.85233151229901,1.26620920889567,-0.586122303403337,-0.258635566876438,0,0,0.470096954581753,0.435525221919135,1.95186814638472,1.72599604822857
"090618A",0.2826,0.1875,-0.0951,0.916902395011128,0.539926526059492,-0.376975868951636,-0.244801204844674,0,0,0.299086954675667,0.261967892287042,0.99107195258198,0.827965068334578
"090809A",0.5414,0.5725,0.0311,2.47856401530424,2.73680125382116,0.258237238516919,0.0691064953622708,0,0,0.601904386950106,0.504844028505284,2.99856708743268,2.19774647232717
"090812A",0.5028,0.5381,0.0353,2.18273148217078,2.45223220769057,0.269500725519786,0.0780656425484406,0,0,0.518120504050537,0.480224499217696,2.29701181947517,2.02151322323005
"090927A",0.3776,0.3747,-0.00290000000000001,1.38561303993091,1.36973618438321,-0.015876855547702,-0.00669984095796487,0,0,0.421417296134602,0.334624798425835,1.63886574821733,1.16085088550566
"091018A",0.281,0.2947,0.0137,0.909853258566238,0.971060705241034,0.0612074466747954,0.0310530500212628,0,0,0.293646566832935,0.260700905476797,0.966285455755486,0.822640034944139
"091020A",0.4387,0.433,-0.00569999999999998,1.74599663052471,1.71019163189084,-0.03580499863387,-0.0132112424127329,0,0,0.449100160140794,0.417005505683526,1.81254940613333,1.61219446977482
"091029A",0.4542,0.5743,0.1201,1.8457713318638,2.7523211390275,0.906549807163695,0.241597073804469,0,0,0.46544616083305,0.440948441284962,1.9204256947434,1.7602501444842
"050416A",0.2077,0.2182,0.0105,0.613243782515912,0.65272272994873,0.0394789474328181,0.0238872175697873,0,0,0.27007408196103,0.131544805589057,0.862404798614876,0.353769750107192
"050820A",0.3984,0.5581,0.1597,1.50264932573108,2.61493089917358,1.1122815734425,0.307690964078118,0,0,0.418934960028225,0.376194842129317,1.62382556965973,1.37790687287451
"050922C",0.3565,0.5049,0.1484,1.27247963527084,2.19815862166661,0.925678986395763,0.289441236630527,0,0,0.379633709040287,0.316583099951637,1.39681055767185,1.07292266442305
"051016B",0.3805,0.287,-0.0935,1.4015962678857,0.936421963946607,-0.46517430393909,-0.240223625118888,0,0,0.406599547614944,0.36423776031962,1.55034860369036,1.31333090749668
"051109A",0.4598,0.5245,0.0647,1.88270366330713,2.34580017853301,0.463096515225883,0.138411288933857,0,0,0.479655664657413,0.438326711843369,2.01755826613618,1.74363738429756
"060502A",0.4683,0.3984,-0.0699,1.93967960949242,1.50264932573108,-0.437030283761338,-0.174627055923495,0,0,0.494994770684858,0.442698141317821,2.1260417264068,1.77139316355247
"060510B",0.528,0.7709,0.2429,2.37287308658869,4.90065196995666,2.52777888336797,0.428389760358386,0,0,0.591243379156992,0.497882088391409,2.9016057188314,2.14689381167851
"060912A",0.3517,0.2871,-0.0646,1.24750155042126,0.9368678929189,-0.310633657502356,-0.160379372613908,0,0,0.377875091888484,0.323375307559331,1.38712461954658,1.10559726373167
"061222A",0.4844,0.4897,0.00530000000000003,2.05070349782252,2.08816146918451,0.0374579713619965,0.012129537828826,0,0,0.522350502571658,0.448844466432699,2.32928138545155,1.81089398669818
"070721B",0.5923,0.6652,0.0729,2.9111097238893,3.6259400476616,0.714830323772306,0.15452649978325,0,0,0.646221120975575,0.54799569655117,3.42813773548007,2.53179670097092
"070810A",0.5373,0.5011,-0.0362,2.44587881444335,2.17029736695272,-0.275581447490626,-0.0869260563262284,0,0,0.552478714676345,0.517799268674927,2.56844259464912,2.29457401454908
"080319B",0.1886,0.2871,0.0985,0.54383186282482,0.9368678929189,0.39303603009408,0.202923509409703,0,0,0.265759658534805,-0.023429610009848,0.843994657805178,-0.0525192612643216
"080905B",0.5933,0.5281,-0.0652,2.92012576295165,2.37364980873767,-0.546475954213977,-0.161983603869796,0,0,0.670993736602066,0.554911381390561,3.68806620964275,2.58848703417956
"081028A",0.5154,0.6062,0.0908,2.27642325685378,3.03831321348852,0.761889956634732,0.188665394771737,0,0,0.549475586902082,0.490811717044591,2.54385208581936,2.09607674276074
"081203A",0.5357,0.4914,-0.0443,2.43320708426095,2.10027344199819,-0.332933642262764,-0.107388476691327,0,0,0.546975741552916,0.517177301659602,2.52351189163584,2.28985912672621
"090418A",0.5652,0.4163,-0.1489,2.6745147919994,1.6079544390266,-1.0665603529728,-0.408964335040639,0,0,0.58907707834828,0.55159174963483,2.88219260819878,2.56116215678978
"091109A",0.6315,0.6102,-0.0213,3.28055419586204,3.07567926559489,-0.204874930267146,-0.05026767734071,0,0,0.652054006677056,0.596946260855733,3.48801197122294,2.95317700843376
"091208B",0.3709,0.3145,-0.0564,1.34909186018037,1.06300366731071,-0.286088192869658,-0.138675561950211,0,0,0.386201917577031,0.357319464567101,1.43333508244401,1.2767715952652
"100316B",0.4768,0.3385,-0.1383,1.99778167158238,1.18021839718595,-0.817563274396437,-0.374991457485031,0,0,0.490828344406276,0.457548446944272,2.09619528116137,1.86779726973427
"100425A",0.4533,0.4401,-0.0132,1.83988007069858,1.75486296095247,-0.0850171097461105,-0.030860740062626,0,0,0.480328491989869,0.436486432108895,2.02223681786949,1.73203609039428
"100513A",0.6274,0.7613,0.1339,3.24033335385019,4.77165017190231,1.53131681805213,0.26531698430146,0,0,0.649850417792628,0.589116479123263,3.46529769306663,2.88254483080945
"100728A",0.427,0.4094,-0.0176,1.67300640866331,1.56684710166787,-0.106159306995443,-0.0413578615284345,0,0,0.443834489508007,0.405126950255905,1.77865411533224,1.54171557542245
"100814A",0.3118,0.3874,0.0756,1.05021780120198,1.44005715942821,0.389839358226224,0.159766486092308,0,0,0.377948617637338,0.282029402847038,1.38752879226971,0.914385529429728
"100816A",0.4606,0.2562,-0.2044,1.88801869351406,0.803848252431749,-1.08417044108231,-0.601031954667333,0,0,0.541336908256574,0.432170308552273,2.47805870672515,1.70501892913865
"100901A",0.4332,0.3817,-0.0515,1.71144000868831,1.40824129982783,-0.303198708860483,-0.12590046889494,0,0,0.465158428913427,0.408159977907415,1.91849147400834,1.55952854823581
