"","log10PeakFlux","PhotonIndex","log10Ta","log10NH","log10Fa","log10T90","Alpha","Beta","log10Fluence","Gamma","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10NHSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","log10FluenceSqr","GammaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050315A",0.285557309,2.11,4.86356,21.91683806,-11.3757179,1.980457892,1.10818,0.856,-5.492144128,1.99544,0.0815429767233215,4.4521,23.6542158736,480.347790548265,129.40695774038,3.92221346198508,1.2280629124,0.732736,30.1636471227249,3.9817807936,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",1.949,0.469674772551798
"050318A",0.499687083,1.9,4.132084541,20.92661714,-11.15490196,1.505149978,1.874408221,0.95,-5.966576245,1.98053,0.249687180917049,3.61,17.0741226539712,437.923304924142,124.431837737212,2.2654764562734,3.51340617895238,0.9025,35.6000320873983,3.9224990809,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",1.44,0.387389826338729
"050319A",0.181843588,2.02,3.73997,20.93735437,-10.70553377,2.183383742,0.863159,0.971,-5.882728704,2.01045,0.0330670904967137,4.0804,13.9873756009,438.372808014958,114.60845330061,4.76716456482992,0.745043459281,0.942841,34.6064970048655,4.0419092025,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",3.24,0.627365856592733
"050401A",1.029383778,1.4,3.12435,22.12570242,-9.653647026,1.506369717,0.984108,0.9995,-5.085128182,1.78711,1.05963096240955,1.96,9.7615629225,489.546707578394,93.1929009025986,2.26914972429466,0.968468555664,0.99900025,25.8585286273706,3.1937621521,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",2.9,0.591064607026499
"050505A",0.267171728,1.41,4.270583544,22.23063027,-11.04817696,1.770115295,1.462094791,0.973,-5.603800653,2.01835,0.071380732242506,1.9881,18.2378838062836,494.20092220144,122.062214139475,3.13330815759294,2.13772117786933,0.946729,31.4025817585632,4.0737367225,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,"050505A",4.27,0.721810615212547
"050730A",-0.259637311,1.53,4.05018,21.73850309,-10.09854168,2.194514342,2.38763,0.5615,-5.623423043,1.6177,0.0674115332633107,2.3409,16.4039580324,472.562516593939,101.980544062697,4.81589319724369,5.7007770169,0.31528225,31.6228867205434,2.61695329,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,"050730A",3.967,0.696094159995223
"050802A",0.439332694,1.54,3.63973,21.25883595,-10.28650946,1.477121255,1.44729,0.8585,-5.698970004,1.8557,0.193013216017298,2.3716,13.2476344729,451.938105949012,105.812276870669,2.18188720197277,2.0946483441,0.73702225,32.4782591064918,3.44362249,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,"050802A",1.7102,0.433001340945038
"050803A",-0.017728767,1.38,4.21721,21.34755638,-10.86012091,1.943988875,1.52234,1.218,-5.66756154,2.11696,0.000314309179340289,1.9044,17.7848601841,455.718163397279,117.942226179819,3.77909274612377,2.3175190756,1.483524,32.1212538096872,4.4815196416,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,"050803A",3.5,0.653212513775344
"050824A",-0.301029996,2.76,5.08558,20.9708274,-12.23882419,1.353723938,0.954481,0.86,-6.575118363,1.94709,0.09061905849176,7.6176,25.8631239364,439.775601840591,149.788817553729,1.83256850031423,0.911033979361,0.7396,43.2321814874598,3.7911594681,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,"050824A",0.8278,0.261928672990642
"050826A",-0.420216403,1.16,4.76235,21.96085591,-12.33348202,1.550228353,1.801,1.11,-6.384049948,2.45742,0.176581825350258,1.3456,22.6799775225,482.279192299782,152.114778737663,2.40320794644509,3.243601,1.2321,40.7560937385588,6.0389130564,0.0717511921291969,0.23405,0.13858,0.23538,0.03,0.075712355,0.31,0.148574428,"050826A",0.297,0.11293997608408
