"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3474,0.4697,0.1223,1.22535857804652,1.94917130750827,0.723812729461758,0.245429191454226,0,0,0.384784663354833,0.327875552010279,1.42540720493551,1.12752931066446
"050318A",0.4379,0.3874,-0.0505,1.74094297381808,1.44005715942821,-0.300885814389869,-0.123310969674324,0,0,0.461380885655687,0.409512286835653,1.89321618318893,1.5675108457722
"050802A",0.4439,0.433,-0.0109,1.7790732888091,1.71019163189084,-0.0688816569182591,-0.0254157883552322,0,0,0.453858536934969,0.436822345089754,1.84353472989599,1.73415005092756
"050803A",0.5001,0.6532,0.1531,2.1630058853452,3.49987033872151,1.3368644533763,0.297089549863814,0,0,0.512521139061594,0.480658755597302,2.25477625569305,2.02453598235961
"050824A",0.2146,0.2619,0.0473,0.639079429822942,0.82767932897041,0.188599899147468,0.103190913284395,0,0,0.248744340285682,0.168110613358215,0.77314536149193,0.472687543282664
"060115A",0.5622,0.6561,0.0939,2.64921961009471,3.5300187543224,0.88079914422769,0.19443609220983,0,0,0.595971554330253,0.529379342640925,2.94431466530152,2.38360254262835
"060124A",0.397,0.518,0.121,1.49459472694295,2.29609712177458,0.801502394831623,0.243167104979026,0,0,0.442062162175704,0.356134188386702,1.76733771634935,1.27056630349352
"060206A",0.5271,0.7031,0.176,2.36589062949252,4.04777513500947,1.68188450551695,0.333193230786378,0,0,0.545328009684008,0.495893759092583,2.51016886459057,2.13251932635441
"060210A",0.5462,0.6911,0.1449,2.51722377378703,3.91020924883086,1.39298547504383,0.283691672686964,0,0,0.567183773141787,0.516004934783306,2.69133765696407,2.28099021201873
"060306A",0.394,0.4081,0.0141,1.47742205763329,1.55917509090989,0.0817530332766081,0.0319450722879385,0,0,0.434406153843298,0.369559954544105,1.71898088140273,1.34185474693198
"060418A",0.446,0.396,-0.05,1.79254384123734,1.48885731828239,-0.303686522954947,-0.122018454301963,0,0,0.47151262239784,0.424618619956849,1.96150603778476,1.6583895431034
"060526A",0.4418,0.6254,0.1836,1.76566771505015,3.22085079179884,1.45518307674869,0.344760605984019,0,0,0.464957423376923,0.408705545688578,1.91714101427758,1.56274588998054
"060604A",0.554,0.4963,-0.0577,2.58096437102636,2.13545086914429,-0.445513501882069,-0.142089135016061,0,0,0.627875606208039,0.515132517268088,3.24497958731251,2.27440592333582
"060605A",0.6156,0.6794,0.0638,3.12667246322936,3.7796929697961,0.653020506566739,0.136623944402562,0,0,0.641325948399206,0.591940234413265,3.37850599221839,2.90787113786789
"060708A",0.498,0.4654,-0.0326,2.14774831410132,1.92011530139416,-0.227633012707159,-0.0779534330711118,0,0,0.54414711099404,0.457160103248909,2.50063725987076,1.86523404764436
"060714A",0.5622,0.5695,0.00729999999999997,2.64921961009471,2.71107729492926,0.0618576848345453,0.0166683903132566,0,0,0.59491665715962,0.543668417534164,2.93474558875432,2.49678086968497
"060729A",0.3407,0.1875,-0.1532,1.19129072241449,0.539926526059492,-0.651364196354994,-0.422983944579334,0,0,0.395436176988245,0.305857521659855,1.48562825463941,1.02235559866242
"060906A",0.6657,0.6708,0.00509999999999999,3.63126892491874,3.68597535308626,0.054706428167516,0.0116745019009725,0,0,0.685537150955016,0.632940321169935,3.84771579779996,3.29477405821042
"060908A",0.5791,0.4599,-0.1192,2.79402335532896,1.88336750678026,-0.910655848548695,-0.315830655095918,0,0,0.645774722825499,0.547664941518175,3.42358852515794,2.52910793824038
"060927A",0.6781,0.8109,0.1328,3.76540701725134,5.46993622808681,1.70452921083547,0.263453788529769,0,0,0.698156268556326,0.654583698637184,3.99064029198166,3.51423016661863
"061121A",0.3675,0.3644,-0.00309999999999999,1.33077311528264,1.31419526151125,-0.016577853771385,-0.00716355013213494,0,0,0.386456632422683,0.354861096019966,1.4347626584101,1.26392010357781
"070110A",0.5088,0.5253,0.0165,2.22700768751553,2.35196905022163,0.124961362706095,0.03727998702668,0,0,0.540630490383109,0.486518673803552,2.47240593933239,2.06562249229433
"070223A",0.5381,0.4199,-0.1182,2.45223220769057,1.62966242003022,-0.822569787660344,-0.31280432856887,0,0,0.557311129919147,0.517677768144898,2.60837055236883,2.29365243594997
"070306A",0.5388,0.3972,-0.1416,2.45780103532306,1.49574379483157,-0.962057240491488,-0.385479167566723,0,0,0.577335852660927,0.491982644359234,2.77864291505453,2.10443552359018
"070508A",0.4021,0.2601,-0.142,1.52406189230282,0.820119908460103,-0.703941983842713,-0.386755828871888,0,0,0.444675837235554,0.379413726577924,1.78404234930809,1.39559681262632
"070529A",0.7503,0.544,-0.2063,4.62729911013453,2.49945167028357,-2.12784743985096,-0.608051672186269,0,0,0.771204805508136,0.725124609549049,4.90479474080188,4.31036789621826
"070802A",0.6271,0.5378,-0.0893,3.237405246788,2.44984831362751,-0.787556933160495,-0.228287409057815,0,0,0.665763368585285,0.588921032615315,3.6319447298943,2.88079795366174
"071003A",0.3764,0.4157,0.0393,1.37903044588062,1.60435390455169,0.225323458671065,0.0865179875428075,0,0,0.411297083461532,0.354571990044658,1.57808411804093,1.26241353360404
"071020A",0.3363,0.4976,0.1613,1.16920201906872,2.14485046547696,0.975648446408242,0.310236832281395,0,0,0.364021721151927,0.319776977588172,1.31218043052696,1.0882234940597
"071117A",0.4458,0.3675,-0.0783,1.79125812334347,1.33077311528264,-0.460485008060835,-0.197567495970106,0,0,0.475768192954696,0.418404234653933,1.99066792522424,1.62062110737064
"080516A",0.4756,0.6232,0.1476,1.98950992781459,3.19952334664066,1.21001341882607,0.288131132737719,0,0,0.529415601841155,0.444257189192409,2.38388505103888,1.78135990147802
"080607A",0.5492,0.606,0.0568,2.54160400426462,3.03645392967605,0.494849925411431,0.122595212043247,0,0,0.579987182430159,0.496094880668515,2.80178175749192,2.13397033057546
"080810A",0.5191,0.6385,0.1194,2.30445620193452,3.35010760630697,1.04565140437245,0.240373687045446,0,0,0.549703099029066,0.493926732232102,2.54570907591434,2.11836345536565
"080928A",0.5146,0.4301,-0.0845,2.27039341756639,1.69215462407529,-0.578238793491106,-0.214786620471223,0,0,0.540307290126423,0.492905123953136,2.46982274971772,2.11103662527
"081007A",0.3566,0.1845,-0.1721,1.27300295329098,0.529325746418779,-0.743677206872198,-0.486277831007335,0,0,0.396857867895051,0.325019242469073,1.49377845134734,1.11358268516293
"081029A",0.5464,0.6856,0.1392,2.51884388820958,3.84841738708446,1.32957349887488,0.274228349732572,0,0,0.56823191733741,0.51668622829266,2.70025724246713,2.28614125965531
"081221A",0.3893,0.5132,0.1239,1.45075557924382,2.25986788904468,0.809112309800863,0.248204018487993,0,0,0.43060309634125,0.360466010938015,1.69527508263973,1.29332714143287
"081230A",0.4774,0.4914,0.014,2.00192612224169,2.10027344199819,0.0983473197564986,0.0317221437387509,0,0,0.52661146254346,0.391285989888217,2.36210647106837,1.46198832929031
