"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3421,0.4697,0.1276,1.1983660069914,1.94917130750827,0.750805300516876,0.25458178662101,0,0,0.393133839834363,0.318590184238441,1.47248599243555,1.08252481093368
"050318A",0.4403,0.3874,-0.0529,1.7561319143948,1.44005715942821,-0.316074754966591,-0.129535799497688,0,0,0.461200669277363,0.404583830835138,1.89201585300537,1.53853894683419
"050802A",0.4483,0.433,-0.0153,1.80737223234365,1.71019163189084,-0.0971806004528055,-0.0358574645826814,0,0,0.46739869459468,0.432937338588878,1.93358512341067,1.7098006248937
"050803A",0.5049,0.6532,0.1483,2.19815862166661,3.49987033872151,1.3017117170549,0.289277605590907,0,0,0.547399334292158,0.474870072338451,2.52695025484472,1.98448961708866
"050824A",0.2165,0.2619,0.0454,0.646265966328297,0.82767932897041,0.181413362642112,0.0992588578130433,0,0,0.265496395261938,0.158669890399617,0.842877192628083,0.441019608286965
"060115A",0.5638,0.6561,0.0923,2.66268862758784,3.5300187543224,0.867330126734568,0.191462811474453,0,0,0.59989896809149,0.530654433521202,2.98014567836188,2.39355141529253
"060124A",0.4212,0.518,0.0968,1.63754574088934,2.29609712177458,0.658551380885233,0.199797322880667,0,0,0.458151698385875,0.37663796615414,1.87178351636067,1.38033436264505
"060206A",0.5287,0.7031,0.1744,2.37831389929058,4.04777513500947,1.66946123571889,0.330732093064157,0,0,0.552583196885317,0.503339169611695,2.56930119090727,2.18668524585647
"060210A",0.5336,0.6911,0.1575,2.41664612813823,3.91020924883086,1.49356312069263,0.304175045299395,0,0,0.55409873961134,0.520748109265097,2.58177861859955,2.31702014630427
"060306A",0.4005,0.4081,0.0076,1.51478001299561,1.55917509090989,0.0443950779142845,0.0173474171704681,0,0,0.439304270262088,0.376616393947961,1.74982002475753,1.380216129993
"060418A",0.4536,0.396,-0.0576,1.84184246806359,1.48885731828239,-0.352985149781199,-0.141826189548223,0,0,0.492649379236752,0.428133795683267,2.109205156082,1.6799938392887
"060526A",0.4528,0.6254,0.1726,1.83661241931252,3.22085079179884,1.38423837248633,0.327952453371704,0,0,0.472508857674514,0.411887693284203,1.96830728310338,1.58159251540591
