"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"050315A",0.3521,0.4697,0.1176,1.24957252942252,1.94917130750827,0.699598778085753,0.237218765930839,0,0,0.397538001261379,0.32424322479134,1.49768693004138,1.10980940897638
"050318A",0.4364,0.3874,-0.049,1.73149242208918,1.44005715942821,-0.291435262660975,-0.119437883467152,0,0,0.461556309350407,0.401271375843818,1.8943850702275,1.51925063002624
"050802A",0.4455,0.433,-0.0125,1.78933065633998,1.71019163189084,-0.0791390244491401,-0.0292005271944281,0,0,0.463924110322702,0.432814057489946,1.91020853669291,1.70903151590821
"050803A",0.4997,0.6532,0.1535,2.16009399044795,3.49987033872151,1.33977634827356,0.297736656264236,0,0,0.537953731493181,0.471542588715741,2.45106970655868,1.96171038874218
"050824A",0.2191,0.2619,0.0428,0.656151262490047,0.82767932897041,0.171528066480363,0.0938501977680025,0,0,0.274786210695478,0.161111896663188,0.882722057389054,0.449145180006377
"060115A",0.5533,0.6561,0.1028,2.57519718745026,3.5300187543224,0.954821566872144,0.210776515210027,0,0,0.588374010786948,0.513923799571475,2.87591291622977,2.26530534760805
"060124A",0.4197,0.518,0.0983,1.62845169453387,2.29609712177458,0.667645427240703,0.202556357587318,0,0,0.458151698385875,0.373044868840057,1.87178351636067,1.36072211698756
"060206A",0.5247,0.7031,0.1784,2.34734133129236,4.04777513500947,1.70043380371712,0.336867978116447,0,0,0.544197221765127,0.507125134453347,2.50104120180515,2.21458663282725
"060210A",0.5528,0.6911,0.1383,2.57108345808346,3.91020924883086,1.3391257907474,0.272722754344177,0,0,0.572398866306239,0.528287300080488,2.73593117020209,2.37510509123496
"060306A",0.3998,0.4081,0.00830000000000003,1.51072993137352,1.55917509090989,0.0484451595363748,0.0189299902568021,0,0,0.44241190327275,0.373091186942524,1.76956717489297,1.36097390466742
"060418A",0.446,0.396,-0.05,1.79254384123734,1.48885731828239,-0.303686522954947,-0.122018454301963,0,0,0.47322366592679,0.424365797221933,1.97319686311516,1.65684242300353
"060526A",0.4405,0.6254,0.1849,1.75740145234636,3.22085079179884,1.46344933945248,0.34671904116961,0,0,0.465671779860568,0.406790903245932,1.92194327052392,1.55147256707719
"060604A",0.5616,0.4963,-0.0653,2.64418150788861,2.13545086914429,-0.508730638744318,-0.162251191288211,0,0,0.610486000512075,0.529409510474917,3.07836414947563,2.38383758937529
"060605A",0.6027,0.6794,0.0767,3.00589904327751,3.7796929697961,0.773793926518593,0.161891973272836,0,0,0.63323569565703,0.576018664283446,3.29769603448969,2.76719988592239
"060708A",0.4921,0.4654,-0.0267,2.10527452169776,1.92011530139416,-0.185159220303603,-0.0634081880996965,0,0,0.530006198046216,0.458797878778923,2.38848991997851,1.87605958131383
"060714A",0.5681,0.5695,0.00139999999999996,2.69913345670349,2.71107729492926,0.0119438382257733,0.00321842884870469,0,0,0.604913380201638,0.547311467925542,3.0263672064138,2.5262367552041
"060729A",0.3555,0.1875,-0.168,1.26725307714517,0.539926526059492,-0.727326551085682,-0.472312502432719,0,0,0.391468973468895,0.319704255614385,1.46302587035675,1.08787385337374
"060906A",0.6573,0.6708,0.0135,3.54255296738871,3.68597535308626,0.14342238569755,0.0306067306997443,0,0,0.678165284129818,0.616103198227143,3.7661234178678,3.13145663114776
"060908A",0.5726,0.4599,-0.1127,2.73766178317571,1.88336750678026,-0.85429427639545,-0.296283520705068,0,0,0.61310758258799,0.529788721331061,3.10305730539556,2.38679352914306
